column	in_igblast	in_abstar	category_guess
c_call	False	True	other
c_cigar	False	True	other
c_deletions	False	True	other
c_frame	False	True	other
c_gene	False	True	other
c_germline	False	True	other
c_germline_aa	False	True	other
c_germline_end	False	True	other
c_germline_gapped	False	True	other
c_germline_gapped_aa	False	True	d_call_or_d_quality
c_germline_start	False	True	other
c_identity	False	True	quality
c_identity_aa	False	True	quality
c_insertions	False	True	other
c_mutation_count	False	True	other
c_mutation_count_aa	False	True	other
c_mutations	False	True	other
c_mutations_aa	False	True	other
c_score	False	True	quality
c_sequence	False	True	sequence
c_sequence_aa	False	True	sequence
c_sequence_end	False	True	sequence
c_sequence_gapped	False	True	sequence
c_sequence_gapped_aa	False	True	sequence
c_sequence_start	False	True	sequence
c_support	False	True	quality
cdr1	True	True	other
cdr1_aa	True	True	other
cdr1_end	True	False	other
cdr1_start	True	False	other
cdr2	True	True	other
cdr2_aa	True	True	other
cdr2_end	True	False	other
cdr2_start	True	False	other
cdr3	True	True	cdr3_or_junction
cdr3_aa	True	True	cdr3_or_junction
cdr3_d	False	True	cdr3_or_junction
cdr3_d_aa	False	True	d_call_or_d_quality
cdr3_end	True	False	cdr3_or_junction
cdr3_j	False	True	cdr3_or_junction
cdr3_j_aa	False	True	j_call_or_j_quality
cdr3_length	False	True	cdr3_or_junction
cdr3_n1	False	True	cdr3_or_junction
cdr3_n1_aa	False	True	cdr3_or_junction
cdr3_n2	False	True	cdr3_or_junction
cdr3_n2_aa	False	True	cdr3_or_junction
cdr3_start	True	False	cdr3_or_junction
cdr3_v	False	True	cdr3_or_junction
cdr3_v_aa	False	True	v_call_or_v_quality
cdr_mask	False	True	other
cdr_mask_aa	False	True	other
complete_vdj	True	True	other
d_alignment_end	True	False	d_call_or_d_quality
d_alignment_start	True	False	d_call_or_d_quality
d_call	True	True	d_call_or_d_quality
d_cigar	True	True	d_call_or_d_quality
d_frame	True	True	d_call_or_d_quality
d_gene	False	True	d_call_or_d_quality
d_germline	False	True	d_call_or_d_quality
d_germline_alignment	True	False	d_call_or_d_quality
d_germline_alignment_aa	True	False	d_call_or_d_quality
d_germline_end	True	False	d_call_or_d_quality
d_germline_start	True	False	d_call_or_d_quality
d_identity	True	True	d_call_or_d_quality
d_identity_aa	False	True	d_call_or_d_quality
d_score	True	True	d_call_or_d_quality
d_sequence	False	True	sequence
d_sequence_alignment	True	False	sequence
d_sequence_alignment_aa	True	False	sequence
d_sequence_end	True	False	sequence
d_sequence_start	True	False	sequence
d_support	True	True	d_call_or_d_quality
frame	False	True	other
fwr1	True	True	other
fwr1_aa	True	True	other
fwr1_end	True	False	other
fwr1_start	True	False	other
fwr2	True	True	other
fwr2_aa	True	True	other
fwr2_end	True	False	other
fwr2_start	True	False	other
fwr3	True	True	other
fwr3_aa	True	True	other
fwr3_end	True	False	other
fwr3_start	True	False	other
fwr4	True	True	other
fwr4_aa	True	True	other
fwr4_end	True	False	other
fwr4_start	True	False	other
gene_segment_mask	False	True	other
gene_segment_mask_aa	False	True	other
germline	False	True	other
germline_aa	False	True	other
germline_alignment	True	True	other
germline_alignment_aa	True	True	other
germline_database	False	True	other
germline_gapped	False	True	other
germline_lvdjc	False	True	other
germline_lvdjc_aa	False	True	other
germline_lvdjc_gapped	False	True	other
germline_vdjc	False	True	other
germline_vdjc_aa	False	True	other
germline_vdjc_gapped	False	True	other
j_alignment_end	True	False	j_call_or_j_quality
j_alignment_start	True	False	j_call_or_j_quality
j_call	True	True	j_call_or_j_quality
j_cigar	True	True	j_call_or_j_quality
j_gene	False	True	j_call_or_j_quality
j_germline	False	True	j_call_or_j_quality
j_germline_alignment	True	False	j_call_or_j_quality
j_germline_alignment_aa	True	False	j_call_or_j_quality
j_germline_end	True	True	j_call_or_j_quality
j_germline_start	True	True	j_call_or_j_quality
j_identity	True	True	j_call_or_j_quality
j_identity_aa	False	True	j_call_or_j_quality
j_score	True	True	j_call_or_j_quality
j_sequence	False	True	sequence
j_sequence_alignment	True	False	sequence
j_sequence_alignment_aa	True	False	sequence
j_sequence_end	True	True	sequence
j_sequence_start	True	True	sequence
j_support	True	True	j_call_or_j_quality
junction	True	True	j_call_or_j_quality
junction_aa	True	True	j_call_or_j_quality
junction_aa_length	True	False	j_call_or_j_quality
junction_length	True	False	j_call_or_j_quality
locus	True	True	other
nongermline_mask	False	True	other
nongermline_mask_aa	False	True	other
np1	True	True	other
np1_length	True	True	other
np2	True	True	other
np2_length	True	True	other
productive	True	True	quality
productivity_issues	False	True	other
quality	False	True	other
rev_comp	True	True	v_call_or_v_quality
sequence	True	True	sequence
sequence_aa	True	True	sequence
sequence_alignment	True	True	sequence
sequence_alignment_aa	True	True	sequence
sequence_gapped	False	True	sequence
sequence_id	True	True	sequence
sequence_input	False	True	sequence
sequence_lvdjc	False	True	sequence
sequence_lvdjc_aa	False	True	sequence
sequence_lvdjc_gapped	False	True	sequence
sequence_oriented	False	True	sequence
sequence_vdjc	False	True	sequence
sequence_vdjc_aa	False	True	sequence
sequence_vdjc_gapped	False	True	sequence
species	False	True	other
stop_codon	True	True	quality
umi	False	True	other
v_alignment_end	True	False	v_call_or_v_quality
v_alignment_start	True	False	v_call_or_v_quality
v_call	True	True	v_call_or_v_quality
v_cigar	True	True	v_call_or_v_quality
v_deletions	False	True	v_call_or_v_quality
v_frame	False	True	v_call_or_v_quality
v_frameshift	True	True	v_call_or_v_quality
v_gene	False	True	v_call_or_v_quality
v_germline	False	True	v_call_or_v_quality
v_germline_aa	False	True	v_call_or_v_quality
v_germline_alignment	True	False	v_call_or_v_quality
v_germline_alignment_aa	True	False	v_call_or_v_quality
v_germline_end	True	True	v_call_or_v_quality
v_germline_gapped	False	True	v_call_or_v_quality
v_germline_start	True	True	v_call_or_v_quality
v_identity	True	True	v_call_or_v_quality
v_identity_aa	False	True	v_call_or_v_quality
v_insertions	False	True	v_call_or_v_quality
v_mutation_count	False	True	v_call_or_v_quality
v_mutation_count_aa	False	True	v_call_or_v_quality
v_mutations	False	True	v_call_or_v_quality
v_mutations_aa	False	True	v_call_or_v_quality
v_score	True	True	v_call_or_v_quality
v_sequence	False	True	sequence
v_sequence_aa	False	True	sequence
v_sequence_alignment	True	False	sequence
v_sequence_alignment_aa	True	False	sequence
v_sequence_end	True	True	sequence
v_sequence_gapped	False	True	sequence
v_sequence_start	True	True	sequence
v_support	True	True	v_call_or_v_quality
vj_in_frame	True	False	v_call_or_v_quality
