.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ERR346596_1.pr	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR346596_2.pr	1	1	0.5	1	0.25	1	1	0.5	0.5	0.5	1
ERR346597_1.pr	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR346597_2.pr	1	1	0.5	1	0.25	1	1	0.5	0.5	0.5	1
ERR346598_1.pr	1	1	0.5	1	0.25	0.5	1	0.25	0.25	0.25	1
ERR346598_2.pr	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.5	1
ERR346599_1.pr	1	1	0.5	1	0.25	0.5	1	0.5	0.5	0.5	1
ERR346599_2.pr	1	1	0.25	1	0.25	0.5	1	0.25	0.25	0.25	1
ERR346600_1.pr	1	1	0.25	1	0.25	0.5	1	0.25	0.25	0.25	1
ERR346600_2.pr	1	1	0.5	1	0.25	1	1	0.5	0.5	0.5	1
ERR346601_1.pr	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR346601_2.pr	1	1	0.5	1	0.25	0.5	1	0.5	0.5	0.5	1
