Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
ERR346596_1.pr	(1, 0.00015170087015619122)	(2, 0.0004551026104685737)	(3, 0.0006068034806247649)	(4, 0.0006068034806247649)	(5, 0.0004551026104685737)	(6, 0.0)	(7, 0.0004551026104685737)	(8, 0.0004551026104685737)	(9, 0.00030340174031238243)	(10, 0.00039442226240609714)	(15, 0.000333742015601529)	(20, 0.00012136099069403923)	(25, 0.00015170174466108466)	(30, 0.00018204270114959966)	(35, 0.00018204270114959966)	(40, 3.0340450191599942e-05)	(45, 0.0)	(50, 6.068115813631172e-05)	(55, 0.0)	(60, 0.0)	(65, 3.0340634301300704e-05)	(70, 0.00021238444010910493)	(75, 0.0006674939546286154)	(80, 0.0010012439697806364)	(85, 3.0340809207586055e-05)	(90, 0.0)	(95, 3.0340974910137615e-05)	(100, 0.00018204634657255275)	(105, 0.0008798928108509596)	(110, 0.004217442858200469)	(115, 0.010437425208566456)	(120, 0.017294618066564862)	(125, 0.013957094072331123)	(130, 0.0026397200804416767)	(135, 0.0006371745858365192)	(140, 0.0005764928662041981)	(145, 0.0005764939157135553)	(150, 0.0005461539535174439)	(155, 0.0006675239292157625)	(160, 3.0342052020841348e-05)	(165, 0.0002730798767742227)	(170, 3.034239266151028e-05)	(175, 3.0342493934535463e-05)	(180, 0.00036411136346051437)	(185, 0.0014564472215386696)	(190, 0.0012440501783088018)	(195, 0.0008495965326751792)	(200, 0.0009709704121041171)	(205, 0.0002124002287853893)	(210, 9.102894568757955e-05)	(215, 0.00015171550793441764)	(220, 0.0005765226037824131)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)
ERR346596_2.pr	(1, 0.06841709244044224)	(2, 0.04930278280076215)	(3, 0.04186944016310878)	(4, 0.03519460187623636)	(5, 0.03473949926576779)	(6, 0.021693224432335345)	(7, 0.028823165329676333)	(8, 0.025637447056396315)	(9, 0.02002451486061724)	(10, 0.01744560006796199)	(15, 0.01759730093811818)	(20, 0.017506280416024467)	(25, 0.032585346909549874)	(30, 0.015139746841587884)	(35, 0.011074163521401958)	(40, 0.00913239238340271)	(45, 0.007342322115559656)	(50, 0.004975788541123072)	(55, 0.004551026104685736)	(60, 0.0043689850604983075)	(65, 0.003519460187623636)	(70, 0.003610480709717351)	(75, 0.003549800361654874)	(80, 0.006826539157028604)	(85, 0.007038920375247272)	(90, 0.007645723855872037)	(95, 0.009011031687277758)	(100, 0.007797424726028229)	(105, 0.006523137416716222)	(110, 0.00916273255743395)	(115, 0.009526814645808809)	(120, 0.013380016747776067)	(125, 0.014290221968713213)	(130, 0.01019429847449605)	(135, 0.009981917256277381)	(140, 0.010406679692714717)	(145, 0.012318110656682726)	(150, 0.014593623709025595)	(155, 0.01747594024199323)	(160, 0.006644498112841175)	(165, 0.0004247624364373354)	(170, 0.00015170087015619122)	(175, 0.00024272139224990597)	(180, 0.002275513052342868)	(185, 0.0009405453949683856)	(190, 0.0006674838286872414)	(195, 0.0026699353147489656)	(200, 0.0014563283534994357)	(205, 0.0013956480054369592)	(210, 0.002002451486061724)	(215, 0.003094697751186301)	(220, 0.0012742873093120062)	(225, 0.00621973567640384)	(230, 0.0017900702678430563)	(235, 0.0002123812182186677)	(240, 0.0)	(245, 0.0)	(250, 0.0)
ERR346597_1.pr	(1, 0.00015921792156925184)	(2, 0.00015921792156925184)	(3, 0.00015921792156925184)	(4, 0.00015921792156925184)	(5, 0.00015921792156925184)	(6, 0.0)	(7, 0.0004776537647077555)	(8, 0.0006368727002924839)	(9, 0.0)	(10, 0.00028659280639318493)	(15, 0.00019106235765854352)	(20, 3.184379725818537e-05)	(25, 0.0)	(30, 0.0)	(35, 6.368783788388242e-05)	(40, 6.368797984912317e-05)	(45, 0.0)	(50, 6.368838546758421e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.00015922197772802978)	(75, 0.0002865999249745085)	(80, 0.0006368905474934058)	(85, 6.368917643844393e-05)	(90, 0.0)	(95, 0.0)	(100, 6.368956179033905e-05)	(105, 0.0005413619648000082)	(110, 0.003471099908764209)	(115, 0.010795439165789603)	(120, 0.01853376871767338)	(125, 0.015190086255487697)	(130, 0.0021336200239283894)	(135, 0.0003502964941371513)	(140, 0.0004139870294679152)	(145, 0.00044583275348537713)	(150, 0.00041398887516356543)	(155, 0.00031845440067359475)	(160, 0.0)	(165, 0.00019107355312736454)	(170, 0.0)	(175, 0.0)	(180, 0.00028661197261008604)	(185, 0.0009553771972481315)	(190, 0.0008279954167269086)	(195, 0.0008916899275661163)	(200, 0.0006687674456745873)	(205, 0.00019107653475061167)	(210, 0.00022292333379934925)	(215, 0.00025477017341887244)	(220, 0.0007324663479482662)	(225, 0.0)	(230, 0.0)	(235, 0.015559358954411079)	(240, 0.01721466689619556)	(245, 0.0)	(250, 0.0)
ERR346597_2.pr	(1, 0.06559778368653175)	(2, 0.05142738866686834)	(3, 0.04314805674526725)	(4, 0.037256993647204924)	(5, 0.035983250274650914)	(6, 0.023723470313818523)	(7, 0.03216202015698887)	(8, 0.02865922588246533)	(9, 0.021335201490279745)	(10, 0.01916983775693792)	(15, 0.018692183992230164)	(20, 0.01891508908242712)	(25, 0.03209833298836117)	(30, 0.01560335631378668)	(35, 0.011622908274555385)	(40, 0.010349164902001369)	(45, 0.008820672854936552)	(50, 0.006400560447083923)	(55, 0.005731845176493066)	(60, 0.005445252917668413)	(65, 0.004872068400019107)	(70, 0.004712850478449855)	(75, 0.004744694062763705)	(80, 0.006591621952967026)	(85, 0.006527934784339326)	(90, 0.007228493639244033)	(95, 0.008852516439250401)	(100, 0.0073240243921855845)	(105, 0.006591621952967026)	(110, 0.009075421529447356)	(115, 0.009298326619644307)	(120, 0.014361456525546516)	(125, 0.014998328211823522)	(130, 0.010030729058862865)	(135, 0.010508382823570622)	(140, 0.010508382823570622)	(145, 0.012482685051029343)	(150, 0.01566704348241438)	(155, 0.019583804353017976)	(160, 0.007674303819637939)	(165, 0.00031843584313850367)	(170, 3.184358431385036e-05)	(175, 3.184358431385036e-05)	(180, 0.0014966484627509673)	(185, 0.0008597767764739599)	(190, 0.0004776537647077555)	(195, 0.0022927380705972263)	(200, 0.0008279331921601095)	(205, 0.0010826818666709124)	(210, 0.001655866384320219)	(215, 0.002324581654911077)	(220, 0.000955307529415511)	(225, 0.005477096501982263)	(230, 0.0017513971372617701)	(235, 9.553075294155111e-05)	(240, 0.0)	(245, 3.184358431385036e-05)	(250, 0.0)
ERR346598_1.pr	(1, 7.538913989284188e-05)	(2, 0.00045233518036865317)	(3, 0.00022616759018432659)	(4, 0.0003015567869124354)	(5, 0.00022616759018432659)	(6, 7.538919672810885e-05)	(7, 0.00022616759018432659)	(8, 0.0003769459836405443)	(9, 0.00022616776069038462)	(10, 0.00021108990997769234)	(15, 0.00019601235480950238)	(20, 4.5233743105812126e-05)	(25, 0.0)	(30, 1.5077971204693714e-05)	(35, 1.5077984845418994e-05)	(40, 0.0)	(45, 0.0)	(50, 6.031222129157114e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.00019601528074816317)	(75, 0.00045234302377741105)	(80, 0.0006483583340809559)	(85, 3.0156224320090227e-05)	(90, 0.0)	(95, 4.5234370582581e-05)	(100, 0.00013570329590133827)	(105, 0.0004975804022078094)	(110, 0.0032568918696821063)	(115, 0.009695288979170508)	(120, 0.01828991275877475)	(125, 0.014656079709773433)	(130, 0.0021561927968082317)	(135, 0.00040711357081423926)	(140, 0.0003769577489168873)	(145, 0.0003920374184637561)	(150, 0.0003618818944155291)	(155, 0.0007689994894446527)	(160, 0.0)	(165, 0.0002714125257785355)	(170, 1.5078562325427945e-05)	(175, 4.523580975265964e-05)	(180, 0.00036188707826396136)	(185, 0.0009348766437807859)	(190, 0.0009047211061482133)	(195, 0.0007087003370699433)	(200, 0.0005880724432871983)	(205, 0.00015078826071169646)	(210, 1.507888746158842e-05)	(215, 6.0315731745179906e-05)	(220, 0.00033173972605838166)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)
ERR346598_2.pr	(1, 0.06747322933660622)	(2, 0.04741973324326851)	(3, 0.04229327559534759)	(4, 0.03716681794742667)	(5, 0.03626214895073474)	(6, 0.023973728412336068)	(7, 0.03188958213339043)	(8, 0.028647851561911023)	(9, 0.022013612252836892)	(10, 0.019344838712595704)	(15, 0.018681414781688294)	(20, 0.018741726048134424)	(25, 0.03240222789818252)	(30, 0.015198439144424375)	(35, 0.011474218441375942)	(40, 0.010087059313114988)	(45, 0.008262643503119602)	(50, 0.006076360094447443)	(55, 0.0055938699628784155)	(60, 0.005488325246597691)	(65, 0.004990757298417131)	(70, 0.004870134765524874)	(75, 0.005051068564863259)	(80, 0.007433363589485334)	(85, 0.007734919921715976)	(90, 0.008413421669234922)	(95, 0.010071981496503454)	(100, 0.008714978001465564)	(105, 0.007237351973535417)	(110, 0.010056903679891923)	(115, 0.010373537828734097)	(120, 0.014550093030128494)	(125, 0.014685793379632281)	(130, 0.011217895558979896)	(135, 0.011413907174929813)	(140, 0.011594840974268198)	(145, 0.013570034950378904)	(150, 0.01617849722417396)	(155, 0.019676550678049413)	(160, 0.007599219572212187)	(165, 0.00021108943256144966)	(170, 0.0)	(175, 0.00016585598272685328)	(180, 0.002457684107679735)	(185, 0.0009499024465265234)	(190, 0.00046741231495749563)	(195, 0.002985407689083359)	(200, 0.0011157584292533767)	(205, 0.0014776260279301475)	(210, 0.0023973728412336067)	(215, 0.00363375380337924)	(220, 0.0014625482113186153)	(225, 0.006483461142958811)	(230, 0.002005349609333772)	(235, 9.04668996691927e-05)	(240, 0.0)	(245, 1.5077816611532118e-05)	(250, 0.0)
ERR346599_1.pr	(1, 0.07317039434554684)	(2, 0.053667510408454015)	(3, 0.04688991244449977)	(4, 0.04246372601906026)	(5, 0.04135717941270039)	(6, 0.025450571946277162)	(7, 0.03513285475192608)	(8, 0.033334716516591284)	(9, 0.0242057070141223)	(10, 0.02088606719504267)	(15, 0.02099672185567866)	(20, 0.020692421538929695)	(25, 0.036654356335670914)	(30, 0.017262127059214077)	(35, 0.0125593039821846)	(40, 0.010429201764941836)	(45, 0.008631063529607038)	(50, 0.006694606968477254)	(55, 0.005505069366640386)	(60, 0.004979459728619445)	(65, 0.0044815137557575)	(70, 0.00475815040734747)	(75, 0.005007123393778442)	(80, 0.007524516923247161)	(85, 0.008631063529607038)	(90, 0.00951630081469494)	(95, 0.011425093710665727)	(100, 0.009737610135966914)	(105, 0.008658727194766035)	(110, 0.011259111719711744)	(115, 0.012089021674481651)	(120, 0.01659819909539815)	(125, 0.01740044538500906)	(130, 0.012697622307979585)	(135, 0.0125593039821846)	(140, 0.01308491362020554)	(145, 0.016432217104444168)	(150, 0.01892194696875389)	(155, 0.021660649819494584)	(160, 0.008963027511515)	(165, 0.0004979459728619444)	(170, 0.0)	(175, 0.00011065466063598766)	(180, 0.0017704745701758026)	(185, 0.0007745826244519136)	(190, 0.0003872913122259568)	(195, 0.002047111221765772)	(200, 0.0010788829412008798)	(205, 0.0012172012669958642)	(210, 0.0018258019004937964)	(215, 0.002379075203673735)	(220, 0.0008852372850879013)	(225, 0.00520076904989142)	(230, 0.0014108469231088427)	(235, 5.532733031799383e-05)	(240, 0.0)	(245, 0.0)	(250, 0.0)
ERR346599_2.pr	(1, 0.0002766370342296834)	(2, 0.0004149555513445251)	(3, 0.0004149555513445251)	(4, 0.0005532740684593668)	(5, 0.0001383185171148417)	(6, 0.0)	(7, 0.0002766370342296834)	(8, 0.0002766370342296834)	(9, 0.0004149555513445251)	(10, 0.00022130962738374673)	(15, 0.00035962903987898757)	(20, 5.5327712959825164e-05)	(25, 5.5327712959825164e-05)	(30, 0.0)	(35, 2.7663894744413274e-05)	(40, 5.532778948882655e-05)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 8.299241891917312e-05)	(75, 0.0004979552022901513)	(80, 0.0011342338043170046)	(85, 0.0)	(90, 0.0)	(95, 0.00016598653683199755)	(100, 0.0003043091559708915)	(105, 0.0009129274679126742)	(110, 0.004592313242239543)	(115, 0.011619109007990904)	(120, 0.02027811167346984)	(125, 0.016737049880558325)	(130, 0.002960109618115428)	(135, 0.0004426338261876557)	(140, 0.0005532930480665036)	(145, 0.0005532939664676191)	(150, 0.0006362905258277241)	(155, 0.0005532977931717519)	(160, 2.7664996807459367e-05)	(165, 0.0001659908992722959)	(170, 2.7665456026310955e-05)	(175, 2.766561675651076e-05)	(180, 0.00022132560759412426)	(185, 0.0009959677140466028)	(190, 0.0008853070839782934)	(195, 0.0006639825173403184)	(200, 0.0006916490296164114)	(205, 0.00030432607819962906)	(210, 8.29984346495225e-05)	(215, 0.00019366419292937562)	(220, 0.0006916652948638319)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)
ERR346600_1.pr	(1, 0.0)	(2, 0.0)	(3, 0.0001722842828494442)	(4, 0.0001722842828494442)	(5, 0.0001722842828494442)	(6, 0.00017228457966869676)	(7, 0.00017228457966869676)	(8, 0.00017228457966869676)	(9, 0.0)	(10, 0.00013782780620859135)	(15, 0.0001033709615118899)	(20, 3.445704653493048e-05)	(25, 6.891435427422332e-05)	(30, 0.0)	(35, 0.0)	(40, 6.89145679883562e-05)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.00020674641105459276)	(75, 0.00041349438939800384)	(80, 0.0006202437213244959)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.00065470734581642)	(110, 0.00361812951663168)	(115, 0.01119901862138358)	(120, 0.019641423417400924)	(125, 0.015299729980441157)	(130, 0.002033074328852874)	(135, 0.0004824259131633356)	(140, 0.00017229496898690558)	(145, 0.00020675417652051331)	(150, 0.00017229585955819897)	(155, 0.0005168884692520279)	(160, 6.891860505986615e-05)	(165, 0.00013783763760072916)	(170, 0.0)	(175, 0.0)	(180, 0.00013783882506185517)	(185, 0.0007236543303130529)	(190, 0.0005858178327083462)	(195, 0.00048243921265920495)	(200, 0.00034459943761371784)	(205, 0.00017229989693020166)	(210, 0.0)	(215, 3.4460466263892735e-05)	(220, 0.00048245134908904565)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)
ERR346600_2.pr	(1, 0.070291745199315)	(2, 0.047894865601494044)	(3, 0.04083123434371974)	(4, 0.03635185842415555)	(5, 0.035490439978085514)	(6, 0.024292000179175037)	(7, 0.030321929301665294)	(8, 0.027565390274241174)	(9, 0.022396879597820957)	(10, 0.019640340570396837)	(15, 0.019847080997453647)	(20, 0.020053821424510457)	(25, 0.03418108394005906)	(30, 0.017297282397086337)	(35, 0.012232141934194522)	(40, 0.01057821851774005)	(45, 0.008510814247171964)	(50, 0.00585764543327625)	(55, 0.005719818481905044)	(60, 0.005892102171119052)	(65, 0.005030683725049015)	(70, 0.00492731351152061)	(75, 0.0051685106764202205)	(80, 0.007890592966001538)	(85, 0.0075460255875735216)	(90, 0.008476357509329163)	(95, 0.010819415682639662)	(100, 0.008958751839128382)	(105, 0.007683852538944728)	(110, 0.010130280925783632)	(115, 0.010474848304211647)	(120, 0.01526433486436105)	(125, 0.0164014072131735)	(130, 0.011129526323224875)	(135, 0.011267353274596081)	(140, 0.011095069585382073)	(145, 0.013507041234378176)	(150, 0.016780431329444317)	(155, 0.02012273490019606)	(160, 0.00820070360658675)	(165, 0.0002411971648996103)	(170, 0.00010337021352840443)	(175, 0.0002411971648996103)	(180, 0.0025153418625245075)	(185, 0.001240442562340853)	(190, 0.000654678019013228)	(195, 0.0025153418625245075)	(200, 0.0016194666786116692)	(205, 0.0015160964650832646)	(210, 0.0025153418625245075)	(215, 0.0034112170464373455)	(220, 0.0014816397272404633)	(225, 0.0060988425981758606)	(230, 0.0023775149111533015)	(235, 0.00034456737842801467)	(240, 0.0)	(245, 0.0)	(250, 0.0)
