Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
ERR346596_1.pr	(1, 37.627407492809375)	(2, 36.668723224796416)	(3, 37.11080231556208)	(4, 37.943121275743636)	(5, 38.21680936661853)	(6, 38.450666877025206)	(7, 38.00599976941468)	(8, 38.54265676767922)	(9, 38.42087282612653)	(10, 37.75207435769851)	(15, 37.6218188944696)	(20, 37.53388075674493)	(25, 38.15018366496871)	(30, 38.23901053723836)	(35, 38.55979890349612)	(40, 38.45356060353224)	(45, 37.85384424597084)	(50, 38.326741915928515)	(55, 38.28908239441854)	(60, 38.1598086719601)	(65, 38.1622747587161)	(70, 38.17205566899582)	(75, 38.322771556262154)	(80, 38.4013574119469)	(85, 38.314570499018934)	(90, 38.27647512982641)	(95, 38.20351844412622)	(100, 38.26673648093365)	(105, 38.30633496266488)	(110, 38.205505976663005)	(115, 38.13073177190461)	(120, 38.045807983554376)	(125, 38.01294550816717)	(130, 37.88524136868317)	(135, 37.59482432186419)	(140, 37.62436662444297)	(145, 37.43733890408506)	(150, 37.17636882898087)	(155, 37.20033266170164)	(160, 36.943411110003744)	(165, 36.67960976186153)	(170, 36.52977739188752)	(175, 36.161893878202854)	(180, 35.717081526051416)	(185, 35.382025156847725)	(190, 34.81597604245929)	(195, 34.68639143107795)	(200, 34.3229232486722)	(205, 33.81808466576548)	(210, 33.494092990890515)	(215, 33.035562806346164)	(220, 33.71980258904579)	(225, 34.756112360355594)	(230, 33.4049903922104)	(235, 32.76549359164509)	(240, 32.81692142389551)	(245, 33.56977124183007)	(250, 34.98114620974271)
ERR346596_2.pr	(1, 33.31662398815519)	(2, 33.40075577373512)	(3, 33.45050455709414)	(4, 33.230057403609266)	(5, 33.385599339797814)	(6, 35.38143970193813)	(7, 35.401706938191)	(8, 34.73637726185997)	(9, 35.82090802072841)	(10, 36.96724141069674)	(15, 37.74280634473719)	(20, 38.16294342164347)	(25, 38.4329627786745)	(30, 38.294116736853596)	(35, 38.71251046736004)	(40, 38.56048435053823)	(45, 38.55377795847037)	(50, 38.26296678357747)	(55, 38.732672423209024)	(60, 38.72106487942815)	(65, 38.87342140074516)	(70, 38.5762764111215)	(75, 38.78454319833979)	(80, 38.7319557882984)	(85, 38.62331976116216)	(90, 38.64367316350926)	(95, 38.69189522931104)	(100, 38.55652890204978)	(105, 38.53035959174262)	(110, 38.50796368887971)	(115, 38.30470606439398)	(120, 38.30391448925351)	(125, 38.384092343353686)	(130, 38.36540006553478)	(135, 38.34115765968034)	(140, 38.54081967014162)	(145, 38.40208012233158)	(150, 38.175278522797605)	(155, 38.324462068714425)	(160, 38.21137544144953)	(165, 37.976303110474646)	(170, 37.74705305889635)	(175, 37.969985376036114)	(180, 38.22531857182733)	(185, 37.87037646087938)	(190, 37.77155153581961)	(195, 37.8238033835362)	(200, 37.43530473670798)	(205, 36.60386988919769)	(210, 37.418430745518755)	(215, 37.3700047937475)	(220, 36.66997445357347)	(225, 36.59658703382322)	(230, 36.34364737436134)	(235, 36.52084885738905)	(240, 36.31347043046638)	(245, 36.354696355538294)	(250, 36.14146336056346)
ERR346597_1.pr	(1, 37.593854188227425)	(2, 36.74590889550528)	(3, 37.10374002897766)	(4, 37.93482732816406)	(5, 38.15800627318611)	(6, 38.41846450236439)	(7, 38.10342636967217)	(8, 38.542582104832434)	(9, 38.41448312207735)	(10, 37.620458166630456)	(15, 37.49635729241284)	(20, 37.316480367110316)	(25, 38.06612100756286)	(30, 38.14529506547104)	(35, 38.49139801627844)	(40, 38.37352363301712)	(45, 37.738257813258414)	(50, 38.20155399660541)	(55, 38.17972862378952)	(60, 38.06800412619016)	(65, 38.07031555127096)	(70, 38.06895362500677)	(75, 38.232174942396966)	(80, 38.303634683593195)	(85, 38.192284653022185)	(90, 38.15691199870812)	(95, 38.074070162917806)	(100, 38.13921967974723)	(105, 38.183005489577994)	(110, 38.06218555098934)	(115, 37.97402279780206)	(120, 37.87884108472735)	(125, 37.82464044431582)	(130, 37.665224800355716)	(135, 37.3394901013517)	(140, 37.35858569292671)	(145, 37.155827419996854)	(150, 36.87432316561348)	(155, 36.87132235596711)	(160, 36.56713580337338)	(165, 36.29067044943762)	(170, 36.119036207043436)	(175, 35.72883331449126)	(180, 35.249302333878425)	(185, 34.888176230522355)	(190, 34.265374629393506)	(195, 34.132357994398276)	(200, 33.72759191173544)	(205, 33.183306853357905)	(210, 32.85286832283097)	(215, 32.40811251924709)	(220, 33.180923380341625)	(225, 34.50224194853726)	(230, 32.97814081368908)	(235, 32.54557650245705)	(240, 32.34457777991106)	(245, 33.311652173913046)	(250, 34.92912364130434)
ERR346597_2.pr	(1, 33.339228111516235)	(2, 33.427778750776184)	(3, 33.46768990717595)	(4, 33.25778814463356)	(5, 33.40446287834158)	(6, 35.36729186237203)	(7, 35.398574999601955)	(8, 34.73965322336682)	(9, 35.80813603579219)	(10, 36.96537742608308)	(15, 37.74946486856561)	(20, 38.16405973856418)	(25, 38.42596143741939)	(30, 38.29532281433599)	(35, 38.7145722610537)	(40, 38.56272421863805)	(45, 38.55932555288424)	(50, 38.27126498638687)	(55, 38.73335105959527)	(60, 38.72498320250928)	(65, 38.87345423280844)	(70, 38.583016861177896)	(75, 38.78457273870747)	(80, 38.73362268536947)	(85, 38.624225006766764)	(90, 38.64940309201204)	(95, 38.69364465744264)	(100, 38.562534430875544)	(105, 38.52942984062286)	(110, 38.49810403298995)	(115, 38.28530896237681)	(120, 38.29694492652093)	(125, 38.39356664066107)	(130, 38.35429808779277)	(135, 38.34076265384432)	(140, 38.50944862833761)	(145, 38.392361042558946)	(150, 38.161607782572005)	(155, 38.33247886382092)	(160, 38.209841259732194)	(165, 37.97619755759708)	(170, 37.75035425987549)	(175, 37.96758832614199)	(180, 38.22639323642269)	(185, 37.866037862021756)	(190, 37.765718789306916)	(195, 37.8062929291321)	(200, 37.42622987883516)	(205, 36.59048959510882)	(210, 37.40682153263172)	(215, 37.357606636202966)	(220, 36.62340853726496)	(225, 36.57406340057637)	(230, 36.32692375053736)	(235, 36.506972152785515)	(240, 36.30295285557342)	(245, 36.34834906937125)	(250, 36.13854551493416)
ERR346598_1.pr	(1, 37.41635537234319)	(2, 36.44726601078065)	(3, 37.0056474047269)	(4, 37.77563798107731)	(5, 37.96669380677749)	(6, 38.04626408835614)	(7, 37.69307851784839)	(8, 38.28525311922802)	(9, 38.001868145703305)	(10, 37.803532740421986)	(15, 37.0787616818377)	(20, 37.80084425857588)	(25, 38.053855453868536)	(30, 38.07010746652491)	(35, 38.334241722658454)	(40, 38.309667845444864)	(45, 37.773719391039414)	(50, 38.22188534495952)	(55, 38.23278391412746)	(60, 38.08594174894887)	(65, 38.02467707747224)	(70, 38.0423688581195)	(75, 38.20523496581417)	(80, 38.28480210369662)	(85, 38.15588777662681)	(90, 38.08720940492856)	(95, 38.027892116026166)	(100, 38.11282147754035)	(105, 38.131160068628354)	(110, 38.0523266421294)	(115, 37.903497329429435)	(120, 37.78327502848312)	(125, 37.716027297702375)	(130, 37.57797697849537)	(135, 37.239832382728245)	(140, 37.22598068797588)	(145, 36.930234063782805)	(150, 36.81133196593671)	(155, 36.78396618065186)	(160, 36.504984003159166)	(165, 36.29360440021609)	(170, 36.01915805922333)	(175, 35.68316309623333)	(180, 35.20188510756742)	(185, 34.70833040726792)	(190, 34.22795319539745)	(195, 33.91591263319969)	(200, 33.66349913216594)	(205, 33.051270319929486)	(210, 32.730191120055146)	(215, 32.52547401942722)	(220, 33.23597308125669)	(225, 34.60653890313013)	(230, 33.131873982580444)	(235, 32.68139478158165)	(240, 32.42513087701476)	(245, 33.33681843732434)	(250, 34.85245900224558)
ERR346598_2.pr	(1, 33.32327818873205)	(2, 33.40813387894926)	(3, 33.44571986019849)	(4, 33.23790985275004)	(5, 33.391539233986606)	(6, 35.367859522998195)	(7, 35.41794124476423)	(8, 34.74088621374916)	(9, 35.837545572700705)	(10, 36.98482930403814)	(15, 37.75505257634652)	(20, 38.16396235973861)	(25, 38.47558931646226)	(30, 38.23013799217763)	(35, 38.73940662760507)	(40, 38.61168998199709)	(45, 38.578272564706445)	(50, 38.24731464086149)	(55, 38.73753290733476)	(60, 38.73084559411121)	(65, 38.8835831224952)	(70, 38.57750525461908)	(75, 38.77766206391185)	(80, 38.75155557833981)	(85, 38.63725909418509)	(90, 38.6808006622177)	(95, 38.696843911426875)	(100, 38.58555861802764)	(105, 38.56195248678429)	(110, 38.553851326697085)	(115, 38.330025059331206)	(120, 38.33999496400925)	(125, 38.372595012861375)	(130, 38.403738695407)	(135, 38.322463685078695)	(140, 38.5433987811093)	(145, 38.436119965140094)	(150, 38.25712592690878)	(155, 38.40810658810119)	(160, 38.317267115583526)	(165, 38.05871497800147)	(170, 37.80611948264996)	(175, 37.99101226429603)	(180, 38.2985587115101)	(185, 37.9698894494486)	(190, 37.83170910066855)	(195, 37.925663348541825)	(200, 37.52671532780681)	(205, 36.671121759400265)	(210, 37.49544725327414)	(215, 37.45281864703736)	(220, 36.79719477221943)	(225, 36.77677910697107)	(230, 36.63973110221855)	(235, 36.60066055914575)	(240, 36.415513716289766)	(245, 36.482700014776256)	(250, 36.15108087666865)
ERR346599_1.pr	(1, 33.30624092285987)	(2, 33.39895569664025)	(3, 33.43966139673845)	(4, 33.226131098109185)	(5, 33.37343319916456)	(6, 35.37704054110129)	(7, 35.40877076503866)	(8, 34.73488249858224)	(9, 35.83277591048038)	(10, 36.975587645407145)	(15, 37.74130046889913)	(20, 38.14896413405812)	(25, 38.456935142537034)	(30, 38.205454168222744)	(35, 38.726580632668025)	(40, 38.601969376322664)	(45, 38.57284479300663)	(50, 38.23896980510948)	(55, 38.72807253413005)	(60, 38.72170657150366)	(65, 38.88044206536924)	(70, 38.56996721855678)	(75, 38.77594450668769)	(80, 38.74683679820739)	(85, 38.624998547657576)	(90, 38.67066572610205)	(95, 38.683087265031745)	(100, 38.571575030775826)	(105, 38.53728702435786)	(110, 38.54315614755799)	(115, 38.30975974106809)	(120, 38.32338769243537)	(125, 38.36237077610413)	(130, 38.377445537159225)	(135, 38.31099547699075)	(140, 38.47216482011702)	(145, 38.414937549275905)	(150, 38.232666639003)	(155, 38.38631865775896)	(160, 38.29049919083779)	(165, 38.032621270592145)	(170, 37.79106186978713)	(175, 37.96909083364454)	(180, 38.283598766200534)	(185, 37.94769686155719)	(190, 37.80938047221876)	(195, 37.903958393847596)	(200, 37.51329211447225)	(205, 36.66422119866661)	(210, 37.47727844862166)	(215, 37.438981977122154)	(220, 36.7544238350139)	(225, 36.76998381675588)	(230, 36.62476672614355)	(235, 36.57333305669668)	(240, 36.3977650524918)	(245, 36.481316513824915)	(250, 36.150877725687366)
ERR346599_2.pr	(1, 37.63030503382579)	(2, 36.872926778326594)	(3, 37.23602948397511)	(4, 37.93194867276467)	(5, 38.19655891193122)	(6, 38.2941924204219)	(7, 38.14613766288734)	(8, 38.44392359838389)	(9, 38.164052677224056)	(10, 38.1070925586021)	(15, 37.54026263082028)	(20, 37.94034787299524)	(25, 38.200906544576846)	(30, 38.19226517502946)	(35, 38.430238020150384)	(40, 38.405126119696135)	(45, 37.87322927490451)	(50, 38.320207416602614)	(55, 38.29214968798895)	(60, 38.14969514219321)	(65, 38.08822790615362)	(70, 38.117455583782444)	(75, 38.27055790867094)	(80, 38.34802027788728)	(85, 38.24951220895411)	(90, 38.17555769101853)	(95, 38.12159648748084)	(100, 38.203232593170476)	(105, 38.22427667788461)	(110, 38.14817817764573)	(115, 38.02085270427846)	(120, 37.910110423032386)	(125, 37.85059430359349)	(130, 37.734739300890965)	(135, 37.42716815034929)	(140, 37.423097345082624)	(145, 37.164560700853315)	(150, 37.04442333974011)	(155, 37.01661553272895)	(160, 36.76099169815471)	(165, 36.560597980010805)	(170, 36.29820179273914)	(175, 35.97641278388817)	(180, 35.50940617487778)	(185, 35.04353549003784)	(190, 34.58719815621202)	(195, 34.29000748328176)	(200, 34.035729205571926)	(205, 33.43031133548917)	(210, 33.121080882792214)	(215, 32.90301024210711)	(220, 33.51160390228159)	(225, 34.77862525027914)	(230, 33.40542642258218)	(235, 32.83513422403712)	(240, 32.68813393394076)	(245, 33.709375)	(250, 34.90571696559297)
ERR346600_1.pr	(1, 37.618628722841585)	(2, 36.996344127517936)	(3, 37.272569241053276)	(4, 38.03028929976776)	(5, 38.21678014458097)	(6, 38.42168890573449)	(7, 38.28557719641304)	(8, 38.5497118540405)	(9, 38.430210101044906)	(10, 38.21920288114428)	(15, 37.57861200461009)	(20, 37.92785735234615)	(25, 38.30359917914811)	(30, 38.10747877862754)	(35, 38.450007149883966)	(40, 38.42173890612247)	(45, 37.90636683567958)	(50, 38.36255101847433)	(55, 38.303694291132004)	(60, 38.15704430883524)	(65, 38.16035505874439)	(70, 38.170297762566875)	(75, 38.312141436668455)	(80, 38.39164703997299)	(85, 38.31616382827834)	(90, 38.26554505733818)	(95, 38.18458340424856)	(100, 38.25656077851821)	(105, 38.30160368841443)	(110, 38.20879054975921)	(115, 38.122806665541866)	(120, 38.02990425261176)	(125, 37.98636012094789)	(130, 37.83336752192814)	(135, 37.54462267401792)	(140, 37.589137835975194)	(145, 37.41251212550965)	(150, 37.135095183252965)	(155, 37.166326439189795)	(160, 36.88224014828154)	(165, 36.65107631239261)	(170, 36.45297581249348)	(175, 36.076426109774154)	(180, 35.62950440050449)	(185, 35.27637864703343)	(190, 34.66133383328755)	(195, 34.52764893587694)	(200, 34.15279539063793)	(205, 33.63461302594603)	(210, 33.30114374946638)	(215, 32.88627342244369)	(220, 33.61259040704881)	(225, 34.74597314732658)	(230, 33.57754917443252)	(235, 32.886903831506956)	(240, 32.362060198062615)	(245, 33.60109789569991)	(250, 35.043703302881454)
ERR346600_2.pr	(1, 33.33027816924461)	(2, 33.41610473470035)	(3, 33.45770779997174)	(4, 33.2482366764409)	(5, 33.38645471178662)	(6, 35.3805178158563)	(7, 35.40927368642301)	(8, 34.74403812293475)	(9, 35.81613712403392)	(10, 36.96406713550802)	(15, 37.75280701814836)	(20, 38.165683156512834)	(25, 38.4263855915705)	(30, 38.2916700836265)	(35, 38.725026962397365)	(40, 38.57414056281635)	(45, 38.564985063004144)	(50, 38.278964161546966)	(55, 38.744140804013526)	(60, 38.72759364479927)	(65, 38.87619590722868)	(70, 38.58931220905591)	(75, 38.78722413074264)	(80, 38.73887443620163)	(85, 38.62855395408295)	(90, 38.65664653244619)	(95, 38.703727185332454)	(100, 38.5710187823678)	(105, 38.54422556758861)	(110, 38.51338816548882)	(115, 38.29856143119506)	(120, 38.30477570386501)	(125, 38.39515503809192)	(130, 38.379243605690874)	(135, 38.33123606655663)	(140, 38.52688280229758)	(145, 38.393764019585205)	(150, 38.170854079160904)	(155, 38.32846677853621)	(160, 38.22164537814547)	(165, 37.974585743869284)	(170, 37.76249349629073)	(175, 37.987131786685225)	(180, 38.2428490209118)	(185, 37.87591474024788)	(190, 37.76773574438613)	(195, 37.80578425258167)	(200, 37.42832757331532)	(205, 36.587729955654176)	(210, 37.41547900034112)	(215, 37.34474207408888)	(220, 36.63053073713299)	(225, 36.57824091461965)	(230, 36.33699275374803)	(235, 36.537812824108684)	(240, 36.33518618698294)	(245, 36.366511151923206)	(250, 36.1521258264322)
