Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
ERR346596_1.pr	(20.0, 2.0)	(21.0, 4.0)	(22.0, 10.0)	(23.0, 15.0)	(24.0, 57.0)	(25.0, 103.0)	(26.0, 227.0)	(27.0, 350.0)	(28.0, 655.0)	(29.0, 1029.0)	(30.0, 1767.0)	(31.0, 3057.0)	(32.0, 5375.0)	(33.0, 10591.0)	(34.0, 20763.0)	(35.0, 46841.0)	(36.0, 116099.0)	(37.0, 297288.0)	(38.0, 154959.0)							
ERR346596_2.pr	(13.0, 3.0)	(14.0, 7.0)	(15.0, 7.0)	(16.0, 4.0)	(17.0, 6.0)	(18.0, 4.0)	(19.0, 1.0)	(20.0, 6.0)	(21.0, 5.0)	(22.0, 13.0)	(23.0, 25.0)	(24.0, 32.0)	(25.0, 58.0)	(26.0, 98.0)	(27.0, 158.0)	(28.0, 241.0)	(29.0, 325.0)	(30.0, 501.0)	(31.0, 763.0)	(32.0, 1306.0)	(33.0, 2445.0)	(34.0, 5224.0)	(35.0, 12481.0)	(36.0, 39144.0)	(37.0, 205527.0)	(38.0, 390808.0)
ERR346597_1.pr	(20.0, 1.0)	(21.0, 7.0)	(22.0, 15.0)	(23.0, 26.0)	(24.0, 65.0)	(25.0, 121.0)	(26.0, 219.0)	(27.0, 473.0)	(28.0, 755.0)	(29.0, 1389.0)	(30.0, 2332.0)	(31.0, 3935.0)	(32.0, 7185.0)	(33.0, 13436.0)	(34.0, 27056.0)	(35.0, 59136.0)	(36.0, 135783.0)	(37.0, 274418.0)	(38.0, 101718.0)							
ERR346597_2.pr	(13.0, 10.0)	(14.0, 10.0)	(15.0, 7.0)	(16.0, 1.0)	(17.0, 4.0)	(18.0, 1.0)	(19.0, 3.0)	(20.0, 4.0)	(21.0, 9.0)	(22.0, 5.0)	(23.0, 15.0)	(24.0, 40.0)	(25.0, 60.0)	(26.0, 88.0)	(27.0, 142.0)	(28.0, 222.0)	(29.0, 319.0)	(30.0, 490.0)	(31.0, 701.0)	(32.0, 1201.0)	(33.0, 2294.0)	(34.0, 4854.0)	(35.0, 11501.0)	(36.0, 37540.0)	(37.0, 200189.0)	(38.0, 368360.0)
ERR346598_1.pr	(20.0, 2.0)	(21.0, 10.0)	(22.0, 25.0)	(23.0, 47.0)	(24.0, 131.0)	(25.0, 259.0)	(26.0, 473.0)	(27.0, 970.0)	(28.0, 1714.0)	(29.0, 3110.0)	(30.0, 5214.0)	(31.0, 9092.0)	(32.0, 16493.0)	(33.0, 30508.0)	(34.0, 60886.0)	(35.0, 130477.0)	(36.0, 294620.0)	(37.0, 580136.0)	(38.0, 192284.0)							
ERR346598_2.pr	(13.0, 11.0)	(14.0, 34.0)	(15.0, 9.0)	(16.0, 9.0)	(17.0, 5.0)	(18.0, 6.0)	(19.0, 12.0)	(20.0, 5.0)	(21.0, 14.0)	(22.0, 17.0)	(23.0, 44.0)	(24.0, 70.0)	(25.0, 101.0)	(26.0, 170.0)	(27.0, 275.0)	(28.0, 425.0)	(29.0, 630.0)	(30.0, 888.0)	(31.0, 1319.0)	(32.0, 2255.0)	(33.0, 4328.0)	(34.0, 8924.0)	(35.0, 21699.0)	(36.0, 68274.0)	(37.0, 381766.0)	(38.0, 835162.0)
ERR346599_1.pr	(13.0, 12.0)	(14.0, 7.0)	(15.0, 6.0)	(16.0, 6.0)	(17.0, 5.0)	(18.0, 7.0)	(19.0, 1.0)	(20.0, 11.0)	(21.0, 4.0)	(22.0, 22.0)	(23.0, 17.0)	(24.0, 35.0)	(25.0, 59.0)	(26.0, 102.0)	(27.0, 169.0)	(28.0, 233.0)	(29.0, 384.0)	(30.0, 530.0)	(31.0, 825.0)	(32.0, 1377.0)	(33.0, 2516.0)	(34.0, 5274.0)	(35.0, 12262.0)	(36.0, 38670.0)	(37.0, 210975.0)	(38.0, 449461.0)
ERR346599_2.pr	(21.0, 2.0)	(22.0, 10.0)	(23.0, 26.0)	(24.0, 71.0)	(25.0, 126.0)	(26.0, 236.0)	(27.0, 434.0)	(28.0, 818.0)	(29.0, 1369.0)	(30.0, 2279.0)	(31.0, 4160.0)	(32.0, 6979.0)	(33.0, 13274.0)	(34.0, 26276.0)	(35.0, 58101.0)	(36.0, 139260.0)	(37.0, 322973.0)	(38.0, 146575.0)								
ERR346600_1.pr	(20.0, 2.0)	(21.0, 4.0)	(22.0, 4.0)	(23.0, 18.0)	(24.0, 48.0)	(25.0, 88.0)	(26.0, 168.0)	(27.0, 328.0)	(28.0, 531.0)	(29.0, 897.0)	(30.0, 1542.0)	(31.0, 2701.0)	(32.0, 4763.0)	(33.0, 9163.0)	(34.0, 18781.0)	(35.0, 42864.0)	(36.0, 106279.0)	(37.0, 261559.0)	(38.0, 130697.0)							
ERR346600_2.pr	(13.0, 7.0)	(14.0, 13.0)	(15.0, 3.0)	(16.0, 3.0)	(17.0, 2.0)	(18.0, 4.0)	(19.0, 3.0)	(20.0, 4.0)	(21.0, 3.0)	(22.0, 5.0)	(23.0, 23.0)	(24.0, 31.0)	(25.0, 48.0)	(26.0, 75.0)	(27.0, 117.0)	(28.0, 188.0)	(29.0, 328.0)	(30.0, 435.0)	(31.0, 662.0)	(32.0, 1105.0)	(33.0, 2028.0)	(34.0, 4363.0)	(35.0, 10778.0)	(36.0, 34237.0)	(37.0, 182144.0)	(38.0, 343829.0)
