Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR346596_1.pr	(1.0, 1.198891976844379)	(2.0, 0.40200730591390677)	(3.0, 0.2776125923858299)	(4.0, 0.21541523562179152)	(5.0, 0.1827995485382104)	(6.0, 0.16019611888493793)	(7.0, 0.14760494666197405)	(8.0, 0.12621512396995108)	(9.0, 0.12424301265792059)	('>10', 2.702095899222078)	('>50', 1.841496862826005)	('>100', 4.480485200063108)	('>500', 2.964841806332601)	('>1k', 5.958355077124723)	('>5k', 2.4567955921795166)	('>10k+', 76.76094370077307)
ERR346596_2.pr	(1.0, 39.79465980614032)	(2.0, 15.424478341068271)	(3.0, 9.31631453809908)	(4.0, 6.570366487219012)	(5.0, 4.72165264979891)	(6.0, 3.6449996218505984)	(7.0, 2.8502942480010693)	(8.0, 2.153578725613571)	(9.0, 1.7968571177221004)	('>10', 10.997825723947475)	('>50', 0.8839478855803696)	('>100', 1.3763290248687825)	('>500', 0.46869583009045024)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR346597_1.pr	(1.0, 1.2602098492206284)	(2.0, 0.41110067349180823)	(3.0, 0.2536341490598182)	(4.0, 0.2362793956087697)	(5.0, 0.19026541627525595)	(6.0, 0.17100004776537647)	(7.0, 0.15157546133392774)	(8.0, 0.12610059388284744)	(9.0, 0.13756428423583358)	('>10', 2.810196315697295)	('>50', 2.025729616125591)	('>100', 4.298565446526661)	('>500', 2.550989539382553)	('>1k', 6.104096677121977)	('>5k', 2.573280048402248)	('>10k+', 76.69941248586942)
ERR346597_2.pr	(1.0, 40.098105047030295)	(2.0, 15.716795579869425)	(3.0, 9.380288967887495)	(4.0, 6.3215837951231615)	(5.0, 4.795302453508821)	(6.0, 3.6777002430948476)	(7.0, 2.7918777816873024)	(8.0, 2.1507874193293817)	(9.0, 1.6097223402021699)	('>10', 10.74280268591937)	('>50', 0.8985358683983533)	('>100', 1.4335492509640928)	('>500', 0.38294856698529856)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR346598_1.pr	(1.0, 1.3570788841209482)	(2.0, 0.479776124578952)	(3.0, 0.27343620425013493)	(4.0, 0.19420227795653366)	(5.0, 0.13796202199551885)	(6.0, 0.12032097656002629)	(7.0, 0.10501699269932119)	(8.0, 0.0946886883204217)	(9.0, 0.07667069746964081)	('>10', 2.0298510613275114)	('>50', 2.0784770198997027)	('>100', 8.540075328771792)	('>500', 3.414597738930621)	('>1k', 5.68041663022861)	('>5k', 0.0)	('>10k+', 75.41742935289027)
ERR346598_2.pr	(1.0, 32.56594972303976)	(2.0, 11.932855282438846)	(3.0, 8.147834111718351)	(4.0, 6.165169213535054)	(5.0, 4.812186491854993)	(6.0, 3.8603301975509083)	(7.0, 3.185214134481141)	(8.0, 2.729840047969606)	(9.0, 2.2635818136626615)	('>10', 19.35394040562194)	('>50', 2.3524955435040495)	('>100', 2.141649243381214)	('>500', 0.2282437201450909)	('>1k', 0.2607100710964223)	('>5k', 0.0)	('>10k+', 0.0)
ERR346599_1.pr	(1.0, 40.39211367631815)	(2.0, 14.32973637769799)	(3.0, 9.056451599277764)	(4.0, 6.26472802256086)	(5.0, 4.45222727149762)	(6.0, 3.5705244144070427)	(7.0, 2.745886964959893)	(8.0, 2.1383383162082144)	(9.0, 1.7302267058798935)	('>10', 12.320473885696796)	('>50', 1.3421164343987448)	('>100', 1.3938426860954813)	('>500', 0.1091230283120991)	('>1k', 0.1542106166894683)	('>5k', 0.0)	('>10k+', 0.0)
ERR346599_2.pr	(1.0, 1.5876177434748329)	(2.0, 0.5056917991064636)	(3.0, 0.2605917257977509)	(4.0, 0.19419892941615835)	(5.0, 0.1417762839398592)	(6.0, 0.11452757375824724)	(7.0, 0.11425093710665725)	(8.0, 0.10622847421054817)	(9.0, 0.11328270882609236)	('>10', 3.218529122923496)	('>50', 2.7279140213286857)	('>100', 8.73466395562748)	('>500', 3.9564573910397387)	('>1k', 2.3897257147599484)	('>5k', 1.3675532871350125)	('>10k+', 74.46699033154903)
ERR346600_1.pr	(1.0, 1.1828998101433745)	(2.0, 0.4148591236273297)	(3.0, 0.2713468105120616)	(4.0, 0.23292754781733793)	(5.0, 0.20501759016466875)	(6.0, 0.17056085232186727)	(7.0, 0.1616021004827389)	(8.0, 0.16263580261802296)	(9.0, 0.12094314982823316)	('>10', 2.693310913482577)	('>50', 2.1699130656504226)	('>100', 4.346545195180192)	('>500', 2.835444957084133)	('>1k', 6.219958031693308)	('>5k', 3.039256561424304)	('>10k+', 75.77277848796943)
ERR346600_2.pr	(1.0, 41.180626234466786)	(2.0, 15.843920520329494)	(3.0, 9.21988598373728)	(4.0, 6.397414149286259)	(5.0, 4.649110039836275)	(6.0, 3.4787802386294198)	(7.0, 2.6862345861884886)	(8.0, 2.0176164926243785)	(9.0, 1.7289864890794018)	('>10', 10.284943152228058)	('>50', 0.7671858964143454)	('>100', 1.3703194627778246)	('>500', 0.37497675440198014)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
