Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
ERR346596_1.pr	(15, 1.0)	(20, 2.0)	(25, 3.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 2.0)	(50, 1.0)	(55, 1.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 3.0)	(85, 1.0)	(90, 3.0)	(95, 1.0)	(100, 2.0)	(105, 4.0)	(110, 1.0)	(115, 1.0)	(120, 3.0)	(125, 2.0)	(130, 1.0)	(135, 1.0)	(140, 2.0)	(145, 1.0)	(150, 2.0)	(155, 2.0)	(160, 3.0)	(165, 4.0)	(170, 3.0)	(175, 3.0)	(180, 0.0)	(185, 1.0)	(190, 1.0)	(195, 1.0)	(200, 3.0)	(205, 0.0)	(210, 4.0)	(215, 1.0)	(220, 21.0)	(225, 656874.0)	(230, 795.0)	(235, 168.0)	(240, 46.0)	(245, 0.0)	(250, 1224.0)			
ERR346596_2.pr	(250, 159980.0)	(251, 499212.0)																																																	
ERR346597_1.pr	(5, 1.0)	(10, 1.0)	(15, 1.0)	(20, 2.0)	(25, 1.0)	(30, 0.0)	(35, 2.0)	(40, 2.0)	(45, 2.0)	(50, 0.0)	(55, 1.0)	(60, 2.0)	(65, 1.0)	(70, 0.0)	(75, 1.0)	(80, 2.0)	(85, 1.0)	(90, 2.0)	(95, 1.0)	(100, 1.0)	(105, 3.0)	(110, 0.0)	(115, 0.0)	(120, 1.0)	(125, 1.0)	(130, 1.0)	(135, 1.0)	(140, 0.0)	(145, 2.0)	(150, 2.0)	(155, 2.0)	(160, 2.0)	(165, 3.0)	(170, 1.0)	(175, 0.0)	(180, 2.0)	(185, 1.0)	(190, 3.0)	(195, 0.0)	(200, 0.0)	(205, 2.0)	(210, 2.0)	(215, 0.0)	(220, 13.0)	(225, 625930.0)	(230, 707.0)	(235, 180.0)	(240, 37.0)	(245, 0.0)	(250, 1150.0)	
ERR346597_2.pr	(250, 155390.0)	(251, 472680.0)																																																	
ERR346598_1.pr	(0, 2.0)	(5, 1.0)	(10, 1.0)	(15, 4.0)	(20, 3.0)	(25, 2.0)	(30, 1.0)	(35, 1.0)	(40, 1.0)	(45, 5.0)	(50, 0.0)	(55, 0.0)	(60, 1.0)	(65, 2.0)	(70, 1.0)	(75, 0.0)	(80, 1.0)	(85, 0.0)	(90, 1.0)	(95, 0.0)	(100, 5.0)	(105, 2.0)	(110, 0.0)	(115, 1.0)	(120, 5.0)	(125, 0.0)	(130, 0.0)	(135, 1.0)	(140, 4.0)	(145, 6.0)	(150, 2.0)	(155, 1.0)	(160, 1.0)	(165, 7.0)	(170, 7.0)	(175, 1.0)	(180, 2.0)	(185, 4.0)	(190, 1.0)	(195, 6.0)	(200, 4.0)	(205, 6.0)	(210, 2.0)	(215, 7.0)	(220, 44.0)	(225, 1322846.0)	(230, 1367.0)	(235, 258.0)	(240, 56.0)	(245, 0.0)	(250, 1779.0)
ERR346598_2.pr	(250, 340472.0)	(251, 985980.0)																																																	
ERR346599_1.pr	(250, 187523.0)	(251, 535447.0)																																																	
ERR346599_2.pr	(0, 1.0)	(5, 0.0)	(10, 0.0)	(15, 4.0)	(20, 0.0)	(25, 1.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 1.0)	(50, 2.0)	(55, 1.0)	(60, 0.0)	(65, 1.0)	(70, 2.0)	(75, 2.0)	(80, 2.0)	(85, 0.0)	(90, 2.0)	(95, 2.0)	(100, 0.0)	(105, 1.0)	(110, 1.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 1.0)	(135, 1.0)	(140, 1.0)	(145, 3.0)	(150, 3.0)	(155, 1.0)	(160, 4.0)	(165, 7.0)	(170, 6.0)	(175, 2.0)	(180, 2.0)	(185, 2.0)	(190, 2.0)	(195, 2.0)	(200, 1.0)	(205, 1.0)	(210, 6.0)	(215, 3.0)	(220, 25.0)	(225, 720552.0)	(230, 835.0)	(235, 161.0)	(240, 46.0)	(245, 0.0)	(250, 1280.0)
ERR346600_1.pr	(0, 2.0)	(5, 1.0)	(10, 1.0)	(15, 1.0)	(20, 1.0)	(25, 3.0)	(30, 0.0)	(35, 0.0)	(40, 1.0)	(45, 1.0)	(50, 0.0)	(55, 1.0)	(60, 0.0)	(65, 4.0)	(70, 2.0)	(75, 3.0)	(80, 0.0)	(85, 1.0)	(90, 1.0)	(95, 2.0)	(100, 1.0)	(105, 0.0)	(110, 2.0)	(115, 3.0)	(120, 4.0)	(125, 1.0)	(130, 2.0)	(135, 0.0)	(140, 0.0)	(145, 2.0)	(150, 2.0)	(155, 1.0)	(160, 1.0)	(165, 2.0)	(170, 3.0)	(175, 1.0)	(180, 0.0)	(185, 1.0)	(190, 3.0)	(195, 0.0)	(200, 0.0)	(205, 3.0)	(210, 4.0)	(215, 3.0)	(220, 16.0)	(225, 578422.0)	(230, 663.0)	(235, 145.0)	(240, 35.0)	(245, 0.0)	(250, 1093.0)
ERR346600_2.pr	(250, 139956.0)	(251, 440482.0)																																																	
