Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR346596_1.pr	ERR346596_1.pr.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	659192.0	149.4 Mbp	0.0	18-251	49.0	1.8461995898008472	227.0445788177041	227	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
ERR346596_2.pr	ERR346596_2.pr.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	659192.0	165.2 Mbp	0.0	250-251	50.0	55.41723589463741	250.75730894792412	251	pass	pass	warn	pass	fail	pass	pass	warn	warn	warn	pass
ERR346597_1.pr	ERR346597_1.pr.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	628070.0	142.3 Mbp	0.0	7-251	49.0	1.9193720445173308	227.04366551499038	227	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR346597_2.pr	ERR346597_2.pr.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	628070.0	157.4 Mbp	0.0	250-251	50.0	55.806876003063856	250.75259127167354	251	pass	pass	warn	pass	fail	pass	pass	warn	warn	warn	pass
ERR346598_1.pr	ERR346598_1.pr.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1326452.0	300.6 Mbp	0.0	0-251	49.0	1.984617611492915	227.03261784067573	227	pass	pass	warn	pass	fail	warn	pass	fail	fail	fail	pass
ERR346598_2.pr	ERR346598_2.pr.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1326452.0	332.5 Mbp	0.0	250-251	51.0	46.64916533248459	250.74332128113193	251	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
ERR346599_1.pr	ERR346599_1.pr.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	722970.0	181.2 Mbp	0.0	250-251	51.0	55.28099137191952	250.74062132591948	251	pass	pass	warn	pass	fail	warn	pass	warn	warn	warn	pass
ERR346599_2.pr	ERR346599_2.pr.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	722970.0	163.8 Mbp	0.0	0-251	49.0	2.297052436477309	227.04274036267066	227	pass	pass	fail	pass	fail	warn	pass	fail	fail	fail	pass
ERR346600_1.pr	ERR346600_1.pr.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	580438.0	131.5 Mbp	0.0	0-251	49.0	1.8532556448750772	227.04238523322044	227	pass	pass	fail	pass	fail	warn	pass	fail	fail	fail	pass
ERR346600_2.pr	ERR346600_2.pr.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	580438.0	145.5 Mbp	0.0	250-251	51.0	56.806380782730145	250.75887863992364	251	pass	pass	warn	pass	fail	pass	pass	warn	warn	warn	pass
ERR346601_1.pr	ERR346601_1.pr.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	698577.0	158.3 Mbp	0.0	7-251	49.0	2.3125582434005127	227.05069448321373	227	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
ERR346601_2.pr	ERR346601_2.pr.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	698577.0	175.1 Mbp	0.0	250-251	51.0	55.2764014601008	250.7453337284222	251	pass	pass	warn	pass	fail	warn	pass	warn	warn	warn	pass
