Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
ERR346596_1.pr	98.15380041019915	49.0	227.0445788177041	227	27.27272727272727	0.659192
ERR346596_2.pr	44.58276410536259	50.0	250.75730894792412	251	9.090909090909092	0.659192
ERR346597_1.pr	98.08062795548267	49.0	227.04366551499038	227	36.36363636363637	0.62807
ERR346597_2.pr	44.193123996936144	50.0	250.75259127167354	251	9.090909090909092	0.62807
ERR346598_1.pr	98.01538238850708	49.0	227.03261784067573	227	36.36363636363637	1.326452
ERR346598_2.pr	53.35083466751541	51.0	250.74332128113193	251	18.181818181818183	1.326452
ERR346599_1.pr	44.71900862808048	51.0	250.74062132591948	251	9.090909090909092	0.72297
ERR346599_2.pr	97.70294756352268	49.0	227.04274036267066	227	45.45454545454545	0.72297
ERR346600_1.pr	98.14674435512492	49.0	227.04238523322044	227	45.45454545454545	0.580438
ERR346600_2.pr	43.193619217269855	51.0	250.75887863992364	251	9.090909090909092	0.580438
ERR346601_1.pr	97.68744175659948	49.0	227.05069448321373	227	36.36363636363637	0.698577
ERR346601_2.pr	44.7235985398992	51.0	250.7453337284222	251	9.090909090909092	0.698577
