Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
ERR346596_1.pr	(1, 0.0)	(2, 8.988166180406877e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 8.988865851424475e-05)	(115, 0.0002696668966625665)	(120, 0.0037753446979598396)	(125, 0.0028764629285952235)	(130, 0.0013843022640173638)	(135, 0.0)	(140, 0.0)	(145, 0.0004314749467667784)	(150, 3.595632313516126e-05)	(155, 0.0009708235172288815)	(160, 0.00014382606825913286)	(165, 3.595665928116885e-05)	(170, 0.0)	(175, 0.0)	(180, 5.3935842236942316e-05)	(185, 0.00025170132114427736)	(190, 0.00028765922162650795)	(195, 0.00026968076270034587)	(200, 0.00030563957147893776)	(205, 0.00044947213991887924)	(210, 5.39367440652951e-05)	(215, 0.0)	(220, 0.014581104291213598)	(225, 0.016876426459855536)	(230, 0.005050249987374375)	(235, 0.0)	(240, 0.0)	(245, 0.03359086328518643)	(250, 0.03359086328518643)
ERR346596_2.pr	(1, 0.08197207556531072)	(2, 0.02642520857039622)	(3, 0.01680787075736086)	(4, 0.010336391107467906)	(5, 0.00943757448942722)	(6, 0.0008988166180406876)	(7, 0.003145858163142407)	(8, 0.0002696449854122063)	(9, 8.988166180406877e-05)	(10, 3.5952664721627504e-05)	(15, 0.0)	(20, 7.190532944325501e-05)	(25, 0.02212886513616173)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 1.7976332360813752e-05)	(50, 0.0)	(55, 3.5952664721627504e-05)	(60, 0.0003775029795770888)	(65, 0.00030559765013383377)	(70, 8.988166180406877e-05)	(75, 1.7976332360813752e-05)	(80, 0.0)	(85, 1.7976332360813752e-05)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 1.7976332360813752e-05)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 1.7976332360813752e-05)	(150, 0.0)	(155, 0.00012583432652569628)	(160, 0.00010785799416488252)	(165, 0.0)	(170, 5.392899708244126e-05)	(175, 1.7976332360813752e-05)	(180, 0.0003415503148554613)	(185, 3.5952664721627504e-05)	(190, 0.0)	(195, 0.0004853609737419713)	(200, 3.5952664721627504e-05)	(205, 8.988166180406877e-05)	(210, 0.0004314319766595301)	(215, 0.0005213136384635987)	(220, 0.00028762131777302003)	(225, 0.0038828877899357702)	(230, 0.0006471479649892951)	(235, 1.7976332360813752e-05)	(240, 0.0)	(245, 0.0)	(250, 0.0)
ERR346597_1.pr	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 5.172468193199963e-05)	(115, 0.00013793303213356883)	(120, 0.003379365696507098)	(125, 0.0027759161514698477)	(130, 0.0010172631276944542)	(135, 0.0)	(140, 0.0)	(145, 0.0003793208742518542)	(150, 3.448382880848026e-05)	(155, 0.0011207277212691533)	(160, 0.00020690393605426953)	(165, 1.724206304732774e-05)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.00017242354395214076)	(190, 0.00022415114822287797)	(195, 0.00029312164203295374)	(200, 0.00022415253959654613)	(205, 0.00027588033414626073)	(210, 6.89703451655409e-05)	(215, 0.0)	(220, 0.014949510485434917)	(225, 0.019283918126483078)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.02899601304820587)	(250, 0.03624501631025734)
ERR346597_2.pr	(1, 0.08128917914307586)	(2, 0.023705752136103774)	(3, 0.014654464956864153)	(4, 0.007930651623714717)	(5, 0.006810016068189812)	(6, 0.0007758246153633962)	(7, 0.0026722847862516983)	(8, 0.00043101367520188686)	(9, 8.620273504037736e-05)	(10, 1.724054700807547e-05)	(15, 0.0)	(20, 1.724054700807547e-05)	(25, 0.020188680546456377)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0004999758632341887)	(65, 0.00024136765811305663)	(70, 0.0001896460170888302)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 1.724054700807547e-05)	(125, 1.724054700807547e-05)	(130, 1.724054700807547e-05)	(135, 0.0)	(140, 0.0)	(145, 1.724054700807547e-05)	(150, 1.724054700807547e-05)	(155, 0.0001896460170888302)	(160, 6.896218803230188e-05)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.00022412711110498114)	(185, 3.448109401615094e-05)	(190, 0.0)	(195, 0.00044825422220996227)	(200, 3.448109401615094e-05)	(205, 1.724054700807547e-05)	(210, 0.00025860820512113206)	(215, 0.00046549476921803774)	(220, 0.00022412711110498114)	(225, 0.003930844717841208)	(230, 0.0011206355555249056)	(235, 1.724054700807547e-05)	(240, 0.0)	(245, 0.0)	(250, 0.0)
ERR346598_1.pr	(1, 4.173403235055252e-05)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 1.6694409993674488e-05)	(110, 4.173612601438611e-05)	(115, 0.0002587642836841189)	(120, 0.0036894873983137205)	(125, 0.0030133671631794247)	(130, 0.0013689552175516087)	(135, 8.347303937690381e-06)	(140, 0.0)	(145, 0.00025876778287680155)	(150, 0.00012521059378452944)	(155, 0.0012938455024928647)	(160, 0.00010851619216013918)	(165, 4.173709105163446e-05)	(170, 8.34747534781843e-06)	(175, 0.0)	(180, 5.843268350346009e-05)	(185, 0.0002587740254987577)	(190, 0.00030886009422403243)	(195, 0.00034225134604950124)	(200, 0.0002921666856018504)	(205, 0.00015860538121345973)	(210, 4.173843939140347e-05)	(215, 8.347733869903406e-06)	(220, 0.015101262353671565)	(225, 0.01973108247924091)	(230, 0.008854520232578732)	(235, 0.0)	(240, 0.0)	(245, 0.01612578109252167)	(250, 0.05039306591413022)
ERR346598_2.pr	(1, 0.08342629585159718)	(2, 0.02291197419836261)	(3, 0.015358117495441602)	(4, 0.008597207076252635)	(5, 0.008346802986653046)	(6, 0.0010850843882648958)	(7, 0.0028379130154620354)	(8, 0.00025040408959959133)	(9, 0.0)	(10, 3.3387211946612175e-05)	(15, 1.6693605973306087e-05)	(20, 4.173401493326523e-05)	(25, 0.021334428433885184)	(30, 0.0)	(35, 8.346802986653044e-06)	(40, 0.0)	(45, 8.346802986653044e-06)	(50, 0.0)	(55, 1.6693605973306087e-05)	(60, 0.0003505657254394279)	(65, 0.00025040408959959133)	(70, 8.346802986653045e-05)	(75, 8.346802986653044e-06)	(80, 3.3387211946612175e-05)	(85, 8.346802986653044e-06)	(90, 0.0)	(95, 1.6693605973306087e-05)	(100, 0.0)	(105, 8.346802986653044e-06)	(110, 1.6693605973306087e-05)	(115, 0.0)	(120, 8.346802986653044e-06)	(125, 8.346802986653044e-06)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 2.5040408959959136e-05)	(150, 0.0)	(155, 5.842762090657131e-05)	(160, 0.00010016163583983654)	(165, 8.346802986653044e-06)	(170, 0.0)	(175, 3.3387211946612175e-05)	(180, 0.000375606134399387)	(185, 2.5040408959959136e-05)	(190, 1.6693605973306087e-05)	(195, 0.0005175017851724887)	(200, 6.677442389322435e-05)	(205, 0.00010016163583983654)	(210, 0.0005759294060790601)	(215, 0.00041734014933265224)	(220, 0.00025875089258624437)	(225, 0.0038729165858070124)	(230, 0.0006093166180256722)	(235, 4.173401493326523e-05)	(240, 8.346802986653044e-06)	(245, 0.0)	(250, 0.0)
ERR346599_1.pr	(1, 0.08443188598318117)	(2, 0.02348010543532276)	(3, 0.014634860237084735)	(4, 0.007880309358430242)	(5, 0.006754550878654494)	(6, 0.0005628792398878745)	(7, 0.0018494603596315876)	(8, 0.0004020565999199104)	(9, 0.0)	(10, 3.216452799359283e-05)	(15, 1.6082263996796415e-05)	(20, 4.824679199038924e-05)	(25, 0.020955189987825727)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 1.6082263996796415e-05)	(60, 0.0004020565999199104)	(65, 0.00022515169595514978)	(70, 9.649358398077847e-05)	(75, 1.6082263996796415e-05)	(80, 3.216452799359283e-05)	(85, 4.824679199038924e-05)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 3.216452799359283e-05)	(115, 0.0)	(120, 1.6082263996796415e-05)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 1.6082263996796415e-05)	(150, 0.0)	(155, 6.432905598718566e-05)	(160, 0.00012865811197437132)	(165, 1.6082263996796415e-05)	(170, 0.0)	(175, 1.6082263996796415e-05)	(180, 0.000273398487945539)	(185, 1.6082263996796415e-05)	(190, 3.216452799359283e-05)	(195, 0.0005628792398878745)	(200, 3.216452799359283e-05)	(205, 8.041131998398206e-05)	(210, 0.0005950437678814674)	(215, 0.00030556301593913187)	(220, 0.00012865811197437132)	(225, 0.004326129015138235)	(230, 0.0004824679199038924)	(235, 1.6082263996796415e-05)	(240, 0.0)	(245, 0.0)	(250, 0.0)
ERR346599_2.pr	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 8.04169328467144e-05)	(115, 9.65005677450069e-05)	(120, 0.0036187759466235377)	(125, 0.0029271885961879)	(130, 0.0013027614360741396)	(135, 0.0)	(140, 0.0)	(145, 0.00022517056268032742)	(150, 0.00011258582457616663)	(155, 0.0013349511440048792)	(160, 8.041913164708354e-05)	(165, 6.433576061435506e-05)	(170, 0.0)	(175, 0.0)	(180, 6.433700236534989e-05)	(185, 0.00019301150380731275)	(190, 0.00025734970656503926)	(195, 0.00035385675717625523)	(200, 0.0003056040545615828)	(205, 0.000273435910402451)	(210, 3.216908586234623e-05)	(215, 1.608469816018397e-05)	(220, 0.016519173661713703)	(225, 0.021464352949499988)	(230, 0.013449296153501301)	(235, 0.005597223777006604)	(240, 0.0)	(245, 0.01813236627379873)	(250, 0.04533091568449683)
ERR346600_1.pr	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 6.0553593058459046e-05)	(115, 0.0003431384818100272)	(120, 0.0043397021995427365)	(125, 0.0029469736498167727)	(130, 0.0014129374201942667)	(135, 0.0)	(140, 0.0)	(145, 0.00034314547733251623)	(150, 4.037019468526387e-05)	(155, 0.0009890733634065462)	(160, 8.074087829927415e-05)	(165, 2.0185276617012232e-05)	(170, 0.0)	(175, 0.0)	(180, 2.018563924992587e-05)	(185, 0.00026241352212842396)	(190, 0.0002826000333468039)	(195, 0.0002624150052937181)	(200, 0.00020185769637978313)	(205, 0.0001816720000855877)	(210, 4.037173486024617e-05)	(215, 0.0)	(220, 0.013928512816351346)	(225, 0.01584746845049873)	(230, 0.0111731843575419)	(235, 0.0)	(240, 0.0)	(245, 0.02260738507912585)	(250, 0.05651846269781462)
ERR346600_2.pr	(1, 0.07962241416370731)	(2, 0.022907842858252928)	(3, 0.015742834739592322)	(4, 0.00888057344284695)	(5, 0.007871417369796161)	(6, 0.0014128185022711057)	(7, 0.0029265526118472905)	(8, 0.0006054936438304739)	(9, 0.0)	(10, 2.01831214610158e-05)	(15, 0.0)	(20, 4.03662429220316e-05)	(25, 0.019718909667412434)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 2.01831214610158e-05)	(50, 0.0)	(55, 2.01831214610158e-05)	(60, 0.00024219745753218956)	(65, 0.00014128185022711058)	(70, 6.054936438304739e-05)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 2.01831214610158e-05)	(115, 0.0)	(120, 4.03662429220316e-05)	(125, 0.00012109872876609478)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 4.03662429220316e-05)	(150, 0.0)	(155, 0.0001614649716881264)	(160, 4.03662429220316e-05)	(165, 2.01831214610158e-05)	(170, 0.0)	(175, 0.0)	(180, 0.00028256370045422115)	(185, 2.01831214610158e-05)	(190, 0.0)	(195, 0.0004036624292203159)	(200, 8.07324858440632e-05)	(205, 8.07324858440632e-05)	(210, 0.0004642117936033633)	(215, 0.00036329618629828435)	(220, 0.0002623805789932053)	(225, 0.0038347930775930014)	(230, 0.0006458598867525056)	(235, 4.03662429220316e-05)	(240, 0.0)	(245, 0.0)	(250, 0.0)
