Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
ERR346596_1.pr	(1, 37.37746073519604)	(2, 36.50688583411081)	(3, 37.00908973245824)	(4, 37.826619916176284)	(5, 37.946976063593134)	(6, 38.36347637413455)	(7, 37.91094598821469)	(8, 38.482055992780694)	(9, 38.27221429264802)	(10, 37.55166474768801)	(15, 37.33444104853454)	(20, 37.30722532724208)	(25, 37.8916230728664)	(30, 37.94001614020793)	(35, 38.37527497244479)	(40, 38.27733070633293)	(45, 37.634774548006604)	(50, 38.0325284135041)	(55, 37.853794165946844)	(60, 37.66848317283721)	(65, 37.66691888179378)	(70, 37.65706951782078)	(75, 37.80241696777383)	(80, 37.90682096628525)	(85, 37.803171224422194)	(90, 37.769651215207936)	(95, 37.66891231904582)	(100, 37.68678699970615)	(105, 37.71177913017531)	(110, 37.55101873759501)	(115, 37.460674447394396)	(120, 37.355748549249235)	(125, 37.29515076973357)	(130, 37.101228612406764)	(135, 36.75443418333863)	(140, 36.784043598470404)	(145, 36.548482372319356)	(150, 36.14474283191157)	(155, 36.08395764845368)	(160, 35.71893917800348)	(165, 35.39916121197313)	(170, 35.20600126409764)	(175, 34.758982062178305)	(180, 34.31309064648151)	(185, 33.9231283779481)	(190, 33.284848179575555)	(195, 33.068437211260346)	(200, 32.548954675303946)	(205, 31.880550261772573)	(210, 31.244946466222096)	(215, 30.29284983657434)	(220, 29.379707147437138)	(225, 23.754864975125095)	(230, 28.879600190894944)	(235, 28.800891901329027)	(240, 28.012000323814846)	(245, 26.279274437353042)	(250, 18.87991266375546)
ERR346596_2.pr	(1, 33.027758153614954)	(2, 33.13865684439867)	(3, 33.20516747650044)	(4, 32.97437473821966)	(5, 33.148605845543756)	(6, 35.264810250823764)	(7, 35.292393135198196)	(8, 34.64592108030567)	(9, 35.783403171384556)	(10, 36.84983488738727)	(15, 37.591752278949535)	(20, 38.01301450510259)	(25, 38.28909286034008)	(30, 38.066808679692315)	(35, 38.55604139589816)	(40, 38.39961225051098)	(45, 38.434962168808546)	(50, 38.05611851436399)	(55, 38.570579215405)	(60, 38.54203405795929)	(65, 38.78874645641548)	(70, 38.39187092274312)	(75, 38.65261402837025)	(80, 38.610967000846685)	(85, 38.41993323590161)	(90, 38.42859243519981)	(95, 38.46690844833692)	(100, 38.306341151240275)	(105, 38.28663351830979)	(110, 38.377439882650506)	(115, 38.09288011404185)	(120, 38.11153271602608)	(125, 38.2039298060174)	(130, 38.11603183248934)	(135, 38.14356636052973)	(140, 38.36924141675071)	(145, 38.20876633823907)	(150, 37.80501000382896)	(155, 37.96037854560685)	(160, 37.85342619906631)	(165, 37.47322784821504)	(170, 37.24725959801326)	(175, 37.43929770064732)	(180, 37.73414208852624)	(185, 37.32348446035949)	(190, 37.207755708833744)	(195, 37.29822393836275)	(200, 36.85421284337041)	(205, 35.98186961047085)	(210, 36.76690916739021)	(215, 36.714920535622795)	(220, 36.011031895406504)	(225, 35.91986492583864)	(230, 35.62667597840683)	(235, 35.78441901392627)	(240, 35.5315421715769)	(245, 35.25118580876418)	(250, 31.486987831820624)
ERR346597_1.pr	(1, 37.3320917266063)	(2, 36.56951905770066)	(3, 36.98684114115279)	(4, 37.815165500916336)	(5, 37.86980950886769)	(6, 38.32287893494613)	(7, 38.00599023838546)	(8, 38.48138576427112)	(9, 38.27232117842892)	(10, 37.39008458238317)	(15, 37.16712729372967)	(20, 37.05179932228724)	(25, 37.7819559180805)	(30, 37.816892003724014)	(35, 38.28939175238296)	(40, 38.17894753175551)	(45, 37.485874875690286)	(50, 37.868132488615295)	(55, 37.69173900674982)	(60, 37.52431020368631)	(65, 37.51771359789466)	(70, 37.50058811997712)	(75, 37.65276590120129)	(80, 37.75038316927265)	(85, 37.61862628713051)	(90, 37.5894431877108)	(95, 37.463655233455796)	(100, 37.482153229950576)	(105, 37.510454942370444)	(110, 37.32381442217572)	(115, 37.21605516595334)	(120, 37.09778206699933)	(125, 37.00762769754946)	(130, 36.768895372068336)	(135, 36.38148008649795)	(140, 36.3905078539765)	(145, 36.13183593453762)	(150, 35.68332310865309)	(155, 35.58908458960726)	(160, 35.1638349165258)	(165, 34.81573157120147)	(170, 34.601430711664854)	(175, 34.11207208504961)	(180, 33.64890336775662)	(185, 33.21628341484704)	(190, 32.52324114913101)	(195, 32.269919725008684)	(200, 31.673896469388502)	(205, 30.944443098243788)	(210, 30.230931441820132)	(215, 29.16657828785992)	(220, 28.02627076850598)	(225, 22.5542818344145)	(230, 28.52734802103968)	(235, 28.688465503693646)	(240, 28.18773345812976)	(245, 26.410728524827835)	(250, 18.989851395433128)
ERR346597_2.pr	(1, 33.04623483693891)	(2, 33.16880047170137)	(3, 33.224179694773355)	(4, 32.99652085761377)	(5, 33.16579630638521)	(6, 35.24676050121718)	(7, 35.2973959877799)	(8, 34.64982466363693)	(9, 35.774097974580535)	(10, 36.852142827587635)	(15, 37.60570662105967)	(20, 38.014819112180795)	(25, 38.29514816526098)	(30, 38.07456519340445)	(35, 38.56775069479404)	(40, 38.412560255711796)	(45, 38.45199921383106)	(50, 38.07639544987483)	(55, 38.580555421462414)	(60, 38.557330163371425)	(65, 38.79628879985104)	(70, 38.41053293978912)	(75, 38.66515564765839)	(80, 38.623239567744996)	(85, 38.43337321646541)	(90, 38.448480245781234)	(95, 38.48405732137069)	(100, 38.3277250408601)	(105, 38.2958372699249)	(110, 38.37574410200887)	(115, 38.08110384326274)	(120, 38.11089533608722)	(125, 38.21685108305117)	(130, 38.10607574117112)	(135, 38.14851920941747)	(140, 38.33913380043722)	(145, 38.204643741336625)	(150, 37.79944519919728)	(155, 37.977283510451215)	(160, 37.86510806374864)	(165, 37.48430196473274)	(170, 37.261041363520384)	(175, 37.44862265269952)	(180, 37.75186197907688)	(185, 37.339788941223524)	(190, 37.2131243664099)	(195, 37.29220399704842)	(200, 36.8414711013951)	(205, 35.968480487148895)	(210, 36.771116049570026)	(215, 36.716478859641256)	(220, 35.96135858958534)	(225, 35.9108453385009)	(230, 35.62288492969305)	(235, 35.770206265904406)	(240, 35.53768714613777)	(245, 35.26416397139448)	(250, 31.486496772569602)
ERR346598_1.pr	(1, 37.121819553729644)	(2, 36.2471014659085)	(3, 36.85437350252888)	(4, 37.62773864279922)	(5, 37.57824493984658)	(6, 37.82687533152514)	(7, 37.54774066272892)	(8, 38.19621788873855)	(9, 37.78412818050507)	(10, 37.60180089785744)	(15, 36.74960028888793)	(20, 37.5547996990132)	(25, 37.77068393404525)	(30, 37.718824404270194)	(35, 38.10924606417881)	(40, 38.099059092771355)	(45, 37.518902214904145)	(50, 37.87800927649241)	(55, 37.76422681436382)	(60, 37.55446000937306)	(65, 37.469208777258345)	(70, 37.45071802069677)	(75, 37.63273692105124)	(80, 37.733568376372716)	(85, 37.57420949891002)	(90, 37.4977594320594)	(95, 37.40991632732276)	(100, 37.433405998371924)	(105, 37.4179503569584)	(110, 37.285918843133985)	(115, 37.117207076345984)	(120, 36.93650382130294)	(125, 36.855421865522125)	(130, 36.64773415074622)	(135, 36.24584861500501)	(140, 36.20076594312682)	(145, 35.85336187830056)	(150, 35.60067317459839)	(155, 35.503887323854535)	(160, 35.164646518445316)	(165, 34.88125569627829)	(170, 34.54072163082607)	(175, 34.130156724693244)	(180, 33.61812938342264)	(185, 33.04894127888005)	(190, 32.514259919952146)	(195, 32.034410193722444)	(200, 31.57854228358381)	(205, 30.711580019151633)	(210, 30.035222539762295)	(215, 29.1816869954545)	(220, 27.993126434710803)	(225, 22.344199231165323)	(230, 28.04206970021611)	(235, 28.37696269036187)	(240, 27.597661303134032)	(245, 25.60217698044749)	(250, 18.199153396492644)
ERR346598_2.pr	(1, 33.043105394663975)	(2, 33.15792860729002)	(3, 33.20858118121452)	(4, 32.984004604096526)	(5, 33.15952576804151)	(6, 35.240825298492105)	(7, 35.31021894916255)	(8, 34.64387572111161)	(9, 35.801332734032876)	(10, 36.875339913118125)	(15, 37.61686805415573)	(20, 38.02014734611312)	(25, 38.325540591128934)	(30, 38.01627200895446)	(35, 38.59248345350643)	(40, 38.45298942835667)	(45, 38.46503820540397)	(50, 38.07599196536744)	(55, 38.582436824091545)	(60, 38.56064315455734)	(65, 38.807938310448485)	(70, 38.40241147485087)	(75, 38.64811164015931)	(80, 38.62559455321024)	(85, 38.43841858131894)	(90, 38.47097628798474)	(95, 38.47905348923492)	(100, 38.34187611925412)	(105, 38.33087895591511)	(110, 38.428490810378584)	(115, 38.11900796577143)	(120, 38.14011527769605)	(125, 38.21003444308253)	(130, 38.16259747500863)	(135, 38.12621618136268)	(140, 38.359368096933096)	(145, 38.24740900628389)	(150, 37.917305635302306)	(155, 38.082238712722656)	(160, 37.98278304947943)	(165, 37.581261761167085)	(170, 37.34034923858377)	(175, 37.46133556359909)	(180, 37.82059949243091)	(185, 37.44259857678662)	(190, 37.28078453270632)	(195, 37.39424679910539)	(200, 36.968006036407914)	(205, 36.06009789965223)	(210, 36.85164542613977)	(215, 36.78489896403654)	(220, 36.104109005908285)	(225, 36.093644869408)	(230, 35.917910277710654)	(235, 35.86690830661313)	(240, 35.61514160142597)	(245, 35.37293340461503)	(250, 31.308203613581416)
ERR346599_1.pr	(1, 33.01637737354114)	(2, 33.14177239415056)	(3, 33.19847926111646)	(4, 32.97017302907834)	(5, 33.13431826478804)	(6, 35.25919624060997)	(7, 35.30787886195467)	(8, 34.64919275075868)	(9, 35.79914619260441)	(10, 36.8619506499647)	(15, 37.596988756889246)	(20, 38.001617714935435)	(25, 38.304116577115266)	(30, 37.985435580079226)	(35, 38.57015807257282)	(40, 38.438401873262116)	(45, 38.45503077341216)	(50, 38.059344840729295)	(55, 38.56876229288054)	(60, 38.54108825464014)	(65, 38.80214071016061)	(70, 38.38467183336201)	(75, 38.63863989076926)	(80, 38.61543382711245)	(85, 38.41664546488196)	(90, 38.45095665347385)	(95, 38.45193172113998)	(100, 38.31472476009283)	(105, 38.29490256560358)	(110, 38.41582333954645)	(115, 38.092427826819744)	(120, 38.11843477757425)	(125, 38.19509683935265)	(130, 38.1271026354006)	(135, 38.104636195065)	(140, 38.28695471073636)	(145, 38.21806874524568)	(150, 37.88521621799831)	(155, 38.05237816478853)	(160, 37.948418228924595)	(165, 37.54232610649997)	(170, 37.31657003906382)	(175, 37.430712138732034)	(180, 37.790392133843035)	(185, 37.40220134029588)	(190, 37.24700298969288)	(195, 37.35728470271131)	(200, 36.93984380905206)	(205, 36.04442484195155)	(210, 36.80755367857665)	(215, 36.74807149531283)	(220, 36.04565384856619)	(225, 36.053764616767694)	(230, 35.86074319358382)	(235, 35.78633297041024)	(240, 35.532928435533435)	(245, 35.29598281127624)	(250, 31.2148594490538)
ERR346599_2.pr	(1, 37.38259897636307)	(2, 36.716650959630236)	(3, 37.13324589921382)	(4, 37.82345302070359)	(5, 37.87850514634931)	(6, 38.14954326149888)	(7, 38.04131392730782)	(8, 38.37483706564576)	(9, 37.96408569000136)	(10, 37.93814975205686)	(15, 37.256043566213805)	(20, 37.72741137296809)	(25, 37.95472402891677)	(30, 37.880491840810976)	(35, 38.234481876117805)	(40, 38.22023034162436)	(45, 37.6559246564447)	(50, 38.01586669343276)	(55, 37.85728161727878)	(60, 37.65506314507083)	(65, 37.57044438160954)	(70, 37.56914333584497)	(75, 37.74059154266674)	(80, 37.83914965627094)	(85, 37.71433827342213)	(90, 37.6352406673744)	(95, 37.5596227917442)	(100, 37.579121689673016)	(105, 37.57486858906813)	(110, 37.4466407805828)	(115, 37.305495833356375)	(120, 37.143370739764464)	(125, 37.06836802802381)	(130, 36.88458735516084)	(135, 36.51940704507753)	(140, 36.493737589518986)	(145, 36.17589807557049)	(150, 35.92978779052477)	(155, 35.83951093911612)	(160, 35.52080185788757)	(165, 35.24591520805291)	(170, 34.91430808445001)	(175, 34.520616954853956)	(180, 34.02704632011587)	(185, 33.501018677046105)	(190, 32.98656167363547)	(195, 32.531619555647346)	(200, 32.10920744805334)	(205, 31.27148329177253)	(210, 30.64993045481511)	(215, 29.861395934379573)	(220, 28.786810196409895)	(225, 23.28898130822379)	(230, 28.37040149598667)	(235, 28.64287351658213)	(240, 27.763735724355122)	(245, 26.031248111211845)	(250, 18.635539437896647)
ERR346600_1.pr	(1, 37.39547655425329)	(2, 36.85886923833792)	(3, 37.17153704172776)	(4, 37.93106621913733)	(5, 37.90759212127695)	(6, 38.30058834214669)	(7, 38.199419731158926)	(8, 38.50161163363339)	(9, 38.319962216815334)	(10, 38.08116166298307)	(15, 37.30321211824802)	(20, 37.729195125298716)	(25, 38.088257951508496)	(30, 37.79738731313555)	(35, 38.27287691436489)	(40, 38.251555958010634)	(45, 37.702612940848226)	(50, 38.07674553788584)	(55, 37.88850791320856)	(60, 37.67424774643625)	(65, 37.66851775517572)	(70, 37.66780843871127)	(75, 37.78734182021715)	(80, 37.90375318849674)	(85, 37.81314745381437)	(90, 37.77465620685838)	(95, 37.66436981033931)	(100, 37.67831299039789)	(105, 37.712374805045094)	(110, 37.56154558479425)	(115, 37.47255190643187)	(120, 37.351520698878815)	(125, 37.28700460451081)	(130, 37.057351527503045)	(135, 36.7115848484555)	(140, 36.74925633073571)	(145, 36.53464746056844)	(150, 36.116411309792504)	(155, 36.056017446100554)	(160, 35.66095773546765)	(165, 35.36027632709356)	(170, 35.13166314056012)	(175, 34.65814452306103)	(180, 34.21648044037305)	(185, 33.817248518289276)	(190, 33.13998801160234)	(195, 32.917039312795666)	(200, 32.37817030128271)	(205, 31.708958909059902)	(210, 31.087831535352155)	(215, 30.161179051501243)	(220, 29.247606914206138)	(225, 23.67775364277584)	(230, 28.992346823388168)	(235, 29.109131346620313)	(240, 28.3827679208296)	(245, 26.621175584024115)	(250, 19.211755840241146)
ERR346600_2.pr	(1, 33.04947589479346)	(2, 33.16210780410666)	(3, 33.22043197934863)	(4, 32.99528825029493)	(5, 33.15381859612262)	(6, 35.26791983667818)	(7, 35.30307277932683)	(8, 34.6542257905981)	(9, 35.77471700740821)	(10, 36.84826248553122)	(15, 37.60687336201355)	(20, 38.01898565686473)	(25, 38.29606863068622)	(30, 38.06786655323752)	(35, 38.57484557389192)	(40, 38.421765276352346)	(45, 38.45288886063251)	(50, 38.07754960758966)	(55, 38.59013428839864)	(60, 38.55759707829134)	(65, 38.796502265050805)	(70, 38.41042962801498)	(75, 38.66605612724247)	(80, 38.629596932972866)	(85, 38.429586437749705)	(90, 38.449897520200786)	(95, 38.49362223453393)	(100, 38.332466064604155)	(105, 38.31566866176822)	(110, 38.396717820788005)	(115, 38.0917942492232)	(120, 38.11770291858028)	(125, 38.22211767365305)	(130, 38.13945527773488)	(135, 38.14244137055505)	(140, 38.357852596609035)	(145, 38.20697246113993)	(150, 37.813822208901364)	(155, 37.97612195449311)	(160, 37.877514085295886)	(165, 37.48855909668422)	(170, 37.27525741048534)	(175, 37.473254841173976)	(180, 37.77005288986979)	(185, 37.349492545868664)	(190, 37.218723276285736)	(195, 37.29808189705195)	(200, 36.85508296776655)	(205, 35.980703926727195)	(210, 36.792801286068496)	(215, 36.71040954580913)	(220, 35.98274746777513)	(225, 35.923062546484246)	(230, 35.6404043890216)	(235, 35.81677459590868)	(240, 35.57758684544875)	(245, 35.30512540277942)	(250, 31.577271585091538)
