Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
ERR346596_1.pr	(0.0, 0.5)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 1.9999999999999998)	(26.0, 3.166666666666667)	(27.0, 4.999999999999999)	(28.0, 7.999999999999997)	(29.0, 47.3333333333334)	(30.0, 26.999999999999968)	(31.0, 12.000000000000004)	(32.0, 15.833333333333345)	(33.0, 10.666666666666668)	(34.0, 19.999999999999996)	(35.0, 34.99999999999997)	(36.0, 61.83333333333349)	(37.0, 98.33333333333303)	(38.0, 60.66666666666681)	(39.0, 113.66666666666616)	(40.0, 149.83333333333326)	(41.0, 203.33333333333448)	(42.0, 525.6666666666572)	(43.0, 2058.3333333331525)	(44.0, 6142.499999998884)	(45.0, 12696.166666671877)	(46.0, 23088.83333332086)	(47.0, 38269.66666665902)	(48.0, 45685.00000004628)	(49.0, 58828.16666680858)	(50.0, 106973.99999958776)	(51.0, 120162.6666660625)	(52.0, 80484.99999997318)	(53.0, 34793.499999967076)	(54.0, 16688.333333344137)	(55.0, 3972.500000000687)	(56.0, 1248.4999999999952)	(57.0, 1130.8333333333553)	(58.0, 490.1666666666565)	(59.0, 431.8333333333263)	(60.0, 633.0000000000023)	(61.0, 260.8333333333359)	(62.0, 142.16666666666637)	(63.0, 69.33333333333343)	(64.0, 39.66666666666668)	(65.0, 66.33333333333347)	(66.0, 68.00000000000011)	(67.0, 23.666666666666647)	(68.0, 10.000000000000002)	(69.0, 5.999999999999999)	(70.0, 3.3333333333333335)	(71.0, 8.666666666666666)	(72.0, 14.500000000000005)	(73.0, 5.666666666666666)	(74.0, 3.0)	(75.0, 3.3333333333333335)	(76.0, 3.0)	(77.0, 3.333333333333333)	(78.0, 3.333333333333333)	(79.0, 3.333333333333333)	(80.0, 3.3333333333333335)	(81.0, 3.666666666666667)	(82.0, 3.6666666666666665)	(83.0, 3.0)	(84.0, 1.9999999999999998)	(85.0, 1.3333333333333333)	(86.0, 1.0)	(87.0, 1.3333333333333333)	(88.0, 3.0)	(89.0, 5.666666666666666)	(90.0, 2.0)	(91.0, 2.0)	(92.0, 0.5)	(93.0, 0.0)	(94.0, 0.3333333333333333)	(95.0, 1.0)	(96.0, 0.0)	(97.0, 0.3333333333333333)	(98.0, 0.0)	(99.0, 1.0)	(100.0, 5.0)
ERR346596_2.pr	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.3333333333333333)	(23.0, 0.3333333333333333)	(24.0, 0.6666666666666666)	(25.0, 2.6666666666666665)	(26.0, 4.999999999999999)	(27.0, 6.333333333333331)	(28.0, 4.666666666666666)	(29.0, 6.333333333333331)	(30.0, 5.999999999999998)	(31.0, 8.999999999999998)	(32.0, 10.666666666666668)	(33.0, 9.333333333333332)	(34.0, 10.333333333333334)	(35.0, 24.333333333333314)	(36.0, 42.00000000000002)	(37.0, 57.6666666666668)	(38.0, 66.00000000000014)	(39.0, 70.66666666666674)	(40.0, 115.33333333333277)	(41.0, 158.0000000000001)	(42.0, 260.0000000000027)	(43.0, 359.6666666666637)	(44.0, 553.9999999999931)	(45.0, 1700.9999999998925)	(46.0, 7202.666666664586)	(47.0, 21417.666666660272)	(48.0, 42348.66666668869)	(49.0, 62575.00000016919)	(50.0, 78348.33333333762)	(51.0, 88950.33333318334)	(52.0, 92081.99999980444)	(53.0, 73818.33333340354)	(54.0, 47166.33333339041)	(55.0, 26180.666666642945)	(56.0, 8520.33333333095)	(57.0, 1386.3333333332973)	(58.0, 606.6666666666657)	(59.0, 543.9999999999919)	(60.0, 548.9999999999925)	(61.0, 501.6666666666556)	(62.0, 228.0000000000021)	(63.0, 174.66666666666725)	(64.0, 182.33333333333414)	(65.0, 79.99999999999994)	(66.0, 9.666666666666666)	(67.0, 2.6666666666666665)	(68.0, 1.9999999999999998)	(69.0, 1.0)	(70.0, 0.3333333333333333)	(71.0, 0.6666666666666666)	(72.0, 0.3333333333333333)	(73.0, 1.3333333333333333)	(74.0, 0.6666666666666666)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR346597_1.pr	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.3333333333333333)	(17.0, 0.8333333333333333)	(18.0, 1.0)	(19.0, 1.0)	(20.0, 1.9999999999999998)	(21.0, 1.9999999999999998)	(22.0, 1.0)	(23.0, 1.0)	(24.0, 1.3333333333333333)	(25.0, 2.5)	(26.0, 3.0)	(27.0, 6.666666666666665)	(28.0, 14.33333333333334)	(29.0, 46.33333333333339)	(30.0, 18.666666666666664)	(31.0, 12.333333333333337)	(32.0, 22.333333333333318)	(33.0, 23.16666666666665)	(34.0, 32.49999999999996)	(35.0, 33.3333333333333)	(36.0, 63.16666666666683)	(37.0, 88.49999999999984)	(38.0, 67.33333333333344)	(39.0, 115.49999999999949)	(40.0, 148.66666666666654)	(41.0, 220.00000000000145)	(42.0, 563.9999999999951)	(43.0, 2176.833333333206)	(44.0, 6577.333333331821)	(45.0, 13556.666666673442)	(46.0, 24191.83333331685)	(47.0, 40101.66666667234)	(48.0, 47685.000000060834)	(49.0, 61049.00000015806)	(50.0, 111149.49999952699)	(51.0, 124834.66666599449)	(52.0, 84046.16666658803)	(53.0, 36626.83333331373)	(54.0, 17219.833333342205)	(55.0, 4187.000000000661)	(56.0, 1274.4999999999895)	(57.0, 1170.8333333333462)	(58.0, 528.666666666657)	(59.0, 386.6666666666622)	(60.0, 521.833333333323)	(61.0, 259.1666666666693)	(62.0, 116.99999999999947)	(63.0, 54.00000000000009)	(64.0, 39.83333333333335)	(65.0, 49.33333333333341)	(66.0, 38.0)	(67.0, 16.833333333333336)	(68.0, 6.666666666666666)	(69.0, 4.833333333333333)	(70.0, 4.166666666666667)	(71.0, 7.499999999999999)	(72.0, 9.333333333333334)	(73.0, 5.666666666666666)	(74.0, 4.666666666666666)	(75.0, 4.499999999999999)	(76.0, 4.333333333333333)	(77.0, 3.5)	(78.0, 2.333333333333333)	(79.0, 1.9999999999999998)	(80.0, 0.6666666666666666)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 1.0)	(87.0, 0.6666666666666666)	(88.0, 1.9999999999999998)	(89.0, 4.999999999999999)	(90.0, 0.6666666666666666)	(91.0, 0.6666666666666666)	(92.0, 0.3333333333333333)	(93.0, 0.3333333333333333)	(94.0, 0.0)	(95.0, 0.3333333333333333)	(96.0, 1.0)	(97.0, 0.6666666666666666)	(98.0, 0.6666666666666666)	(99.0, 1.3333333333333333)	(100.0, 7.5)
ERR346597_2.pr	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.6666666666666666)	(26.0, 1.6666666666666665)	(27.0, 3.3333333333333335)	(28.0, 4.999999999999999)	(29.0, 4.999999999999999)	(30.0, 4.999999999999999)	(31.0, 5.666666666666665)	(32.0, 4.666666666666666)	(33.0, 8.999999999999998)	(34.0, 13.33333333333334)	(35.0, 27.666666666666636)	(36.0, 48.000000000000064)	(37.0, 63.66666666666684)	(38.0, 68.33333333333344)	(39.0, 74.33333333333336)	(40.0, 100.66666666666632)	(41.0, 142.9999999999997)	(42.0, 246.6666666666693)	(43.0, 371.3333333333297)	(44.0, 593.9999999999976)	(45.0, 1807.9999999998681)	(46.0, 7454.99999999769)	(47.0, 21928.666666658413)	(48.0, 43449.00000003003)	(49.0, 64382.000000182335)	(50.0, 81039.66666663179)	(51.0, 92937.33333312532)	(52.0, 96489.99999974029)	(53.0, 77665.00000001423)	(54.0, 49959.666666744066)	(55.0, 27933.9999999699)	(56.0, 9144.999999998752)	(57.0, 1500.6666666666047)	(58.0, 665.6666666666724)	(59.0, 549.6666666666592)	(60.0, 457.3333333333248)	(61.0, 383.9999999999956)	(62.0, 182.33333333333414)	(63.0, 168.0000000000004)	(64.0, 175.33333333333394)	(65.0, 61.33333333333349)	(66.0, 8.666666666666664)	(67.0, 1.3333333333333333)	(68.0, 1.9999999999999998)	(69.0, 1.3333333333333333)	(70.0, 0.3333333333333333)	(71.0, 0.6666666666666666)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR346598_1.pr	(0.0, 0.5)	(1.0, 0.3333333333333333)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.3333333333333333)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.3333333333333333)	(21.0, 0.0)	(22.0, 1.6666666666666665)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 4.666666666666666)	(26.0, 2.333333333333333)	(27.0, 1.3333333333333333)	(28.0, 3.0)	(29.0, 10.333333333333334)	(30.0, 9.333333333333332)	(31.0, 11.66666666666667)	(32.0, 8.999999999999998)	(33.0, 9.166666666666666)	(34.0, 20.99999999999999)	(35.0, 29.8333333333333)	(36.0, 236.0000000000023)	(37.0, 301.6666666666669)	(38.0, 79.66666666666661)	(39.0, 149.66666666666657)	(40.0, 226.3333333333353)	(41.0, 455.4999999999922)	(42.0, 2256.6666666665783)	(43.0, 4597.000000000288)	(44.0, 11856.000000003676)	(45.0, 25683.166666644775)	(46.0, 45358.33333337724)	(47.0, 67300.33333349836)	(48.0, 100400.99999968344)	(49.0, 148089.166666399)	(50.0, 203560.00000134663)	(51.0, 216414.83333505405)	(52.0, 174950.16666718075)	(53.0, 107521.8333329132)	(54.0, 44486.66666670422)	(55.0, 18159.500000005453)	(56.0, 7351.499999997787)	(57.0, 3866.3333333339724)	(58.0, 1752.9999999998809)	(59.0, 1588.6666666665847)	(60.0, 2115.166666666511)	(61.0, 1237.4999999999977)	(62.0, 814.1666666666893)	(63.0, 340.8333333333315)	(64.0, 177.5000000000006)	(65.0, 204.00000000000134)	(66.0, 216.6666666666684)	(67.0, 93.3333333333331)	(68.0, 44.50000000000004)	(69.0, 17.666666666666664)	(70.0, 9.166666666666668)	(71.0, 25.99999999999997)	(72.0, 38.66666666666668)	(73.0, 14.666666666666671)	(74.0, 7.999999999999999)	(75.0, 7.666666666666666)	(76.0, 7.666666666666666)	(77.0, 8.0)	(78.0, 8.166666666666666)	(79.0, 5.833333333333333)	(80.0, 6.333333333333332)	(81.0, 6.666666666666665)	(82.0, 6.333333333333333)	(83.0, 5.499999999999999)	(84.0, 4.999999999999999)	(85.0, 4.5)	(86.0, 4.0)	(87.0, 4.999999999999999)	(88.0, 7.666666666666663)	(89.0, 12.666666666666671)	(90.0, 6.333333333333331)	(91.0, 5.666666666666665)	(92.0, 4.333333333333333)	(93.0, 4.0)	(94.0, 4.666666666666666)	(95.0, 3.6666666666666665)	(96.0, 4.0)	(97.0, 3.3333333333333335)	(98.0, 3.666666666666667)	(99.0, 4.0)	(100.0, 16.0)
ERR346598_2.pr	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.6666666666666666)	(23.0, 1.0)	(24.0, 1.9999999999999998)	(25.0, 3.3333333333333335)	(26.0, 2.333333333333333)	(27.0, 5.333333333333332)	(28.0, 8.666666666666664)	(29.0, 8.999999999999998)	(30.0, 4.666666666666666)	(31.0, 6.333333333333331)	(32.0, 8.999999999999998)	(33.0, 16.666666666666675)	(34.0, 22.999999999999986)	(35.0, 27.666666666666636)	(36.0, 43.00000000000003)	(37.0, 50.333333333333414)	(38.0, 61.66666666666683)	(39.0, 110.9999999999995)	(40.0, 177.66666666666734)	(41.0, 238.33333333333573)	(42.0, 428.33333333332644)	(43.0, 827.6666666666908)	(44.0, 1670.3333333332328)	(45.0, 4998.3333333332575)	(46.0, 18779.66666666987)	(47.0, 53524.33333343667)	(48.0, 98433.66666637867)	(49.0, 132725.3333326185)	(50.0, 159974.6666667449)	(51.0, 187785.33333422095)	(52.0, 204504.66666804088)	(53.0, 157659.6666666775)	(54.0, 88918.66666651714)	(55.0, 49573.66666674126)	(56.0, 21108.333333328064)	(57.0, 5620.999999999358)	(58.0, 2248.6666666665715)	(59.0, 1873.9999999998531)	(60.0, 1950.333333333169)	(61.0, 1866.3333333331882)	(62.0, 939.3333333333702)	(63.0, 565.3333333333277)	(64.0, 568.333333333328)	(65.0, 258.3333333333361)	(66.0, 44.33333333333337)	(67.0, 11.000000000000002)	(68.0, 6.666666666666664)	(69.0, 3.3333333333333335)	(70.0, 3.0)	(71.0, 5.333333333333332)	(72.0, 6.999999999999997)	(73.0, 4.333333333333333)	(74.0, 1.0)	(75.0, 0.3333333333333333)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR346599_1.pr	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.3333333333333333)	(24.0, 0.3333333333333333)	(25.0, 1.0)	(26.0, 1.3333333333333333)	(27.0, 3.0)	(28.0, 5.999999999999998)	(29.0, 4.666666666666666)	(30.0, 2.6666666666666665)	(31.0, 3.3333333333333335)	(32.0, 4.333333333333333)	(33.0, 3.3333333333333335)	(34.0, 7.666666666666663)	(35.0, 19.999999999999996)	(36.0, 24.333333333333314)	(37.0, 25.666666666666643)	(38.0, 37.66666666666666)	(39.0, 56.00000000000012)	(40.0, 93.33333333333309)	(41.0, 135.9999999999995)	(42.0, 232.6666666666689)	(43.0, 452.9999999999917)	(44.0, 918.3333333333678)	(45.0, 2665.000000000094)	(46.0, 9815.999999999973)	(47.0, 27953.999999969827)	(48.0, 51285.00000008704)	(49.0, 69256.66666680326)	(50.0, 83598.99999992788)	(51.0, 97504.6666663922)	(52.0, 105528.99999960876)	(53.0, 81695.33333328892)	(54.0, 46016.33333338204)	(55.0, 25625.33333331163)	(56.0, 11002.333333335464)	(57.0, 2845.3333333335095)	(58.0, 1077.0000000000343)	(59.0, 892.6666666666982)	(60.0, 902.333333333366)	(61.0, 829.3333333333577)	(62.0, 435.99999999999267)	(63.0, 273.00000000000193)	(64.0, 265.666666666669)	(65.0, 111.66666666666616)	(66.0, 19.0)	(67.0, 7.9999999999999964)	(68.0, 5.666666666666665)	(69.0, 3.0)	(70.0, 0.6666666666666666)	(71.0, 1.0)	(72.0, 1.3333333333333333)	(73.0, 1.6666666666666665)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.3333333333333333)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR346599_2.pr	(0.0, 1.0)	(1.0, 1.0)	(2.0, 1.0)	(3.0, 1.0)	(4.0, 1.0)	(5.0, 1.0)	(6.0, 1.0)	(7.0, 1.0)	(8.0, 1.0)	(9.0, 1.0)	(10.0, 1.0)	(11.0, 1.0)	(12.0, 1.0)	(13.0, 1.0)	(14.0, 1.0)	(15.0, 1.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 1.0)	(20.0, 1.0)	(21.0, 1.0)	(22.0, 1.0)	(23.0, 1.0)	(24.0, 1.0)	(25.0, 5.333333333333333)	(26.0, 2.666666666666667)	(27.0, 2.0)	(28.0, 7.666666666666664)	(29.0, 10.666666666666666)	(30.0, 5.666666666666666)	(31.0, 5.999999999999999)	(32.0, 5.666666666666666)	(33.0, 4.333333333333333)	(34.0, 7.666666666666664)	(35.0, 8.666666666666664)	(36.0, 72.00000000000006)	(37.0, 93.66666666666643)	(38.0, 35.499999999999986)	(39.0, 71.33333333333339)	(40.0, 135.33333333333283)	(41.0, 246.83333333333564)	(42.0, 1076.5000000000332)	(43.0, 2343.999999999948)	(44.0, 6110.999999998913)	(45.0, 13541.500000006748)	(46.0, 23866.666666651374)	(47.0, 35375.999999971296)	(48.0, 52443.00000009545)	(49.0, 77556.50000001582)	(50.0, 106225.333332932)	(51.0, 112455.49999950801)	(52.0, 90642.16666649206)	(53.0, 55216.833333448936)	(54.0, 22605.333333322626)	(55.0, 9235.333333332255)	(56.0, 3748.0000000005866)	(57.0, 1856.9999999998572)	(58.0, 810.1666666666888)	(59.0, 713.3333333333444)	(60.0, 996.0000000000431)	(61.0, 550.8333333333262)	(62.0, 369.1666666666633)	(63.0, 156.66666666666674)	(64.0, 98.33333333333309)	(65.0, 104.66666666666632)	(66.0, 91.33333333333316)	(67.0, 43.00000000000003)	(68.0, 21.833333333333332)	(69.0, 12.833333333333332)	(70.0, 12.833333333333332)	(71.0, 20.16666666666666)	(72.0, 22.49999999999999)	(73.0, 10.333333333333334)	(74.0, 6.833333333333334)	(75.0, 5.833333333333333)	(76.0, 5.666666666666667)	(77.0, 5.333333333333333)	(78.0, 5.666666666666666)	(79.0, 6.166666666666666)	(80.0, 6.999999999999999)	(81.0, 6.666666666666666)	(82.0, 6.0)	(83.0, 4.833333333333333)	(84.0, 3.3333333333333335)	(85.0, 4.0)	(86.0, 4.0)	(87.0, 3.6666666666666665)	(88.0, 5.499999999999999)	(89.0, 6.333333333333332)	(90.0, 2.6666666666666665)	(91.0, 3.0)	(92.0, 2.0)	(93.0, 1.8333333333333333)	(94.0, 2.333333333333333)	(95.0, 1.6666666666666665)	(96.0, 1.6666666666666665)	(97.0, 2.6666666666666665)	(98.0, 2.333333333333333)	(99.0, 2.6666666666666665)	(100.0, 11.0)
ERR346600_1.pr	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.3333333333333333)	(22.0, 0.3333333333333333)	(23.0, 0.6666666666666666)	(24.0, 2.6666666666666665)	(25.0, 3.166666666666667)	(26.0, 1.6666666666666665)	(27.0, 4.0)	(28.0, 6.999999999999997)	(29.0, 19.999999999999996)	(30.0, 10.0)	(31.0, 11.333333333333336)	(32.0, 24.333333333333314)	(33.0, 21.83333333333332)	(34.0, 43.6666666666667)	(35.0, 52.33333333333343)	(36.0, 44.000000000000036)	(37.0, 69.16666666666677)	(38.0, 73.50000000000003)	(39.0, 115.16666666666613)	(40.0, 135.16666666666612)	(41.0, 170.33333333333377)	(42.0, 374.33333333332973)	(43.0, 1793.833333333205)	(44.0, 5521.166666666115)	(45.0, 10779.500000001726)	(46.0, 19780.999999999563)	(47.0, 34778.99999996695)	(48.0, 42789.50000002522)	(49.0, 52307.33333342782)	(50.0, 95792.16666641714)	(51.0, 107279.33333291665)	(52.0, 72392.50000009093)	(53.0, 31586.999999956635)	(54.0, 14535.166666675212)	(55.0, 3351.1666666670726)	(56.0, 621.333333333334)	(57.0, 169.5000000000004)	(58.0, 84.16666666666657)	(59.0, 124.33333333333266)	(60.0, 139.33333333333292)	(61.0, 95.33333333333307)	(62.0, 66.16666666666681)	(63.0, 21.166666666666657)	(64.0, 16.166666666666675)	(65.0, 22.33333333333332)	(66.0, 18.83333333333333)	(67.0, 15.33333333333334)	(68.0, 10.333333333333336)	(69.0, 6.666666666666666)	(70.0, 7.666666666666666)	(71.0, 8.333333333333332)	(72.0, 9.000000000000002)	(73.0, 8.666666666666666)	(74.0, 8.0)	(75.0, 8.0)	(76.0, 9.0)	(77.0, 9.0)	(78.0, 8.0)	(79.0, 7.5)	(80.0, 7.333333333333333)	(81.0, 6.833333333333334)	(82.0, 6.666666666666667)	(83.0, 5.5)	(84.0, 5.0)	(85.0, 5.333333333333333)	(86.0, 5.333333333333333)	(87.0, 5.0)	(88.0, 6.333333333333332)	(89.0, 8.33333333333333)	(90.0, 5.333333333333333)	(91.0, 4.0)	(92.0, 3.6666666666666665)	(93.0, 4.0)	(94.0, 3.5)	(95.0, 2.6666666666666665)	(96.0, 2.333333333333333)	(97.0, 2.333333333333333)	(98.0, 2.3333333333333335)	(99.0, 2.6666666666666665)	(100.0, 6.0)
ERR346600_2.pr	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.3333333333333333)	(23.0, 0.3333333333333333)	(24.0, 0.6666666666666666)	(25.0, 1.0)	(26.0, 0.3333333333333333)	(27.0, 1.3333333333333333)	(28.0, 2.6666666666666665)	(29.0, 1.0)	(30.0, 4.999999999999999)	(31.0, 6.999999999999997)	(32.0, 4.333333333333333)	(33.0, 7.9999999999999964)	(34.0, 13.33333333333334)	(35.0, 13.666666666666673)	(36.0, 23.333333333333318)	(37.0, 35.66666666666664)	(38.0, 48.3333333333334)	(39.0, 63.00000000000017)	(40.0, 101.6666666666663)	(41.0, 148.33333333333317)	(42.0, 214.6666666666684)	(43.0, 296.66666666666725)	(44.0, 513.6666666666551)	(45.0, 1653.9999999999031)	(46.0, 6836.999999998252)	(47.0, 19608.33333333352)	(48.0, 37680.33333332139)	(49.0, 54789.00000011254)	(50.0, 68803.66666680985)	(51.0, 79307.666666657)	(52.0, 82180.99999994852)	(53.0, 66125.33333351549)	(54.0, 42892.66666669265)	(55.0, 24395.99999998277)	(56.0, 7962.666666663895)	(57.0, 1119.6666666666913)	(58.0, 173.66666666666723)	(59.0, 104.99999999999959)	(60.0, 101.99999999999963)	(61.0, 101.33333333333297)	(62.0, 56.33333333333346)	(63.0, 27.333333333333304)	(64.0, 24.99999999999998)	(65.0, 12.666666666666671)	(66.0, 4.666666666666666)	(67.0, 3.0)	(68.0, 3.666666666666667)	(69.0, 2.333333333333333)	(70.0, 0.6666666666666666)	(71.0, 1.0)	(72.0, 1.0)	(73.0, 0.3333333333333333)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
