Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
ERR346596_1.pr	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 1.0)	(8.0, 2.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 2.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 2.0)	(20.0, 0.0)	(21.0, 4.0)	(22.0, 34.0)	(23.0, 152.0)	(24.0, 487.0)	(25.0, 1207.0)	(26.0, 2672.0)	(27.0, 5995.0)	(28.0, 11919.0)	(29.0, 16941.0)	(30.0, 20899.0)	(31.0, 27024.0)	(32.0, 35268.0)	(33.0, 50305.0)	(34.0, 73890.0)	(35.0, 120974.0)	(36.0, 214803.0)	(37.0, 383650.0)	(38.0, 146340.0)
ERR346596_2.pr	(23.0, 3.0)	(24.0, 70.0)	(25.0, 202.0)	(26.0, 376.0)	(27.0, 756.0)	(28.0, 1914.0)	(29.0, 3221.0)	(30.0, 4475.0)	(31.0, 6203.0)	(32.0, 9290.0)	(33.0, 14550.0)	(34.0, 24460.0)	(35.0, 45113.0)	(36.0, 103719.0)	(37.0, 376102.0)	(38.0, 522120.0)																					
ERR346597_1.pr	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 1.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 1.0)	(21.0, 1.0)	(22.0, 26.0)	(23.0, 221.0)	(24.0, 711.0)	(25.0, 1713.0)	(26.0, 3688.0)	(27.0, 8069.0)	(28.0, 15737.0)	(29.0, 22393.0)	(30.0, 27917.0)	(31.0, 35410.0)	(32.0, 46786.0)	(33.0, 64424.0)	(34.0, 95292.0)	(35.0, 149686.0)	(36.0, 245266.0)	(37.0, 347956.0)	(38.0, 94755.0)
ERR346597_2.pr	(23.0, 4.0)	(24.0, 76.0)	(25.0, 214.0)	(26.0, 373.0)	(27.0, 705.0)	(28.0, 1952.0)	(29.0, 3141.0)	(30.0, 4131.0)	(31.0, 5924.0)	(32.0, 9044.0)	(33.0, 14536.0)	(34.0, 24765.0)	(35.0, 46939.0)	(36.0, 110817.0)	(37.0, 404485.0)	(38.0, 532950.0)																					
ERR346598_1.pr	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 1.0)	(16.0, 1.0)	(17.0, 2.0)	(18.0, 0.0)	(19.0, 1.0)	(20.0, 2.0)	(21.0, 3.0)	(22.0, 79.0)	(23.0, 445.0)	(24.0, 1478.0)	(25.0, 3848.0)	(26.0, 8798.0)	(27.0, 18910.0)	(28.0, 35167.0)	(29.0, 47981.0)	(30.0, 60221.0)	(31.0, 75485.0)	(32.0, 99316.0)	(33.0, 136713.0)	(34.0, 199080.0)	(35.0, 311345.0)	(36.0, 506280.0)	(37.0, 715943.0)	(38.0, 175022.0)
ERR346598_2.pr	(23.0, 8.0)	(24.0, 163.0)	(25.0, 472.0)	(26.0, 1199.0)	(27.0, 1369.0)	(28.0, 3768.0)	(29.0, 6142.0)	(30.0, 7965.0)	(31.0, 11341.0)	(32.0, 16859.0)	(33.0, 27680.0)	(34.0, 47375.0)	(35.0, 90719.0)	(36.0, 214657.0)	(37.0, 796802.0)	(38.0, 1169608.0)																					
ERR346599_1.pr	(23.0, 7.0)	(24.0, 122.0)	(25.0, 335.0)	(26.0, 667.0)	(27.0, 810.0)	(28.0, 2213.0)	(29.0, 3498.0)	(30.0, 4765.0)	(31.0, 6531.0)	(32.0, 9871.0)	(33.0, 15369.0)	(34.0, 25910.0)	(35.0, 48298.0)	(36.0, 111926.0)	(37.0, 411748.0)	(38.0, 601536.0)																					
ERR346599_2.pr	(2.0, 4.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 1.0)	(7.0, 1.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 1.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 1.0)	(20.0, 0.0)	(21.0, 3.0)	(22.0, 61.0)	(23.0, 287.0)	(24.0, 716.0)	(25.0, 1662.0)	(26.0, 3624.0)	(27.0, 7986.0)	(28.0, 15199.0)	(29.0, 21233.0)	(30.0, 26400.0)	(31.0, 33726.0)	(32.0, 43857.0)	(33.0, 61250.0)	(34.0, 89642.0)	(35.0, 143696.0)	(36.0, 248345.0)	(37.0, 409385.0)	(38.0, 136523.0)
ERR346600_1.pr	(2.0, 4.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 3.0)	(20.0, 0.0)	(21.0, 1.0)	(22.0, 21.0)	(23.0, 137.0)	(24.0, 392.0)	(25.0, 1012.0)	(26.0, 2179.0)	(27.0, 4932.0)	(28.0, 10209.0)	(29.0, 14803.0)	(30.0, 18926.0)	(31.0, 24107.0)	(32.0, 32035.0)	(33.0, 44759.0)	(34.0, 67144.0)	(35.0, 110640.0)	(36.0, 197923.0)	(37.0, 337962.0)	(38.0, 123735.0)
ERR346600_2.pr	(23.0, 5.0)	(24.0, 64.0)	(25.0, 168.0)	(26.0, 366.0)	(27.0, 661.0)	(28.0, 1775.0)	(29.0, 2764.0)	(30.0, 3766.0)	(31.0, 5262.0)	(32.0, 7877.0)	(33.0, 12358.0)	(34.0, 20527.0)	(35.0, 39436.0)	(36.0, 91410.0)	(37.0, 337301.0)	(38.0, 467187.0)																					
