Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR346596_1.pr	(1.0, 1.1929094154636006)	(2.0, 0.4125568276806756)	(3.0, 0.25454486622912276)	(4.0, 0.1945039161440048)	(5.0, 0.17706687375401545)	(6.0, 0.13644036261857637)	(7.0, 0.13527190101512349)	(8.0, 0.12080095346466843)	(9.0, 0.12053130847925621)	('>10', 2.342675633261248)	('>50', 1.5003046988335158)	('>100', 5.021239036684301)	('>500', 1.5101916816319634)	('>1k', 7.299379636770229)	('>5k', 1.901626318788683)	('>10k+', 77.67995656918102)
ERR346596_2.pr	(1.0, 33.345393702818484)	(2.0, 13.7384471035327)	(3.0, 8.666396093108862)	(4.0, 6.351409416429625)	(5.0, 4.892753665876446)	(6.0, 3.8420064210503924)	(7.0, 3.1854772549467216)	(8.0, 2.6643217863709228)	(9.0, 2.1842877428688916)	('>10', 17.007821785684868)	('>50', 1.5127114704751288)	('>100', 1.994488547779975)	('>500', 0.07794697785899446)	('>1k', 0.5365380311979977)	('>5k', 0.0)	('>10k+', 0.0)
ERR346597_1.pr	(1.0, 1.2178722406504514)	(2.0, 0.38446419828008305)	(3.0, 0.27102139896694644)	(4.0, 0.17447433572172377)	(5.0, 0.17197445640555284)	(6.0, 0.14688946050880303)	(7.0, 0.12852827794520263)	(8.0, 0.12206307281717435)	(9.0, 0.10628797230478527)	('>10', 2.3074748115608212)	('>50', 1.6286282731178496)	('>100', 4.964932727385574)	('>500', 1.708883019440441)	('>1k', 7.1961181184356615)	('>5k', 1.8981842255891095)	('>10k+', 77.57220341086982)
ERR346597_2.pr	(1.0, 32.45030711367471)	(2.0, 13.619349533400694)	(3.0, 8.597972676784398)	(4.0, 6.198161948515171)	(5.0, 4.803167861323468)	(6.0, 3.8914514927446207)	(7.0, 3.1585718371830955)	(8.0, 2.704287609304611)	(9.0, 2.3875735305982317)	('>10', 17.884250489617557)	('>50', 1.6223302494575307)	('>100', 1.9746173962115872)	('>500', 0.2512082111994281)	('>1k', 0.45675004998493957)	('>5k', 0.0)	('>10k+', 0.0)
ERR346598_1.pr	(1.0, 1.2888298491690966)	(2.0, 0.5077360256781047)	(3.0, 0.31488314267148615)	(4.0, 0.22252576762417015)	(5.0, 0.17131813130105375)	(6.0, 0.121946791635001)	(7.0, 0.10984392730435408)	(8.0, 0.0964890425257092)	(9.0, 0.07061395326708476)	('>10', 1.4679522412626709)	('>50', 1.357023229570052)	('>100', 7.069074385456196)	('>500', 4.350353716643567)	('>1k', 7.832765124720018)	('>5k', 1.0447275958244284)	('>10k+', 73.973917075347)
ERR346598_2.pr	(1.0, 27.373270433545144)	(2.0, 9.864607158762652)	(3.0, 6.668055390316284)	(4.0, 5.220087940560713)	(5.0, 4.367542229712377)	(6.0, 3.5799986128770898)	(7.0, 3.147795733501061)	(8.0, 2.7469944722972683)	(9.0, 2.4440134809178367)	('>10', 25.511849359465245)	('>50', 4.580696691396407)	('>100', 3.07958585113278)	('>500', 0.7814875831367881)	('>1k', 0.6340150623783464)	('>5k', 0.0)	('>10k+', 0.0)
ERR346599_1.pr	(1.0, 34.6062191771314)	(2.0, 12.250943529190183)	(3.0, 8.04663336527917)	(4.0, 5.958645157110445)	(5.0, 4.725154631798115)	(6.0, 3.7552901146356623)	(7.0, 3.1181197292560467)	(8.0, 2.51571020421067)	(9.0, 2.2034133272776937)	('>10', 18.101564884271145)	('>50', 2.018549532419195)	('>100', 1.9719218438011805)	('>500', 0.360058619583591)	('>1k', 0.3677758840354831)	('>5k', 0.0)	('>10k+', 0.0)
ERR346599_2.pr	(1.0, 1.6130510788786805)	(2.0, 0.5643266436475861)	(3.0, 0.2950291330212302)	(4.0, 0.2183971450764953)	(5.0, 0.13830747037244914)	(6.0, 0.12158191581578089)	(7.0, 0.10750993481858401)	(8.0, 0.08555764446295692)	(9.0, 0.08322571618342144)	('>10', 2.238329503074125)	('>50', 2.2977534685422873)	('>100', 8.921957597502745)	('>500', 3.4864740118654947)	('>1k', 5.305780126503088)	('>5k', 0.0)	('>10k+', 74.52271861023507)
ERR346600_1.pr	(1.0, 1.1502360920632904)	(2.0, 0.3994239737135026)	(3.0, 0.24007822977878288)	(4.0, 0.19416162845497198)	(5.0, 0.17256568849168508)	(6.0, 0.14652946180697468)	(7.0, 0.12856648370667062)	(8.0, 0.12029140390765415)	(9.0, 0.11807126054694242)	('>10', 2.4748543535497567)	('>50', 1.3227008649476701)	('>100', 5.118843264942826)	('>500', 1.6843824015290734)	('>1k', 7.247960747865383)	('>5k', 1.8631039420663682)	('>10k+', 77.61823020262845)
ERR346600_2.pr	(1.0, 34.312094311895976)	(2.0, 14.074293722986681)	(3.0, 8.820389922581349)	(4.0, 6.262080845089379)	(5.0, 4.700558399667496)	(6.0, 3.718271399162057)	(7.0, 3.2179251985473827)	(8.0, 2.596570281273907)	(9.0, 2.235644873311309)	('>10', 16.16956483021351)	('>50', 1.3958265193399049)	('>100', 1.872559561118928)	('>500', 0.2715710538043661)	('>1k', 0.35264908100774905)	('>5k', 0.0)	('>10k+', 0.0)
