Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
ERR346596_1.pr	(0, 1.0)	(5, 2.0)	(10, 2.0)	(15, 4.0)	(20, 4.0)	(25, 7.0)	(30, 2.0)	(35, 3.0)	(40, 2.0)	(45, 4.0)	(50, 6.0)	(55, 0.0)	(60, 2.0)	(65, 2.0)	(70, 4.0)	(75, 3.0)	(80, 5.0)	(85, 5.0)	(90, 7.0)	(95, 2.0)	(100, 9.0)	(105, 8.0)	(110, 5.0)	(115, 2.0)	(120, 5.0)	(125, 3.0)	(130, 3.0)	(135, 4.0)	(140, 4.0)	(145, 2.0)	(150, 3.0)	(155, 3.0)	(160, 4.0)	(165, 7.0)	(170, 5.0)	(175, 5.0)	(180, 4.0)	(185, 3.0)	(190, 1.0)	(195, 2.0)	(200, 9.0)	(205, 0.0)	(210, 5.0)	(215, 7.0)	(220, 21.0)	(225, 1107505.0)	(230, 1515.0)	(235, 300.0)	(240, 86.0)	(245, 0.0)	(250, 2977.0)
ERR346596_2.pr	(251, 1112574.0)																																																		
ERR346597_1.pr	(0, 2.0)	(5, 1.0)	(10, 2.0)	(15, 4.0)	(20, 5.0)	(25, 2.0)	(30, 0.0)	(35, 5.0)	(40, 1.0)	(45, 3.0)	(50, 1.0)	(55, 1.0)	(60, 5.0)	(65, 3.0)	(70, 2.0)	(75, 3.0)	(80, 9.0)	(85, 3.0)	(90, 2.0)	(95, 6.0)	(100, 2.0)	(105, 3.0)	(110, 6.0)	(115, 3.0)	(120, 4.0)	(125, 2.0)	(130, 3.0)	(135, 3.0)	(140, 1.0)	(145, 4.0)	(150, 3.0)	(155, 2.0)	(160, 5.0)	(165, 6.0)	(170, 3.0)	(175, 8.0)	(180, 2.0)	(185, 2.0)	(190, 5.0)	(195, 4.0)	(200, 1.0)	(205, 5.0)	(210, 2.0)	(215, 6.0)	(220, 23.0)	(225, 1155239.0)	(230, 1470.0)	(235, 331.0)	(240, 89.0)	(245, 0.0)	(250, 2759.0)
ERR346597_2.pr	(251, 1160056.0)																																																		
ERR346598_1.pr	(0, 4.0)	(5, 3.0)	(10, 2.0)	(15, 8.0)	(20, 7.0)	(25, 5.0)	(30, 3.0)	(35, 7.0)	(40, 5.0)	(45, 7.0)	(50, 2.0)	(55, 1.0)	(60, 7.0)	(65, 6.0)	(70, 5.0)	(75, 4.0)	(80, 5.0)	(85, 4.0)	(90, 6.0)	(95, 9.0)	(100, 12.0)	(105, 8.0)	(110, 2.0)	(115, 4.0)	(120, 9.0)	(125, 3.0)	(130, 3.0)	(135, 5.0)	(140, 7.0)	(145, 9.0)	(150, 5.0)	(155, 4.0)	(160, 2.0)	(165, 13.0)	(170, 13.0)	(175, 5.0)	(180, 6.0)	(185, 8.0)	(190, 5.0)	(195, 8.0)	(200, 10.0)	(205, 9.0)	(210, 9.0)	(215, 22.0)	(220, 74.0)	(225, 2387176.0)	(230, 3021.0)	(235, 481.0)	(240, 133.0)	(245, 0.0)	(250, 4961.0)
ERR346598_2.pr	(251, 2396127.0)																																																		
ERR346599_1.pr	(251, 1243606.0)																																																		
ERR346599_2.pr	(0, 6.0)	(5, 2.0)	(10, 4.0)	(15, 7.0)	(20, 2.0)	(25, 5.0)	(30, 3.0)	(35, 2.0)	(40, 3.0)	(45, 1.0)	(50, 3.0)	(55, 3.0)	(60, 2.0)	(65, 1.0)	(70, 7.0)	(75, 8.0)	(80, 6.0)	(85, 5.0)	(90, 4.0)	(95, 3.0)	(100, 4.0)	(105, 4.0)	(110, 4.0)	(115, 2.0)	(120, 1.0)	(125, 1.0)	(130, 3.0)	(135, 5.0)	(140, 1.0)	(145, 7.0)	(150, 4.0)	(155, 5.0)	(160, 8.0)	(165, 11.0)	(170, 11.0)	(175, 4.0)	(180, 3.0)	(185, 6.0)	(190, 2.0)	(195, 4.0)	(200, 1.0)	(205, 5.0)	(210, 10.0)	(215, 11.0)	(220, 25.0)	(225, 1237840.0)	(230, 1830.0)	(235, 316.0)	(240, 92.0)	(245, 0.0)	(250, 3309.0)
ERR346600_1.pr	(0, 5.0)	(5, 5.0)	(10, 1.0)	(15, 4.0)	(20, 1.0)	(25, 4.0)	(30, 2.0)	(35, 1.0)	(40, 3.0)	(45, 3.0)	(50, 0.0)	(55, 2.0)	(60, 3.0)	(65, 7.0)	(70, 4.0)	(75, 6.0)	(80, 2.0)	(85, 3.0)	(90, 3.0)	(95, 3.0)	(100, 3.0)	(105, 2.0)	(110, 4.0)	(115, 4.0)	(120, 3.0)	(125, 4.0)	(130, 5.0)	(135, 2.0)	(140, 3.0)	(145, 4.0)	(150, 4.0)	(155, 2.0)	(160, 2.0)	(165, 7.0)	(170, 6.0)	(175, 6.0)	(180, 1.0)	(185, 1.0)	(190, 5.0)	(195, 0.0)	(200, 0.0)	(205, 4.0)	(210, 4.0)	(215, 8.0)	(220, 23.0)	(225, 986386.0)	(230, 1335.0)	(235, 299.0)	(240, 84.0)	(245, 0.0)	(250, 2654.0)
ERR346600_2.pr	(251, 990927.0)																																																		
