Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR346596_1.pr	ERR346596_1.pr.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1112574.0	252.6 Mbp	0.0	3-251	49.0	1.8006892125827136	227.0578370517377	227	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
ERR346596_2.pr	ERR346596_2.pr.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1112574.0	279.2 Mbp	0.0	251.0	51.0	48.44566955339022	251.0	251	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass
ERR346597_1.pr	ERR346597_1.pr.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1160056.0	263.4 Mbp	0.0	2-251	49.0	1.8099988276428034	227.05376119773527	227	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
ERR346597_2.pr	ERR346597_2.pr.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1160056.0	291.1 Mbp	0.0	251.0	51.0	47.49086695034884	251.0	251	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass
ERR346598_1.pr	ERR346598_1.pr.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2396127.0	544 Mbp	0.0	0-251	49.0	1.9230616741099282	227.04690026864185	227	pass	fail	warn	pass	fail	warn	pass	fail	fail	fail	pass
ERR346598_2.pr	ERR346598_2.pr.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2396127.0	601.4 Mbp	0.0	251.0	51.0	39.918991985084915	251.0	251	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass
ERR346599_1.pr	ERR346599_1.pr.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1243606.0	312.1 Mbp	0.0	251.0	51.0	48.61521315805514	251.0	251	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass
ERR346599_2.pr	ERR346599_2.pr.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1243606.0	282.3 Mbp	0.0	0-251	49.0	2.3130316193392444	227.05838746355357	227	pass	fail	fail	pass	fail	warn	pass	fail	fail	fail	pass
ERR346600_1.pr	ERR346600_1.pr.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	990927.0	225 Mbp	0.0	0-251	49.0	1.749573883848154	227.05853710717338	227	pass	fail	warn	pass	fail	fail	pass	fail	fail	fail	pass
ERR346600_2.pr	ERR346600_2.pr.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	990927.0	248.7 Mbp	0.0	251.0	51.0	49.50983207438161	251.0	251	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass
ERR346601_1.pr	ERR346601_1.pr.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1263386.0	286.8 Mbp	0.0	2-251	49.0	2.182389230211511	227.06030777608743	227	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
ERR346601_2.pr	ERR346601_2.pr.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1263386.0	317.1 Mbp	0.0	251.0	51.0	47.41377558070866	251.0	251	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass
