Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
ERR346596_1.pr	98.19931078741729	49.0	227.0578370517377	227	54.54545454545454	1.112574
ERR346596_2.pr	51.55433044660978	51.0	251.0	251	18.181818181818183	1.112574
ERR346597_1.pr	98.1900011723572	49.0	227.05376119773527	227	54.54545454545454	1.160056
ERR346597_2.pr	52.50913304965116	51.0	251.0	251	18.181818181818183	1.160056
ERR346598_1.pr	98.07693832589007	49.0	227.04690026864185	227	45.45454545454545	2.396127
ERR346598_2.pr	60.081008014915085	51.0	251.0	251	18.181818181818183	2.396127
ERR346599_1.pr	51.38478684194486	51.0	251.0	251	18.181818181818183	1.243606
ERR346599_2.pr	97.68696838066076	49.0	227.05838746355357	227	54.54545454545454	1.243606
ERR346600_1.pr	98.25042611615184	49.0	227.05853710717338	227	54.54545454545454	0.990927
ERR346600_2.pr	50.49016792561839	51.0	251.0	251	18.181818181818183	0.990927
ERR346601_1.pr	97.81761076978849	49.0	227.06030777608743	227	36.36363636363637	1.263386
ERR346601_2.pr	52.58622441929134	51.0	251.0	251	18.181818181818183	1.263386
