Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR346596_1	ERR346596_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	659192.0	165.2 Mbp	0.0	250-251	50.0	45.44802893478466	250.63893372492385	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
ERR346596_2	ERR346596_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	659192.0	165.2 Mbp	0.0	250-251	50.0	55.41723589463741	250.75730894792412	251	pass	pass	warn	pass	fail	pass	pass	warn	warn	warn	pass
ERR346597_1	ERR346597_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	628070.0	157.4 Mbp	0.0	250-251	49.0	47.54166104902487	250.63650866941583	251	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
ERR346597_2	ERR346597_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	628070.0	157.4 Mbp	0.0	250-251	50.0	55.806876003063856	250.75259127167354	251	pass	pass	warn	pass	fail	pass	pass	warn	warn	warn	pass
ERR346598_1	ERR346598_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1326452.0	332.4 Mbp	0.0	250-251	50.0	27.105047207293243	250.63707318470628	251	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
ERR346598_2	ERR346598_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1326452.0	332.5 Mbp	0.0	250-251	51.0	46.64916533248459	250.74332128113193	251	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
ERR346599_1	ERR346599_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	722970.0	181.2 Mbp	0.0	250-251	51.0	55.28099137191952	250.74062132591948	251	pass	pass	warn	pass	fail	warn	pass	warn	warn	warn	pass
ERR346599_2	ERR346599_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	722970.0	181.2 Mbp	0.0	250-251	50.0	39.15499084532476	250.6405673817724	251	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
ERR346600_1	ERR346600_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	580438.0	145.4 Mbp	0.0	250-251	49.0	25.15044841856281	250.62942639868513	251	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
ERR346600_2	ERR346600_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	580438.0	145.5 Mbp	0.0	250-251	51.0	56.806380782730145	250.75887863992364	251	pass	pass	warn	pass	fail	pass	pass	warn	warn	warn	pass
ERR346601_1	ERR346601_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	698577.0	175 Mbp	0.0	250-251	49.0	43.85492342321829	250.64066237508536	251	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
ERR346601_2	ERR346601_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	698577.0	175.1 Mbp	0.0	250-251	51.0	55.2764014601008	250.7453337284222	251	pass	pass	warn	pass	fail	warn	pass	warn	warn	warn	pass
