Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
ERR346596_1	(1, 0.0036851481339668195)	(2, 0.0003595266472162751)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 8.988166180406877e-05)	(140, 0.0004314319766595301)	(145, 0.0039008641222965843)	(150, 0.0032357398249464753)	(155, 0.000790958623875805)	(160, 0.0)	(165, 0.0)	(170, 0.0003954793119379025)	(175, 1.7976332360813752e-05)	(180, 0.0009886982798447564)	(185, 0.00014381065888651002)	(190, 3.5952664721627504e-05)	(195, 0.0)	(200, 0.0)	(205, 3.5952664721627504e-05)	(210, 0.0004314319766595301)	(215, 0.00030559765013383377)	(220, 7.190532944325501e-05)	(225, 0.0005213136384635987)	(230, 0.0002336923206905788)	(235, 5.392899708244126e-05)	(240, 0.0)	(245, 0.016753941760278418)	(250, 0.02040313722952361)
ERR346596_2	(1, 0.08197207556531072)	(2, 0.02642520857039622)	(3, 0.01680787075736086)	(4, 0.010336391107467906)	(5, 0.00943757448942722)	(6, 0.0008988166180406876)	(7, 0.003145858163142407)	(8, 0.0002696449854122063)	(9, 8.988166180406877e-05)	(10, 3.5952664721627504e-05)	(15, 0.0)	(20, 7.190532944325501e-05)	(25, 0.02212886513616173)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 1.7976332360813752e-05)	(50, 0.0)	(55, 3.5952664721627504e-05)	(60, 0.0003775029795770888)	(65, 0.00030559765013383377)	(70, 8.988166180406877e-05)	(75, 1.7976332360813752e-05)	(80, 0.0)	(85, 1.7976332360813752e-05)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 1.7976332360813752e-05)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 1.7976332360813752e-05)	(150, 0.0)	(155, 0.00012583432652569628)	(160, 0.00010785799416488252)	(165, 0.0)	(170, 5.392899708244126e-05)	(175, 1.7976332360813752e-05)	(180, 0.0003415503148554613)	(185, 3.5952664721627504e-05)	(190, 0.0)	(195, 0.0004853609737419713)	(200, 3.5952664721627504e-05)	(205, 8.988166180406877e-05)	(210, 0.0004314319766595301)	(215, 0.0005213136384635987)	(220, 0.00028762131777302003)	(225, 0.0038828877899357702)	(230, 0.0006471479649892951)	(235, 1.7976332360813752e-05)	(240, 0.0)	(245, 0.0)	(250, 0.0)
ERR346597_1	(1, 0.0030170957264132074)	(2, 0.0008620273504037737)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 1.724054700807547e-05)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 5.172164102422642e-05)	(140, 0.00029308929913728304)	(145, 0.0036032743246877737)	(150, 0.0030170957264132074)	(155, 0.00046549476921803774)	(160, 0.0)	(165, 0.0)	(170, 0.00032757039315343397)	(175, 1.724054700807547e-05)	(180, 0.0011378761025329811)	(185, 0.0001896460170888302)	(190, 1.724054700807547e-05)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.00032757039315343397)	(215, 0.00032757039315343397)	(220, 3.448109401615094e-05)	(225, 0.0003792920341776604)	(230, 0.00012068382905652831)	(235, 6.896218803230188e-05)	(240, 0.0)	(245, 0.01727502810209162)	(250, 0.023533346666023018)
ERR346597_2	(1, 0.08128917914307586)	(2, 0.023705752136103774)	(3, 0.014654464956864153)	(4, 0.007930651623714717)	(5, 0.006810016068189812)	(6, 0.0007758246153633962)	(7, 0.0026722847862516983)	(8, 0.00043101367520188686)	(9, 8.620273504037736e-05)	(10, 1.724054700807547e-05)	(15, 0.0)	(20, 1.724054700807547e-05)	(25, 0.020188680546456377)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0004999758632341887)	(65, 0.00024136765811305663)	(70, 0.0001896460170888302)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 1.724054700807547e-05)	(125, 1.724054700807547e-05)	(130, 1.724054700807547e-05)	(135, 0.0)	(140, 0.0)	(145, 1.724054700807547e-05)	(150, 1.724054700807547e-05)	(155, 0.0001896460170888302)	(160, 6.896218803230188e-05)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.00022412711110498114)	(185, 3.448109401615094e-05)	(190, 0.0)	(195, 0.00044825422220996227)	(200, 3.448109401615094e-05)	(205, 1.724054700807547e-05)	(210, 0.00025860820512113206)	(215, 0.00046549476921803774)	(220, 0.00022412711110498114)	(225, 0.003930844717841208)	(230, 0.0011206355555249056)	(235, 1.724054700807547e-05)	(240, 0.0)	(245, 0.0)	(250, 0.0)
ERR346598_1	(1, 0.004131667478393257)	(2, 0.000751212268798774)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 8.346802986653044e-06)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 2.5040408959959136e-05)	(135, 3.3387211946612175e-05)	(140, 0.000375606134399387)	(145, 0.0038144889649004412)	(150, 0.003522350860367585)	(155, 0.0006176634210123253)	(160, 8.346802986653044e-06)	(165, 0.0)	(170, 0.00025875089258624437)	(175, 0.00012520204479979567)	(180, 0.001310448068904528)	(185, 0.00010016163583983654)	(190, 5.008081791991827e-05)	(195, 0.0)	(200, 0.0)	(205, 5.842762090657131e-05)	(210, 0.00043403375530595836)	(215, 0.00040899334634599915)	(220, 9.18148328531835e-05)	(225, 0.000375606134399387)	(230, 7.512122687987741e-05)	(235, 1.6693605973306087e-05)	(240, 0.0)	(245, 0.017319616197305068)	(250, 0.024497866765826687)
ERR346598_2	(1, 0.08342629585159718)	(2, 0.02291197419836261)	(3, 0.015358117495441602)	(4, 0.008597207076252635)	(5, 0.008346802986653046)	(6, 0.0010850843882648958)	(7, 0.0028379130154620354)	(8, 0.00025040408959959133)	(9, 0.0)	(10, 3.3387211946612175e-05)	(15, 1.6693605973306087e-05)	(20, 4.173401493326523e-05)	(25, 0.021334428433885184)	(30, 0.0)	(35, 8.346802986653044e-06)	(40, 0.0)	(45, 8.346802986653044e-06)	(50, 0.0)	(55, 1.6693605973306087e-05)	(60, 0.0003505657254394279)	(65, 0.00025040408959959133)	(70, 8.346802986653045e-05)	(75, 8.346802986653044e-06)	(80, 3.3387211946612175e-05)	(85, 8.346802986653044e-06)	(90, 0.0)	(95, 1.6693605973306087e-05)	(100, 0.0)	(105, 8.346802986653044e-06)	(110, 1.6693605973306087e-05)	(115, 0.0)	(120, 8.346802986653044e-06)	(125, 8.346802986653044e-06)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 2.5040408959959136e-05)	(150, 0.0)	(155, 5.842762090657131e-05)	(160, 0.00010016163583983654)	(165, 8.346802986653044e-06)	(170, 0.0)	(175, 3.3387211946612175e-05)	(180, 0.000375606134399387)	(185, 2.5040408959959136e-05)	(190, 1.6693605973306087e-05)	(195, 0.0005175017851724887)	(200, 6.677442389322435e-05)	(205, 0.00010016163583983654)	(210, 0.0005759294060790601)	(215, 0.00041734014933265224)	(220, 0.00025875089258624437)	(225, 0.0038729165858070124)	(230, 0.0006093166180256722)	(235, 4.173401493326523e-05)	(240, 8.346802986653044e-06)	(245, 0.0)	(250, 0.0)
ERR346599_1	(1, 0.08443188598318117)	(2, 0.02348010543532276)	(3, 0.014634860237084735)	(4, 0.007880309358430242)	(5, 0.006754550878654494)	(6, 0.0005628792398878745)	(7, 0.0018494603596315876)	(8, 0.0004020565999199104)	(9, 0.0)	(10, 3.216452799359283e-05)	(15, 1.6082263996796415e-05)	(20, 4.824679199038924e-05)	(25, 0.020955189987825727)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 1.6082263996796415e-05)	(60, 0.0004020565999199104)	(65, 0.00022515169595514978)	(70, 9.649358398077847e-05)	(75, 1.6082263996796415e-05)	(80, 3.216452799359283e-05)	(85, 4.824679199038924e-05)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 3.216452799359283e-05)	(115, 0.0)	(120, 1.6082263996796415e-05)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 1.6082263996796415e-05)	(150, 0.0)	(155, 6.432905598718566e-05)	(160, 0.00012865811197437132)	(165, 1.6082263996796415e-05)	(170, 0.0)	(175, 1.6082263996796415e-05)	(180, 0.000273398487945539)	(185, 1.6082263996796415e-05)	(190, 3.216452799359283e-05)	(195, 0.0005628792398878745)	(200, 3.216452799359283e-05)	(205, 8.041131998398206e-05)	(210, 0.0005950437678814674)	(215, 0.00030556301593913187)	(220, 0.00012865811197437132)	(225, 0.004326129015138235)	(230, 0.0004824679199038924)	(235, 1.6082263996796415e-05)	(240, 0.0)	(245, 0.0)	(250, 0.0)
ERR346599_2	(1, 0.003698920719263175)	(2, 0.0007237018798558387)	(3, 8.041131998398206e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 1.6082263996796415e-05)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 8.041131998398206e-05)	(140, 0.0003698920719263175)	(145, 0.0035863448712856)	(150, 0.003377275439327247)	(155, 0.0006111260318782637)	(160, 0.0)	(165, 0.0)	(170, 0.0002412339599519462)	(175, 9.649358398077847e-05)	(180, 0.001366992439727695)	(185, 4.824679199038924e-05)	(190, 6.432905598718566e-05)	(195, 0.0)	(200, 0.0)	(205, 6.432905598718566e-05)	(210, 0.00030556301593913187)	(215, 0.0004342211279135032)	(220, 6.432905598718566e-05)	(225, 0.0004342211279135032)	(230, 0.00014474037597116772)	(235, 3.216452799359283e-05)	(240, 1.6082263996796415e-05)	(245, 0.019202223212174917)	(250, 0.02613367899479417)
ERR346600_1	(1, 0.0029265526118472905)	(2, 0.0013119028949660268)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 4.03662429220316e-05)	(135, 2.01831214610158e-05)	(140, 0.0006054936438304739)	(145, 0.004399920478501443)	(150, 0.0034513137698337013)	(155, 0.0006256767652914897)	(160, 0.0)	(165, 0.0)	(170, 0.00034311306483726856)	(175, 0.0)	(180, 0.0010091560730507898)	(185, 6.054936438304739e-05)	(190, 2.01831214610158e-05)	(195, 0.0)	(200, 0.0)	(205, 2.01831214610158e-05)	(210, 0.0004440286721423475)	(215, 0.00028256370045422115)	(220, 8.07324858440632e-05)	(225, 0.0002623805789932053)	(230, 0.00012109872876609478)	(235, 4.03662429220316e-05)	(240, 0.0)	(245, 0.01594466595420248)	(250, 0.019274880995270086)
ERR346600_2	(1, 0.07962241416370731)	(2, 0.022907842858252928)	(3, 0.015742834739592322)	(4, 0.00888057344284695)	(5, 0.007871417369796161)	(6, 0.0014128185022711057)	(7, 0.0029265526118472905)	(8, 0.0006054936438304739)	(9, 0.0)	(10, 2.01831214610158e-05)	(15, 0.0)	(20, 4.03662429220316e-05)	(25, 0.019718909667412434)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 2.01831214610158e-05)	(50, 0.0)	(55, 2.01831214610158e-05)	(60, 0.00024219745753218956)	(65, 0.00014128185022711058)	(70, 6.054936438304739e-05)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 2.01831214610158e-05)	(115, 0.0)	(120, 4.03662429220316e-05)	(125, 0.00012109872876609478)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 4.03662429220316e-05)	(150, 0.0)	(155, 0.0001614649716881264)	(160, 4.03662429220316e-05)	(165, 2.01831214610158e-05)	(170, 0.0)	(175, 0.0)	(180, 0.00028256370045422115)	(185, 2.01831214610158e-05)	(190, 0.0)	(195, 0.0004036624292203159)	(200, 8.07324858440632e-05)	(205, 8.07324858440632e-05)	(210, 0.0004642117936033633)	(215, 0.00036329618629828435)	(220, 0.0002623805789932053)	(225, 0.0038347930775930014)	(230, 0.0006458598867525056)	(235, 4.03662429220316e-05)	(240, 0.0)	(245, 0.0)	(250, 0.0)
