Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
ERR346596_1	(1, 31.86121642245819)	(2, 32.09253047437743)	(3, 32.37279857339826)	(4, 32.37283093079651)	(5, 32.841927817835035)	(6, 35.32535274058175)	(7, 35.03306566574448)	(8, 35.20072462595746)	(9, 34.93983591203821)	(10, 35.480787794789386)	(15, 37.472887736006776)	(20, 37.8695772146392)	(25, 37.35403182170354)	(30, 38.318537733220445)	(35, 37.38760675694381)	(40, 37.18197171603866)	(45, 37.39297844457987)	(50, 38.05855197047567)	(55, 37.86420480794986)	(60, 38.499476169675006)	(65, 38.082658411934844)	(70, 37.76052289555571)	(75, 37.98915757513658)	(80, 37.82826167068438)	(85, 37.66908052857608)	(90, 37.63493358644009)	(95, 37.68359030500443)	(100, 37.85052212257342)	(105, 37.85583430854937)	(110, 37.824371412598175)	(115, 37.7296605888687)	(120, 37.68389644194453)	(125, 37.71957173185784)	(130, 37.65551702628319)	(135, 37.55382599269801)	(140, 37.4181307490558)	(145, 37.38371703814757)	(150, 37.22136199479765)	(155, 37.03202645397071)	(160, 36.7687547974337)	(165, 36.65681995085271)	(170, 36.598499695301165)	(175, 36.087747152099546)	(180, 35.96088475912614)	(185, 35.70328014136588)	(190, 35.343053855294116)	(195, 35.06601484485526)	(200, 34.708991581683556)	(205, 34.20488039447264)	(210, 33.82535705490152)	(215, 33.25411397354243)	(220, 32.88541238605252)	(225, 32.50677222369029)	(230, 31.70371319121245)	(235, 30.999406781032093)	(240, 30.19098990269411)	(245, 28.8674664336934)	(250, 22.53895111695941)
ERR346596_2	(1, 33.027758153614954)	(2, 33.13865684439867)	(3, 33.20516747650044)	(4, 32.97437473821966)	(5, 33.148605845543756)	(6, 35.264810250823764)	(7, 35.292393135198196)	(8, 34.64592108030567)	(9, 35.783403171384556)	(10, 36.84983488738727)	(15, 37.591752278949535)	(20, 38.01301450510259)	(25, 38.28909286034008)	(30, 38.066808679692315)	(35, 38.55604139589816)	(40, 38.39961225051098)	(45, 38.434962168808546)	(50, 38.05611851436399)	(55, 38.570579215405)	(60, 38.54203405795929)	(65, 38.78874645641548)	(70, 38.39187092274312)	(75, 38.65261402837025)	(80, 38.610967000846685)	(85, 38.41993323590161)	(90, 38.42859243519981)	(95, 38.46690844833692)	(100, 38.306341151240275)	(105, 38.28663351830979)	(110, 38.377439882650506)	(115, 38.09288011404185)	(120, 38.11153271602608)	(125, 38.2039298060174)	(130, 38.11603183248934)	(135, 38.14356636052973)	(140, 38.36924141675071)	(145, 38.20876633823907)	(150, 37.80501000382896)	(155, 37.96037854560685)	(160, 37.85342619906631)	(165, 37.47322784821504)	(170, 37.24725959801326)	(175, 37.43929770064732)	(180, 37.73414208852624)	(185, 37.32348446035949)	(190, 37.207755708833744)	(195, 37.29822393836275)	(200, 36.85421284337041)	(205, 35.98186961047085)	(210, 36.76690916739021)	(215, 36.714920535622795)	(220, 36.011031895406504)	(225, 35.91986492583864)	(230, 35.62667597840683)	(235, 35.78441901392627)	(240, 35.5315421715769)	(245, 35.25118580876418)	(250, 31.486987831820624)
ERR346597_1	(1, 31.649972932341196)	(2, 32.16884615915094)	(3, 32.121966525753926)	(4, 32.11255577316957)	(5, 32.74380978159675)	(6, 35.45330484045598)	(7, 35.13161778396905)	(8, 35.38776662505948)	(9, 35.093459281276076)	(10, 35.57994303723269)	(15, 37.41152634010772)	(20, 37.83805574903281)	(25, 37.33290703207432)	(30, 38.3272455812478)	(35, 37.21961353589827)	(40, 36.96232819794906)	(45, 37.190209782976)	(50, 37.933376492169344)	(55, 37.73702924686395)	(60, 38.415086340659414)	(65, 37.992645872268234)	(70, 37.591296627059386)	(75, 37.827145758480626)	(80, 37.67651337521637)	(85, 37.51942768280152)	(90, 37.4847279786493)	(95, 37.528025888405395)	(100, 37.69954898729027)	(105, 37.6931405035619)	(110, 37.64230571627577)	(115, 37.53746146737743)	(120, 37.48466901597854)	(125, 37.51736726502858)	(130, 37.44569296654644)	(135, 37.3248282841518)	(140, 37.17105656968284)	(145, 37.1209046804637)	(150, 36.92683956636576)	(155, 36.691144565434776)	(160, 36.39235933437696)	(165, 36.261379795458154)	(170, 36.17268666340246)	(175, 35.618588068162225)	(180, 35.45584040770446)	(185, 35.13718527381437)	(190, 34.75303123297496)	(195, 34.45639089837043)	(200, 34.06783138055405)	(205, 33.52977407987201)	(210, 33.10713396594647)	(215, 32.48255187680594)	(220, 32.0711403587413)	(225, 31.633182880826446)	(230, 30.748097678043127)	(235, 29.97324646396381)	(240, 29.01942544153041)	(245, 27.45512095967781)	(250, 21.11235664485163)
ERR346597_2	(1, 33.04623483693891)	(2, 33.16880047170137)	(3, 33.224179694773355)	(4, 32.99652085761377)	(5, 33.16579630638521)	(6, 35.24676050121718)	(7, 35.2973959877799)	(8, 34.64982466363693)	(9, 35.774097974580535)	(10, 36.852142827587635)	(15, 37.60570662105967)	(20, 38.014819112180795)	(25, 38.29514816526098)	(30, 38.07456519340445)	(35, 38.56775069479404)	(40, 38.412560255711796)	(45, 38.45199921383106)	(50, 38.07639544987483)	(55, 38.580555421462414)	(60, 38.557330163371425)	(65, 38.79628879985104)	(70, 38.41053293978912)	(75, 38.66515564765839)	(80, 38.623239567744996)	(85, 38.43337321646541)	(90, 38.448480245781234)	(95, 38.48405732137069)	(100, 38.3277250408601)	(105, 38.2958372699249)	(110, 38.37574410200887)	(115, 38.08110384326274)	(120, 38.11089533608722)	(125, 38.21685108305117)	(130, 38.10607574117112)	(135, 38.14851920941747)	(140, 38.33913380043722)	(145, 38.204643741336625)	(150, 37.79944519919728)	(155, 37.977283510451215)	(160, 37.86510806374864)	(165, 37.48430196473274)	(170, 37.261041363520384)	(175, 37.44862265269952)	(180, 37.75186197907688)	(185, 37.339788941223524)	(190, 37.2131243664099)	(195, 37.29220399704842)	(200, 36.8414711013951)	(205, 35.968480487148895)	(210, 36.771116049570026)	(215, 36.716478859641256)	(220, 35.96135858958534)	(225, 35.9108453385009)	(230, 35.62288492969305)	(235, 35.770206265904406)	(240, 35.53768714613777)	(245, 35.26416397139448)	(250, 31.486496772569602)
ERR346598_1	(1, 31.581160764850946)	(2, 31.877266104843358)	(3, 31.558688249829828)	(4, 31.9699502572276)	(5, 32.64171807253956)	(6, 34.575599707361086)	(7, 34.41697038596034)	(8, 34.5763417381466)	(9, 34.51823296511412)	(10, 35.15131034373387)	(15, 36.80569660957036)	(20, 37.57234361951599)	(25, 37.1022483365865)	(30, 37.90089940975582)	(35, 37.39544131008081)	(40, 36.690524083239325)	(45, 37.56705658756819)	(50, 38.025074797788264)	(55, 37.638786925734735)	(60, 38.236393897318464)	(65, 37.9221242446665)	(70, 37.5949824028526)	(75, 37.855867990302684)	(80, 37.75071730338167)	(85, 37.536257886163796)	(90, 37.431433893111674)	(95, 37.48740663579184)	(100, 37.68016202813958)	(105, 37.653072812918516)	(110, 37.61646882656888)	(115, 37.43396606273374)	(120, 37.43819363497845)	(125, 37.44960505014968)	(130, 37.37125127340913)	(135, 37.27856027664644)	(140, 37.05169016500378)	(145, 36.96755664453512)	(150, 36.7785696667998)	(155, 36.5992641458487)	(160, 36.2192915484029)	(165, 35.99168140920744)	(170, 35.95874158590092)	(175, 35.56228313440815)	(180, 35.40271162588627)	(185, 35.140253083413356)	(190, 34.80968078903997)	(195, 34.44683574785476)	(200, 34.04471156996269)	(205, 33.467259957422954)	(210, 32.91450795387724)	(215, 32.509415318970994)	(220, 31.83250220042594)	(225, 31.50704290715809)	(230, 30.51693211586865)	(235, 29.820716431140756)	(240, 29.039543479957445)	(245, 27.46955349194763)	(250, 21.288657279017347)
ERR346598_2	(1, 33.043105394663975)	(2, 33.15792860729002)	(3, 33.20858118121452)	(4, 32.984004604096526)	(5, 33.15952576804151)	(6, 35.240825298492105)	(7, 35.31021894916255)	(8, 34.64387572111161)	(9, 35.801332734032876)	(10, 36.875339913118125)	(15, 37.61686805415573)	(20, 38.02014734611312)	(25, 38.325540591128934)	(30, 38.01627200895446)	(35, 38.59248345350643)	(40, 38.45298942835667)	(45, 38.46503820540397)	(50, 38.07599196536744)	(55, 38.582436824091545)	(60, 38.56064315455734)	(65, 38.807938310448485)	(70, 38.40241147485087)	(75, 38.64811164015931)	(80, 38.62559455321024)	(85, 38.43841858131894)	(90, 38.47097628798474)	(95, 38.47905348923492)	(100, 38.34187611925412)	(105, 38.33087895591511)	(110, 38.428490810378584)	(115, 38.11900796577143)	(120, 38.14011527769605)	(125, 38.21003444308253)	(130, 38.16259747500863)	(135, 38.12621618136268)	(140, 38.359368096933096)	(145, 38.24740900628389)	(150, 37.917305635302306)	(155, 38.082238712722656)	(160, 37.98278304947943)	(165, 37.581261761167085)	(170, 37.34034923858377)	(175, 37.46133556359909)	(180, 37.82059949243091)	(185, 37.44259857678662)	(190, 37.28078453270632)	(195, 37.39424679910539)	(200, 36.968006036407914)	(205, 36.06009789965223)	(210, 36.85164542613977)	(215, 36.78489896403654)	(220, 36.104109005908285)	(225, 36.093644869408)	(230, 35.917910277710654)	(235, 35.86690830661313)	(240, 35.61514160142597)	(245, 35.37293340461503)	(250, 31.308203613581416)
ERR346599_1	(1, 33.01637737354114)	(2, 33.14177239415056)	(3, 33.19847926111646)	(4, 32.97017302907834)	(5, 33.13431826478804)	(6, 35.25919624060997)	(7, 35.30787886195467)	(8, 34.64919275075868)	(9, 35.79914619260441)	(10, 36.8619506499647)	(15, 37.596988756889246)	(20, 38.001617714935435)	(25, 38.304116577115266)	(30, 37.985435580079226)	(35, 38.57015807257282)	(40, 38.438401873262116)	(45, 38.45503077341216)	(50, 38.059344840729295)	(55, 38.56876229288054)	(60, 38.54108825464014)	(65, 38.80214071016061)	(70, 38.38467183336201)	(75, 38.63863989076926)	(80, 38.61543382711245)	(85, 38.41664546488196)	(90, 38.45095665347385)	(95, 38.45193172113998)	(100, 38.31472476009283)	(105, 38.29490256560358)	(110, 38.41582333954645)	(115, 38.092427826819744)	(120, 38.11843477757425)	(125, 38.19509683935265)	(130, 38.1271026354006)	(135, 38.104636195065)	(140, 38.28695471073636)	(145, 38.21806874524568)	(150, 37.88521621799831)	(155, 38.05237816478853)	(160, 37.948418228924595)	(165, 37.54232610649997)	(170, 37.31657003906382)	(175, 37.430712138732034)	(180, 37.790392133843035)	(185, 37.40220134029588)	(190, 37.24700298969288)	(195, 37.35728470271131)	(200, 36.93984380905206)	(205, 36.04442484195155)	(210, 36.80755367857665)	(215, 36.74807149531283)	(220, 36.04565384856619)	(225, 36.053764616767694)	(230, 35.86074319358382)	(235, 35.78633297041024)	(240, 35.532928435533435)	(245, 35.29598281127624)	(250, 31.2148594490538)
ERR346599_2	(1, 31.804413938176562)	(2, 32.30512075367922)	(3, 32.42278261764578)	(4, 32.44946711418247)	(5, 32.93854243224944)	(6, 35.266045676846204)	(7, 35.00168622538006)	(8, 35.12144441245861)	(9, 34.856139323869456)	(10, 35.56547298742528)	(15, 37.254565191869446)	(20, 37.85829675958463)	(25, 37.40692952591094)	(30, 38.170202942089375)	(35, 37.78678327380216)	(40, 37.16172742814042)	(45, 37.776319348732635)	(50, 38.13102236560454)	(55, 37.81235359108914)	(60, 38.352643522144476)	(65, 38.04857052796464)	(70, 37.74198644908436)	(75, 37.99073967156801)	(80, 37.83508056410149)	(85, 37.636577501234314)	(90, 37.53904596793518)	(95, 37.602448846338795)	(100, 37.78784100430522)	(105, 37.77466802186545)	(110, 37.74521850167979)	(115, 37.581524373475204)	(120, 37.58159449214623)	(125, 37.5968787542035)	(130, 37.531295281624566)	(135, 37.441719805147294)	(140, 37.242037912329145)	(145, 37.173676711112684)	(150, 36.998446614120546)	(155, 36.84018909526007)	(160, 36.50268863289499)	(165, 36.29647203374702)	(170, 36.26960017883478)	(175, 35.89765552755455)	(180, 35.73843548519386)	(185, 35.499321167636694)	(190, 35.17285217343757)	(195, 34.81711989166987)	(200, 34.44351313840558)	(205, 33.88631447580665)	(210, 33.36637166433742)	(215, 32.983330733367325)	(220, 32.33683562157147)	(225, 32.03281376899115)	(230, 31.092901931962377)	(235, 30.44705477458295)	(240, 29.72957673089387)	(245, 28.29695691400653)	(250, 22.212673065263438)
ERR346600_1	(1, 31.730487715038546)	(2, 32.000692281066115)	(3, 32.35185336558596)	(4, 32.219891071693475)	(5, 32.79442077973453)	(6, 35.56247836621668)	(7, 35.33032705739171)	(8, 35.48908446333584)	(9, 35.25622876357189)	(10, 35.91306604825583)	(15, 37.38298905973902)	(20, 37.84029943679)	(25, 37.47292565446294)	(30, 38.36408615367227)	(35, 37.894281415280844)	(40, 37.20384690295047)	(45, 37.84793148233926)	(50, 38.15630313837447)	(55, 37.763711353106736)	(60, 38.40958637720034)	(65, 38.07077130807819)	(70, 37.79318456354505)	(75, 38.059200728207024)	(80, 37.856768460239756)	(85, 37.67274743750044)	(90, 37.63346502820087)	(95, 37.68957592234342)	(100, 37.844449692056024)	(105, 37.85163205765914)	(110, 37.83207885141893)	(115, 37.73218955584014)	(120, 37.6760098372534)	(125, 37.71551950850063)	(130, 37.648775540478766)	(135, 37.568241858381086)	(140, 37.42692811882207)	(145, 37.37650462647601)	(150, 37.21762793828405)	(155, 36.974244116872384)	(160, 36.73237120393329)	(165, 36.64641976654183)	(170, 36.55933282673699)	(175, 36.051302063623254)	(180, 35.95063188307514)	(185, 35.63101419176186)	(190, 35.305607173888696)	(195, 34.982539581624074)	(200, 34.62478507498534)	(205, 34.093869477771825)	(210, 33.72356490437742)	(215, 33.10480630762912)	(220, 32.716447326594185)	(225, 32.33634626970503)	(230, 31.546965619061744)	(235, 30.8431549448143)	(240, 30.058460613143048)	(245, 28.74314455050675)	(250, 22.39502708070322)
ERR346600_2	(1, 33.04947589479346)	(2, 33.16210780410666)	(3, 33.22043197934863)	(4, 32.99528825029493)	(5, 33.15381859612262)	(6, 35.26791983667818)	(7, 35.30307277932683)	(8, 34.6542257905981)	(9, 35.77471700740821)	(10, 36.84826248553122)	(15, 37.60687336201355)	(20, 38.01898565686473)	(25, 38.29606863068622)	(30, 38.06786655323752)	(35, 38.57484557389192)	(40, 38.421765276352346)	(45, 38.45288886063251)	(50, 38.07754960758966)	(55, 38.59013428839864)	(60, 38.55759707829134)	(65, 38.796502265050805)	(70, 38.41042962801498)	(75, 38.66605612724247)	(80, 38.629596932972866)	(85, 38.429586437749705)	(90, 38.449897520200786)	(95, 38.49362223453393)	(100, 38.332466064604155)	(105, 38.31566866176822)	(110, 38.396717820788005)	(115, 38.0917942492232)	(120, 38.11770291858028)	(125, 38.22211767365305)	(130, 38.13945527773488)	(135, 38.14244137055505)	(140, 38.357852596609035)	(145, 38.20697246113993)	(150, 37.813822208901364)	(155, 37.97612195449311)	(160, 37.877514085295886)	(165, 37.48855909668422)	(170, 37.27525741048534)	(175, 37.473254841173976)	(180, 37.77005288986979)	(185, 37.349492545868664)	(190, 37.218723276285736)	(195, 37.29808189705195)	(200, 36.85508296776655)	(205, 35.980703926727195)	(210, 36.792801286068496)	(215, 36.71040954580913)	(220, 35.98274746777513)	(225, 35.923062546484246)	(230, 35.6404043890216)	(235, 35.81677459590868)	(240, 35.57758684544875)	(245, 35.30512540277942)	(250, 31.577271585091538)
