Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
ERR346596_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.3333333333333333)	(7.0, 0.3333333333333333)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.6666666666666666)	(27.0, 1.0)	(28.0, 1.3333333333333333)	(29.0, 3.3333333333333335)	(30.0, 5.999999999999998)	(31.0, 18.000000000000004)	(32.0, 27.999999999999968)	(33.0, 25.33333333333331)	(34.0, 17.66666666666667)	(35.0, 20.66666666666666)	(36.0, 29.99999999999996)	(37.0, 46.66666666666672)	(38.0, 57.6666666666668)	(39.0, 87.33333333333317)	(40.0, 133.99999999999943)	(41.0, 174.3333333333339)	(42.0, 232.33333333333556)	(43.0, 330.333333333332)	(44.0, 529.666666666657)	(45.0, 1118.3333333333583)	(46.0, 3394.0000000004256)	(47.0, 8484.666666664218)	(48.0, 16217.000000011616)	(49.0, 26819.66666664062)	(50.0, 41688.000000017215)	(51.0, 60602.00000015483)	(52.0, 82116.33333328279)	(53.0, 100164.99999968681)	(54.0, 96802.33333306908)	(55.0, 67326.33333349801)	(56.0, 32314.99999995396)	(57.0, 11454.333333336286)	(58.0, 3468.0000000004593)	(59.0, 1021.0000000000462)	(60.0, 522.6666666666562)	(61.0, 351.6666666666641)	(62.0, 179.33333333333405)	(63.0, 85.66666666666653)	(64.0, 78.99999999999996)	(65.0, 73.33333333333337)	(66.0, 43.6666666666667)	(67.0, 17.000000000000007)	(68.0, 6.666666666666664)	(69.0, 7.9999999999999964)	(70.0, 7.9999999999999964)	(71.0, 3.3333333333333335)	(72.0, 2.333333333333333)	(73.0, 0.6666666666666666)	(74.0, 0.3333333333333333)	(75.0, 0.0)	(76.0, 0.3333333333333333)	(77.0, 1.3333333333333333)	(78.0, 0.6666666666666666)	(79.0, 0.6666666666666666)	(80.0, 0.3333333333333333)	(81.0, 0.3333333333333333)	(82.0, 0.3333333333333333)	(83.0, 2.333333333333333)	(84.0, 3.3333333333333335)	(85.0, 2.333333333333333)	(86.0, 1.3333333333333333)	(87.0, 0.6666666666666666)	(88.0, 0.6666666666666666)	(89.0, 0.3333333333333333)	(90.0, 0.3333333333333333)	(91.0, 0.3333333333333333)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.3333333333333333)	(98.0, 0.0)	(99.0, 1.0)	(100.0, 5.0)
ERR346596_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.3333333333333333)	(23.0, 0.3333333333333333)	(24.0, 0.6666666666666666)	(25.0, 2.6666666666666665)	(26.0, 4.999999999999999)	(27.0, 6.333333333333331)	(28.0, 4.666666666666666)	(29.0, 6.333333333333331)	(30.0, 5.999999999999998)	(31.0, 8.999999999999998)	(32.0, 10.666666666666668)	(33.0, 9.333333333333332)	(34.0, 10.333333333333334)	(35.0, 24.333333333333314)	(36.0, 42.00000000000002)	(37.0, 57.6666666666668)	(38.0, 66.00000000000014)	(39.0, 70.66666666666674)	(40.0, 115.33333333333277)	(41.0, 158.0000000000001)	(42.0, 260.0000000000027)	(43.0, 359.6666666666637)	(44.0, 553.9999999999931)	(45.0, 1700.9999999998925)	(46.0, 7202.666666664586)	(47.0, 21417.666666660272)	(48.0, 42348.66666668869)	(49.0, 62575.00000016919)	(50.0, 78348.33333333762)	(51.0, 88950.33333318334)	(52.0, 92081.99999980444)	(53.0, 73818.33333340354)	(54.0, 47166.33333339041)	(55.0, 26180.666666642945)	(56.0, 8520.33333333095)	(57.0, 1386.3333333332973)	(58.0, 606.6666666666657)	(59.0, 543.9999999999919)	(60.0, 548.9999999999925)	(61.0, 501.6666666666556)	(62.0, 228.0000000000021)	(63.0, 174.66666666666725)	(64.0, 182.33333333333414)	(65.0, 79.99999999999994)	(66.0, 9.666666666666666)	(67.0, 2.6666666666666665)	(68.0, 1.9999999999999998)	(69.0, 1.0)	(70.0, 0.3333333333333333)	(71.0, 0.6666666666666666)	(72.0, 0.3333333333333333)	(73.0, 1.3333333333333333)	(74.0, 0.6666666666666666)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR346597_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.3333333333333333)	(23.0, 0.6666666666666666)	(24.0, 0.3333333333333333)	(25.0, 0.6666666666666666)	(26.0, 0.0)	(27.0, 0.6666666666666666)	(28.0, 0.6666666666666666)	(29.0, 1.9999999999999998)	(30.0, 8.666666666666664)	(31.0, 21.333333333333325)	(32.0, 28.999999999999964)	(33.0, 22.33333333333332)	(34.0, 18.333333333333336)	(35.0, 19.666666666666664)	(36.0, 31.999999999999954)	(37.0, 47.00000000000006)	(38.0, 59.66666666666681)	(39.0, 91.66666666666644)	(40.0, 145.99999999999977)	(41.0, 189.33333333333434)	(42.0, 248.00000000000267)	(43.0, 347.66666666666436)	(44.0, 586.6666666666634)	(45.0, 1472.9999999999443)	(46.0, 4553.666666666995)	(47.0, 10598.666666668063)	(48.0, 19235.000000001546)	(49.0, 31324.66666662423)	(50.0, 47839.66666672864)	(51.0, 68131.00000015297)	(52.0, 91093.33333315216)	(53.0, 106914.33333292193)	(54.0, 94811.99999976471)	(55.0, 60195.33333348521)	(56.0, 27731.999999970634)	(57.0, 9631.999999999638)	(58.0, 2842.6666666668416)	(59.0, 833.0000000000248)	(60.0, 411.99999999999403)	(61.0, 254.00000000000284)	(62.0, 121.33333333333269)	(63.0, 63.00000000000017)	(64.0, 45.00000000000004)	(65.0, 42.00000000000002)	(66.0, 20.66666666666666)	(67.0, 10.0)	(68.0, 7.666666666666663)	(69.0, 3.666666666666667)	(70.0, 3.666666666666667)	(71.0, 2.333333333333333)	(72.0, 1.3333333333333333)	(73.0, 1.0)	(74.0, 0.3333333333333333)	(75.0, 0.6666666666666666)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.3333333333333333)	(80.0, 0.0)	(81.0, 1.3333333333333333)	(82.0, 1.3333333333333333)	(83.0, 2.333333333333333)	(84.0, 3.0)	(85.0, 2.333333333333333)	(86.0, 1.0)	(87.0, 0.6666666666666666)	(88.0, 0.3333333333333333)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 1.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 1.0)	(96.0, 0.6666666666666666)	(97.0, 0.3333333333333333)	(98.0, 0.6666666666666666)	(99.0, 1.0)	(100.0, 6.0)
ERR346597_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.6666666666666666)	(26.0, 1.6666666666666665)	(27.0, 3.3333333333333335)	(28.0, 4.999999999999999)	(29.0, 4.999999999999999)	(30.0, 4.999999999999999)	(31.0, 5.666666666666665)	(32.0, 4.666666666666666)	(33.0, 8.999999999999998)	(34.0, 13.33333333333334)	(35.0, 27.666666666666636)	(36.0, 48.000000000000064)	(37.0, 63.66666666666684)	(38.0, 68.33333333333344)	(39.0, 74.33333333333336)	(40.0, 100.66666666666632)	(41.0, 142.9999999999997)	(42.0, 246.6666666666693)	(43.0, 371.3333333333297)	(44.0, 593.9999999999976)	(45.0, 1807.9999999998681)	(46.0, 7454.99999999769)	(47.0, 21928.666666658413)	(48.0, 43449.00000003003)	(49.0, 64382.000000182335)	(50.0, 81039.66666663179)	(51.0, 92937.33333312532)	(52.0, 96489.99999974029)	(53.0, 77665.00000001423)	(54.0, 49959.666666744066)	(55.0, 27933.9999999699)	(56.0, 9144.999999998752)	(57.0, 1500.6666666666047)	(58.0, 665.6666666666724)	(59.0, 549.6666666666592)	(60.0, 457.3333333333248)	(61.0, 383.9999999999956)	(62.0, 182.33333333333414)	(63.0, 168.0000000000004)	(64.0, 175.33333333333394)	(65.0, 61.33333333333349)	(66.0, 8.666666666666664)	(67.0, 1.3333333333333333)	(68.0, 1.9999999999999998)	(69.0, 1.3333333333333333)	(70.0, 0.3333333333333333)	(71.0, 0.6666666666666666)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR346598_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.3333333333333333)	(8.0, 0.3333333333333333)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.3333333333333333)	(22.0, 0.3333333333333333)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.6666666666666666)	(27.0, 1.0)	(28.0, 1.9999999999999998)	(29.0, 4.0)	(30.0, 4.0)	(31.0, 2.6666666666666665)	(32.0, 4.333333333333333)	(33.0, 7.33333333333333)	(34.0, 9.666666666666666)	(35.0, 12.333333333333337)	(36.0, 29.99999999999996)	(37.0, 75.33333333333334)	(38.0, 132.66666666666606)	(39.0, 217.66666666666848)	(40.0, 250.6666666666694)	(41.0, 268.66666666666885)	(42.0, 424.9999999999933)	(43.0, 687.3333333333416)	(44.0, 1166.3333333333474)	(45.0, 1860.6666666665228)	(46.0, 4092.3333333340765)	(47.0, 10329.000000000906)	(48.0, 22183.666666657486)	(49.0, 40788.66666667734)	(50.0, 64834.000000185624)	(51.0, 93005.33333312433)	(52.0, 126927.3333326307)	(53.0, 163813.00000018993)	(54.0, 190062.00000095388)	(55.0, 187236.66666753832)	(56.0, 144895.3333329727)	(57.0, 82837.3333332723)	(58.0, 38305.66666665927)	(59.0, 13627.000000006905)	(60.0, 4198.333333333985)	(61.0, 2139.9999999998554)	(62.0, 1357.333333333304)	(63.0, 695.6666666666758)	(64.0, 360.99999999999693)	(65.0, 256.6666666666695)	(66.0, 222.66666666666862)	(67.0, 153.33333333333331)	(68.0, 62.3333333333335)	(69.0, 32.66666666666662)	(70.0, 22.666666666666654)	(71.0, 21.333333333333325)	(72.0, 14.000000000000007)	(73.0, 4.666666666666666)	(74.0, 1.9999999999999998)	(75.0, 1.6666666666666665)	(76.0, 1.9999999999999998)	(77.0, 2.333333333333333)	(78.0, 1.6666666666666665)	(79.0, 1.6666666666666665)	(80.0, 0.3333333333333333)	(81.0, 1.0)	(82.0, 1.6666666666666665)	(83.0, 1.3333333333333333)	(84.0, 3.0)	(85.0, 7.666666666666663)	(86.0, 6.666666666666664)	(87.0, 3.3333333333333335)	(88.0, 1.9999999999999998)	(89.0, 2.333333333333333)	(90.0, 1.6666666666666665)	(91.0, 0.6666666666666666)	(92.0, 0.6666666666666666)	(93.0, 0.3333333333333333)	(94.0, 0.3333333333333333)	(95.0, 0.6666666666666666)	(96.0, 0.6666666666666666)	(97.0, 1.0)	(98.0, 0.6666666666666666)	(99.0, 1.0)	(100.0, 11.0)
ERR346598_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.6666666666666666)	(23.0, 1.0)	(24.0, 1.9999999999999998)	(25.0, 3.3333333333333335)	(26.0, 2.333333333333333)	(27.0, 5.333333333333332)	(28.0, 8.666666666666664)	(29.0, 8.999999999999998)	(30.0, 4.666666666666666)	(31.0, 6.333333333333331)	(32.0, 8.999999999999998)	(33.0, 16.666666666666675)	(34.0, 22.999999999999986)	(35.0, 27.666666666666636)	(36.0, 43.00000000000003)	(37.0, 50.333333333333414)	(38.0, 61.66666666666683)	(39.0, 110.9999999999995)	(40.0, 177.66666666666734)	(41.0, 238.33333333333573)	(42.0, 428.33333333332644)	(43.0, 827.6666666666908)	(44.0, 1670.3333333332328)	(45.0, 4998.3333333332575)	(46.0, 18779.66666666987)	(47.0, 53524.33333343667)	(48.0, 98433.66666637867)	(49.0, 132725.3333326185)	(50.0, 159974.6666667449)	(51.0, 187785.33333422095)	(52.0, 204504.66666804088)	(53.0, 157659.6666666775)	(54.0, 88918.66666651714)	(55.0, 49573.66666674126)	(56.0, 21108.333333328064)	(57.0, 5620.999999999358)	(58.0, 2248.6666666665715)	(59.0, 1873.9999999998531)	(60.0, 1950.333333333169)	(61.0, 1866.3333333331882)	(62.0, 939.3333333333702)	(63.0, 565.3333333333277)	(64.0, 568.333333333328)	(65.0, 258.3333333333361)	(66.0, 44.33333333333337)	(67.0, 11.000000000000002)	(68.0, 6.666666666666664)	(69.0, 3.3333333333333335)	(70.0, 3.0)	(71.0, 5.333333333333332)	(72.0, 6.999999999999997)	(73.0, 4.333333333333333)	(74.0, 1.0)	(75.0, 0.3333333333333333)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR346599_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.3333333333333333)	(24.0, 0.3333333333333333)	(25.0, 1.0)	(26.0, 1.3333333333333333)	(27.0, 3.0)	(28.0, 5.999999999999998)	(29.0, 4.666666666666666)	(30.0, 2.6666666666666665)	(31.0, 3.3333333333333335)	(32.0, 4.333333333333333)	(33.0, 3.3333333333333335)	(34.0, 7.666666666666663)	(35.0, 19.999999999999996)	(36.0, 24.333333333333314)	(37.0, 25.666666666666643)	(38.0, 37.66666666666666)	(39.0, 56.00000000000012)	(40.0, 93.33333333333309)	(41.0, 135.9999999999995)	(42.0, 232.6666666666689)	(43.0, 452.9999999999917)	(44.0, 918.3333333333678)	(45.0, 2665.000000000094)	(46.0, 9815.999999999973)	(47.0, 27953.999999969827)	(48.0, 51285.00000008704)	(49.0, 69256.66666680326)	(50.0, 83598.99999992788)	(51.0, 97504.6666663922)	(52.0, 105528.99999960876)	(53.0, 81695.33333328892)	(54.0, 46016.33333338204)	(55.0, 25625.33333331163)	(56.0, 11002.333333335464)	(57.0, 2845.3333333335095)	(58.0, 1077.0000000000343)	(59.0, 892.6666666666982)	(60.0, 902.333333333366)	(61.0, 829.3333333333577)	(62.0, 435.99999999999267)	(63.0, 273.00000000000193)	(64.0, 265.666666666669)	(65.0, 111.66666666666616)	(66.0, 19.0)	(67.0, 7.9999999999999964)	(68.0, 5.666666666666665)	(69.0, 3.0)	(70.0, 0.6666666666666666)	(71.0, 1.0)	(72.0, 1.3333333333333333)	(73.0, 1.6666666666666665)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.3333333333333333)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR346599_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 1.0)	(28.0, 1.9999999999999998)	(29.0, 3.0)	(30.0, 2.333333333333333)	(31.0, 3.3333333333333335)	(32.0, 4.999999999999999)	(33.0, 7.33333333333333)	(34.0, 6.666666666666664)	(35.0, 7.9999999999999964)	(36.0, 15.333333333333343)	(37.0, 28.666666666666632)	(38.0, 51.33333333333342)	(39.0, 80.33333333333327)	(40.0, 118.66666666666606)	(41.0, 158.33333333333346)	(42.0, 262.00000000000256)	(43.0, 416.99999999999375)	(44.0, 672.3333333333399)	(45.0, 1297.6666666666508)	(46.0, 3339.333333333734)	(47.0, 7997.33333333053)	(48.0, 15761.33333334412)	(49.0, 26706.3333333077)	(50.0, 40196.00000000636)	(51.0, 56498.00000012497)	(52.0, 75364.00000004772)	(53.0, 92554.99999979755)	(54.0, 99401.33333303126)	(55.0, 87837.33333319954)	(56.0, 60009.33333348385)	(57.0, 31371.66666662406)	(58.0, 13326.000000006357)	(59.0, 4560.666666666989)	(60.0, 1589.6666666665844)	(61.0, 861.3333333333613)	(62.0, 463.66666666665776)	(63.0, 221.6666666666686)	(64.0, 140.6666666666663)	(65.0, 117.33333333333275)	(66.0, 90.66666666666646)	(67.0, 44.66666666666671)	(68.0, 18.666666666666668)	(69.0, 9.333333333333332)	(70.0, 7.9999999999999964)	(71.0, 6.666666666666664)	(72.0, 2.6666666666666665)	(73.0, 1.0)	(74.0, 1.3333333333333333)	(75.0, 1.0)	(76.0, 0.6666666666666666)	(77.0, 0.6666666666666666)	(78.0, 0.3333333333333333)	(79.0, 0.6666666666666666)	(80.0, 0.6666666666666666)	(81.0, 1.3333333333333333)	(82.0, 1.3333333333333333)	(83.0, 1.3333333333333333)	(84.0, 3.666666666666667)	(85.0, 3.3333333333333335)	(86.0, 1.6666666666666665)	(87.0, 0.0)	(88.0, 1.0)	(89.0, 0.6666666666666666)	(90.0, 0.3333333333333333)	(91.0, 0.0)	(92.0, 1.0)	(93.0, 0.3333333333333333)	(94.0, 0.0)	(95.0, 0.3333333333333333)	(96.0, 1.0)	(97.0, 1.6666666666666665)	(98.0, 1.3333333333333333)	(99.0, 1.6666666666666665)	(100.0, 9.0)
ERR346600_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.6666666666666666)	(27.0, 1.0)	(28.0, 1.6666666666666665)	(29.0, 4.0)	(30.0, 9.333333333333332)	(31.0, 11.66666666666667)	(32.0, 11.66666666666667)	(33.0, 13.000000000000005)	(34.0, 23.333333333333318)	(35.0, 26.333333333333307)	(36.0, 40.33333333333334)	(37.0, 62.666666666666835)	(38.0, 69.33333333333343)	(39.0, 106.66666666666623)	(40.0, 136.66666666666617)	(41.0, 153.66666666666666)	(42.0, 188.00000000000097)	(43.0, 360.3333333333303)	(44.0, 669.6666666666729)	(45.0, 1917.3333333331766)	(46.0, 5761.666666665897)	(47.0, 12162.666666670908)	(48.0, 20940.666666662008)	(49.0, 33732.666666626)	(50.0, 50554.33333341506)	(51.0, 69108.00000013875)	(52.0, 88837.99999985164)	(53.0, 94156.99999977424)	(54.0, 68450.00000014833)	(55.0, 32766.999999952317)	(56.0, 11152.66666666907)	(57.0, 3064.6666666669425)	(58.0, 672.3333333333399)	(59.0, 167.3333333333337)	(60.0, 88.66666666666649)	(61.0, 53.333333333333435)	(62.0, 30.999999999999957)	(63.0, 20.999999999999993)	(64.0, 16.333333333333343)	(65.0, 11.66666666666667)	(66.0, 8.666666666666664)	(67.0, 2.333333333333333)	(68.0, 1.6666666666666665)	(69.0, 1.0)	(70.0, 0.3333333333333333)	(71.0, 0.6666666666666666)	(72.0, 1.0)	(73.0, 0.6666666666666666)	(74.0, 0.3333333333333333)	(75.0, 0.0)	(76.0, 0.3333333333333333)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.3333333333333333)	(80.0, 0.6666666666666666)	(81.0, 0.0)	(82.0, 1.0)	(83.0, 1.9999999999999998)	(84.0, 1.9999999999999998)	(85.0, 1.9999999999999998)	(86.0, 0.3333333333333333)	(87.0, 0.6666666666666666)	(88.0, 1.0)	(89.0, 1.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.3333333333333333)	(95.0, 0.0)	(96.0, 0.3333333333333333)	(97.0, 0.3333333333333333)	(98.0, 0.0)	(99.0, 0.6666666666666666)	(100.0, 4.0)
ERR346600_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.3333333333333333)	(23.0, 0.3333333333333333)	(24.0, 0.6666666666666666)	(25.0, 1.0)	(26.0, 0.3333333333333333)	(27.0, 1.3333333333333333)	(28.0, 2.6666666666666665)	(29.0, 1.0)	(30.0, 4.999999999999999)	(31.0, 6.999999999999997)	(32.0, 4.333333333333333)	(33.0, 7.9999999999999964)	(34.0, 13.33333333333334)	(35.0, 13.666666666666673)	(36.0, 23.333333333333318)	(37.0, 35.66666666666664)	(38.0, 48.3333333333334)	(39.0, 63.00000000000017)	(40.0, 101.6666666666663)	(41.0, 148.33333333333317)	(42.0, 214.6666666666684)	(43.0, 296.66666666666725)	(44.0, 513.6666666666551)	(45.0, 1653.9999999999031)	(46.0, 6836.999999998252)	(47.0, 19608.33333333352)	(48.0, 37680.33333332139)	(49.0, 54789.00000011254)	(50.0, 68803.66666680985)	(51.0, 79307.666666657)	(52.0, 82180.99999994852)	(53.0, 66125.33333351549)	(54.0, 42892.66666669265)	(55.0, 24395.99999998277)	(56.0, 7962.666666663895)	(57.0, 1119.6666666666913)	(58.0, 173.66666666666723)	(59.0, 104.99999999999959)	(60.0, 101.99999999999963)	(61.0, 101.33333333333297)	(62.0, 56.33333333333346)	(63.0, 27.333333333333304)	(64.0, 24.99999999999998)	(65.0, 12.666666666666671)	(66.0, 4.666666666666666)	(67.0, 3.0)	(68.0, 3.666666666666667)	(69.0, 2.333333333333333)	(70.0, 0.6666666666666666)	(71.0, 1.0)	(72.0, 1.0)	(73.0, 0.3333333333333333)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
