Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR346596_1	(23.0, 16.0)	(24.0, 161.0)	(25.0, 554.0)	(26.0, 1533.0)	(27.0, 3914.0)	(28.0, 9395.0)	(29.0, 16194.0)	(30.0, 20752.0)	(31.0, 26644.0)	(32.0, 35472.0)	(33.0, 50864.0)	(34.0, 76921.0)	(35.0, 130228.0)	(36.0, 245040.0)	(37.0, 425040.0)	(38.0, 69846.0)
ERR346596_2	(23.0, 3.0)	(24.0, 70.0)	(25.0, 202.0)	(26.0, 376.0)	(27.0, 756.0)	(28.0, 1914.0)	(29.0, 3221.0)	(30.0, 4475.0)	(31.0, 6203.0)	(32.0, 9290.0)	(33.0, 14550.0)	(34.0, 24460.0)	(35.0, 45113.0)	(36.0, 103719.0)	(37.0, 376102.0)	(38.0, 522120.0)
ERR346597_1	(23.0, 16.0)	(24.0, 205.0)	(25.0, 822.0)	(26.0, 2153.0)	(27.0, 5315.0)	(28.0, 12415.0)	(29.0, 21301.0)	(30.0, 27329.0)	(31.0, 35207.0)	(32.0, 46676.0)	(33.0, 65465.0)	(34.0, 98767.0)	(35.0, 160898.0)	(36.0, 275093.0)	(37.0, 365792.0)	(38.0, 42602.0)
ERR346597_2	(23.0, 4.0)	(24.0, 76.0)	(25.0, 214.0)	(26.0, 373.0)	(27.0, 705.0)	(28.0, 1952.0)	(29.0, 3141.0)	(30.0, 4131.0)	(31.0, 5924.0)	(32.0, 9044.0)	(33.0, 14536.0)	(34.0, 24765.0)	(35.0, 46939.0)	(36.0, 110817.0)	(37.0, 404485.0)	(38.0, 532950.0)
ERR346598_1	(23.0, 49.0)	(24.0, 448.0)	(25.0, 1795.0)	(26.0, 5274.0)	(27.0, 13200.0)	(28.0, 28944.0)	(29.0, 46988.0)	(30.0, 60185.0)	(31.0, 76207.0)	(32.0, 100660.0)	(33.0, 141592.0)	(34.0, 210818.0)	(35.0, 341218.0)	(36.0, 576235.0)	(37.0, 729892.0)	(38.0, 62622.0)
ERR346598_2	(23.0, 8.0)	(24.0, 163.0)	(25.0, 472.0)	(26.0, 1199.0)	(27.0, 1369.0)	(28.0, 3768.0)	(29.0, 6142.0)	(30.0, 7965.0)	(31.0, 11341.0)	(32.0, 16859.0)	(33.0, 27680.0)	(34.0, 47375.0)	(35.0, 90719.0)	(36.0, 214657.0)	(37.0, 796802.0)	(38.0, 1169608.0)
ERR346599_1	(23.0, 7.0)	(24.0, 122.0)	(25.0, 335.0)	(26.0, 667.0)	(27.0, 810.0)	(28.0, 2213.0)	(29.0, 3498.0)	(30.0, 4765.0)	(31.0, 6531.0)	(32.0, 9871.0)	(33.0, 15369.0)	(34.0, 25910.0)	(35.0, 48298.0)	(36.0, 111926.0)	(37.0, 411748.0)	(38.0, 601536.0)
ERR346599_2	(23.0, 43.0)	(24.0, 266.0)	(25.0, 849.0)	(26.0, 2120.0)	(27.0, 5177.0)	(28.0, 12229.0)	(29.0, 20372.0)	(30.0, 26008.0)	(31.0, 33405.0)	(32.0, 44132.0)	(33.0, 62164.0)	(34.0, 93728.0)	(35.0, 154842.0)	(36.0, 281644.0)	(37.0, 443509.0)	(38.0, 63118.0)
ERR346600_1	(23.0, 10.0)	(24.0, 128.0)	(25.0, 453.0)	(26.0, 1301.0)	(27.0, 3127.0)	(28.0, 7851.0)	(29.0, 14009.0)	(30.0, 18429.0)	(31.0, 23957.0)	(32.0, 31835.0)	(33.0, 45269.0)	(34.0, 69390.0)	(35.0, 118690.0)	(36.0, 223473.0)	(37.0, 371115.0)	(38.0, 61890.0)
ERR346600_2	(23.0, 5.0)	(24.0, 64.0)	(25.0, 168.0)	(26.0, 366.0)	(27.0, 661.0)	(28.0, 1775.0)	(29.0, 2764.0)	(30.0, 3766.0)	(31.0, 5262.0)	(32.0, 7877.0)	(33.0, 12358.0)	(34.0, 20527.0)	(35.0, 39436.0)	(36.0, 91410.0)	(37.0, 337301.0)	(38.0, 467187.0)
ERR346601_1	(23.0, 19.0)	(24.0, 145.0)	(25.0, 717.0)	(26.0, 2004.0)	(27.0, 5260.0)	(28.0, 13210.0)	(29.0, 23072.0)	(30.0, 29289.0)	(31.0, 37631.0)	(32.0, 49689.0)	(33.0, 70374.0)	(34.0, 105966.0)	(35.0, 171832.0)	(36.0, 295198.0)	(37.0, 404070.0)	(38.0, 54910.0)
ERR346601_2	(23.0, 6.0)	(24.0, 75.0)	(25.0, 224.0)	(26.0, 590.0)	(27.0, 691.0)	(28.0, 1889.0)	(29.0, 3054.0)	(30.0, 4020.0)	(31.0, 5695.0)	(32.0, 8375.0)	(33.0, 13544.0)	(34.0, 23792.0)	(35.0, 45101.0)	(36.0, 107389.0)	(37.0, 414263.0)	(38.0, 634678.0)
