Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR346596_1	(1.0, 19.764983564266334)	(2.0, 10.712648617128032)	(3.0, 10.896703540583621)	(4.0, 9.94303298836324)	(5.0, 8.153816932852877)	(6.0, 6.430911786225637)	(7.0, 4.9650536454263055)	(8.0, 3.8229429377856317)	(9.0, 2.8152660606317195)	('>10', 18.21915219645635)	('>50', 2.4032339463931476)	('>100', 1.808722246949386)	('>500', 0.06353153693768218)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR346596_2	(1.0, 33.345393702818484)	(2.0, 13.7384471035327)	(3.0, 8.666396093108862)	(4.0, 6.351409416429625)	(5.0, 4.892753665876446)	(6.0, 3.8420064210503924)	(7.0, 3.1854772549467216)	(8.0, 2.6643217863709228)	(9.0, 2.1842877428688916)	('>10', 17.007821785684868)	('>50', 1.5127114704751288)	('>100', 1.994488547779975)	('>500', 0.07794697785899446)	('>1k', 0.5365380311979977)	('>5k', 0.0)	('>10k+', 0.0)
ERR346597_1	(1.0, 18.97880706592888)	(2.0, 10.246829985996438)	(3.0, 11.115140828533876)	(4.0, 10.564636194997155)	(5.0, 9.191876237770433)	(6.0, 7.644156109326036)	(7.0, 5.999341813808321)	(8.0, 4.810537420728296)	(9.0, 3.342180077576831)	('>10', 14.850848982468792)	('>50', 1.389441936150195)	('>100', 1.6767673035839998)	('>500', 0.1894360431307348)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR346597_2	(1.0, 32.45030711367471)	(2.0, 13.619349533400694)	(3.0, 8.597972676784398)	(4.0, 6.198161948515171)	(5.0, 4.803167861323468)	(6.0, 3.8914514927446207)	(7.0, 3.1585718371830955)	(8.0, 2.704287609304611)	(9.0, 2.3875735305982317)	('>10', 17.884250489617557)	('>50', 1.6223302494575307)	('>100', 1.9746173962115872)	('>500', 0.2512082111994281)	('>1k', 0.45675004998493957)	('>5k', 0.0)	('>10k+', 0.0)
ERR346598_1	(1.0, 14.148333316250165)	(2.0, 5.321087022009592)	(3.0, 4.614747158437822)	(4.0, 3.9525129291175776)	(5.0, 3.291633205046606)	(6.0, 2.7866641117428554)	(7.0, 2.319250303729416)	(8.0, 1.9765675107241698)	(9.0, 1.707444696359745)	('>10', 19.81178409970724)	('>50', 6.2155086047878925)	('>100', 12.25439435397147)	('>500', 5.083569098879529)	('>1k', 7.777361294280105)	('>5k', 3.6136429154753307)	('>10k+', 5.125499379480491)
ERR346598_2	(1.0, 27.373270433545144)	(2.0, 9.864607158762652)	(3.0, 6.668055390316284)	(4.0, 5.220087940560713)	(5.0, 4.367542229712377)	(6.0, 3.5799986128770898)	(7.0, 3.147795733501061)	(8.0, 2.7469944722972683)	(9.0, 2.4440134809178367)	('>10', 25.511849359465245)	('>50', 4.580696691396407)	('>100', 3.07958585113278)	('>500', 0.7814875831367881)	('>1k', 0.6340150623783464)	('>5k', 0.0)	('>10k+', 0.0)
ERR346599_1	(1.0, 34.6062191771314)	(2.0, 12.250943529190183)	(3.0, 8.04663336527917)	(4.0, 5.958645157110445)	(5.0, 4.725154631798115)	(6.0, 3.7552901146356623)	(7.0, 3.1181197292560467)	(8.0, 2.51571020421067)	(9.0, 2.2034133272776937)	('>10', 18.101564884271145)	('>50', 2.018549532419195)	('>100', 1.9719218438011805)	('>500', 0.360058619583591)	('>1k', 0.3677758840354831)	('>5k', 0.0)	('>10k+', 0.0)
ERR346599_2	(1.0, 18.991316842190287)	(2.0, 9.311492154995031)	(3.0, 8.491403636183707)	(4.0, 6.922803178005838)	(5.0, 5.234807448737558)	(6.0, 4.125577818310468)	(7.0, 3.3081358146579407)	(8.0, 2.495807276080073)	(9.0, 1.9728147827715359)	('>10', 19.22637264369041)	('>50', 5.603732244885049)	('>100', 8.329218364464781)	('>500', 1.2334229364008584)	('>1k', 4.753094858626511)	('>5k', 0.0)	('>10k+', 0.0)
ERR346600_1	(1.0, 12.679375180916624)	(2.0, 2.115527502162723)	(3.0, 1.8875523092583815)	(4.0, 2.2041502545593454)	(5.0, 2.4403627479332015)	(6.0, 2.6836188512148063)	(7.0, 2.985602228365684)	(8.0, 3.202398406161283)	(9.0, 3.557771571503379)	('>10', 60.15915452261843)	('>50', 3.61405473861428)	('>100', 2.346188462182405)	('>500', 0.12424322450944422)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR346600_2	(1.0, 34.312094311895976)	(2.0, 14.074293722986681)	(3.0, 8.820389922581349)	(4.0, 6.262080845089379)	(5.0, 4.700558399667496)	(6.0, 3.718271399162057)	(7.0, 3.2179251985473827)	(8.0, 2.596570281273907)	(9.0, 2.235644873311309)	('>10', 16.16956483021351)	('>50', 1.3958265193399049)	('>100', 1.872559561118928)	('>500', 0.2715710538043661)	('>1k', 0.35264908100774905)	('>5k', 0.0)	('>10k+', 0.0)
ERR346601_1	(1.0, 18.26227067423684)	(2.0, 8.134670209759545)	(3.0, 9.103052041654857)	(4.0, 8.80717959099589)	(5.0, 8.08469286603175)	(6.0, 7.01370289864882)	(7.0, 6.092571413238694)	(8.0, 5.034260113233844)	(9.0, 4.2127863507947065)	('>10', 23.861584468015298)	('>50', 0.23897179396374013)	('>100', 0.5845014514497355)	('>500', 0.48738843394994896)	('>1k', 0.08236769402634954)	('>5k', 0.0)	('>10k+', 0.0)
ERR346601_2	(1.0, 33.33279833593124)	(2.0, 12.251222327049668)	(3.0, 8.076272711386311)	(4.0, 5.980139242349789)	(5.0, 4.66304688153953)	(6.0, 3.75724067366462)	(7.0, 3.1927794879134193)	(8.0, 2.6223804307533705)	(9.0, 2.178275114398768)	('>10', 18.919474683000175)	('>50', 2.097922188647244)	('>100', 2.151428635161877)	('>500', 0.38510096940369926)	('>1k', 0.39191831880030653)	('>5k', 0.0)	('>10k+', 0.0)
