Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR346596_1	ERR346596_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1112574.0	279.2 Mbp	0.0	251.0	50.0	36.63200300327362	251.0	251	pass	fail	warn	pass	fail	warn	pass	pass	fail	pass	pass
ERR346596_2	ERR346596_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1112574.0	279.2 Mbp	0.0	251.0	51.0	48.44566955339022	251.0	251	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass
ERR346597_1	ERR346597_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1160056.0	291.1 Mbp	0.0	251.0	50.0	36.45609626467535	251.0	251	pass	fail	warn	pass	fail	warn	pass	pass	fail	pass	pass
ERR346597_2	ERR346597_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1160056.0	291.1 Mbp	0.0	251.0	51.0	47.49086695034884	251.0	251	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass
ERR346598_1	ERR346598_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2396127.0	601.4 Mbp	0.0	251.0	51.0	22.45845822294066	251.0	251	pass	fail	warn	pass	fail	warn	pass	pass	fail	fail	pass
ERR346598_2	ERR346598_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2396127.0	601.4 Mbp	0.0	251.0	51.0	39.918991985084915	251.0	251	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass
ERR346599_1	ERR346599_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1243606.0	312.1 Mbp	0.0	251.0	51.0	48.61521315805514	251.0	251	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass
ERR346599_2	ERR346599_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1243606.0	312.1 Mbp	0.0	251.0	50.0	32.16985393083154	251.0	251	pass	fail	warn	pass	fail	pass	pass	pass	fail	warn	pass
ERR346600_1	ERR346600_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	990927.0	248.7 Mbp	0.0	251.0	49.0	20.668465116864194	251.0	251	pass	fail	warn	pass	fail	warn	pass	pass	fail	pass	pass
ERR346600_2	ERR346600_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	990927.0	248.7 Mbp	0.0	251.0	51.0	49.50983207438161	251.0	251	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass
ERR346601_1	ERR346601_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1263386.0	317.1 Mbp	0.0	251.0	49.0	34.01552948526975	251.0	251	pass	fail	warn	pass	fail	pass	pass	pass	fail	pass	pass
ERR346601_2	ERR346601_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1263386.0	317.1 Mbp	0.0	251.0	51.0	47.41377558070866	251.0	251	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass
