Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
ERR346596_1	63.36799699672638	50.0	251.0	251	27.27272727272727	1.112574
ERR346596_2	51.55433044660978	51.0	251.0	251	18.181818181818183	1.112574
ERR346597_1	63.54390373532465	50.0	251.0	251	27.27272727272727	1.160056
ERR346597_2	52.50913304965116	51.0	251.0	251	18.181818181818183	1.160056
ERR346598_1	77.54154177705934	51.0	251.0	251	36.36363636363637	2.396127
ERR346598_2	60.081008014915085	51.0	251.0	251	18.181818181818183	2.396127
ERR346599_1	51.38478684194486	51.0	251.0	251	18.181818181818183	1.243606
ERR346599_2	67.83014606916845	50.0	251.0	251	27.27272727272727	1.243606
ERR346600_1	79.3315348831358	49.0	251.0	251	27.27272727272727	0.990927
ERR346600_2	50.49016792561839	51.0	251.0	251	18.181818181818183	0.990927
ERR346601_1	65.98447051473025	49.0	251.0	251	27.27272727272727	1.263386
ERR346601_2	52.58622441929134	51.0	251.0	251	18.181818181818183	1.263386
