Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR22279249_assemble-pass	22.590083319017353	57.547334773112155
SRR22279250_assemble-pass	3.489705731671443	44.047784311197915
SRR22279251_assemble-pass	5.571893745174222	59.03474405120292
SRR22279252_assemble-pass	23.206318368186228	61.54364307707574
SRR22279253_assemble-pass	4.326634643140771	34.42278503576376
SRR22279254_assemble-pass	5.949904363493467	49.10025808833441
SRR22279255_assemble-pass	22.492743650075322	57.84382310111236
SRR22279256_assemble-pass	4.830125790731819	36.205988954442596
SRR22279257_assemble-pass	2.5059803300855723	35.653023397056685
SRR22279258_assemble-pass	5.193498395164193	53.81315880614457
SRR22279259_assemble-pass	4.38868514835939	52.49659867922686
SRR22279260_assemble-pass	20.251340985881576	54.96829710524923
