Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR22279249_assemble-pass	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.25)	(23.0, 0.5833333333333333)	(24.0, 0.45)	(25.0, 0.5833333333333333)	(26.0, 0.3333333333333333)	(27.0, 1.4)	(28.0, 1.3499999999999999)	(29.0, 1.45)	(30.0, 1.1666666666666667)	(31.0, 2.183333333333333)	(32.0, 3.233333333333333)	(33.0, 3.0000000000000004)	(34.0, 6.750000000000001)	(35.0, 7.866666666666668)	(36.0, 6.966666666666667)	(37.0, 9.116666666666665)	(38.0, 4.866666666666667)	(39.0, 6.7666666666666675)	(40.0, 4.5)	(41.0, 6.183333333333334)	(42.0, 8.166666666666666)	(43.0, 9.533333333333335)	(44.0, 7.283333333333332)	(45.0, 9.033333333333333)	(46.0, 7.633333333333334)	(47.0, 7.166666666666668)	(48.0, 7.616666666666669)	(49.0, 10.716666666666663)	(50.0, 18.899999999999977)	(51.0, 33.3666666666666)	(52.0, 64.68333333333362)	(53.0, 138.11666666666713)	(54.0, 809.1166666666962)	(55.0, 5505.883333331293)	(56.0, 24395.416666716454)	(57.0, 64641.43333295767)	(58.0, 92325.66666608369)	(59.0, 72743.48333287818)	(60.0, 37101.066666688705)	(61.0, 11916.16666667373)	(62.0, 3125.6333333327475)	(63.0, 709.4166666666861)	(64.0, 257.2499999999963)	(65.0, 391.88333333332787)	(66.0, 453.34999999999707)	(67.0, 90.21666666666671)	(68.0, 22.583333333333318)	(69.0, 12.63333333333333)	(70.0, 25.183333333333312)	(71.0, 118.71666666666682)	(72.0, 91.13333333333335)	(73.0, 131.0166666666662)	(74.0, 10.716666666666665)	(75.0, 2.3833333333333333)	(76.0, 2.466666666666667)	(77.0, 2.033333333333333)	(78.0, 0.45)	(79.0, 0.2)	(80.0, 0.25)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.2)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR22279250_assemble-pass	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.5333333333333333)	(27.0, 0.3333333333333333)	(28.0, 0.6166666666666667)	(29.0, 0.95)	(30.0, 0.6666666666666666)	(31.0, 2.033333333333333)	(32.0, 2.5666666666666664)	(33.0, 1.5999999999999999)	(34.0, 1.7833333333333332)	(35.0, 2.6833333333333336)	(36.0, 4.2)	(37.0, 5.050000000000001)	(38.0, 5.466666666666667)	(39.0, 4.3)	(40.0, 2.8166666666666664)	(41.0, 3.8500000000000005)	(42.0, 3.35)	(43.0, 7.516666666666667)	(44.0, 7.916666666666668)	(45.0, 7.700000000000001)	(46.0, 8.466666666666669)	(47.0, 7.833333333333336)	(48.0, 8.400000000000002)	(49.0, 7.0000000000000036)	(50.0, 8.716666666666669)	(51.0, 15.483333333333313)	(52.0, 17.33333333333331)	(53.0, 27.566666666666624)	(54.0, 58.066666666666855)	(55.0, 206.58333333333178)	(56.0, 1160.8666666667677)	(57.0, 7358.683333329056)	(58.0, 30410.633333407368)	(59.0, 68143.68333290746)	(60.0, 92892.0833325491)	(61.0, 65656.23333294409)	(62.0, 25961.733333390992)	(63.0, 8584.999999996327)	(64.0, 1712.0333333335616)	(65.0, 313.18333333332583)	(66.0, 94.71666666666705)	(67.0, 31.49999999999995)	(68.0, 8.833333333333334)	(69.0, 5.15)	(70.0, 3.133333333333334)	(71.0, 2.5500000000000003)	(72.0, 8.149999999999999)	(73.0, 42.31666666666669)	(74.0, 114.21666666666673)	(75.0, 564.966666666659)	(76.0, 521.1999999999831)	(77.0, 85.933333333334)	(78.0, 8.26666666666667)	(79.0, 1.2)	(80.0, 0.6000000000000001)	(81.0, 0.2)	(82.0, 0.2)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR22279251_assemble-pass	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.2)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.2)	(28.0, 0.2)	(29.0, 1.0833333333333333)	(30.0, 0.6666666666666666)	(31.0, 1.15)	(32.0, 3.633333333333334)	(33.0, 6.200000000000002)	(34.0, 7.483333333333337)	(35.0, 11.783333333333333)	(36.0, 9.066666666666668)	(37.0, 16.899999999999995)	(38.0, 34.9)	(39.0, 33.79999999999998)	(40.0, 113.01666666666699)	(41.0, 172.53333333333333)	(42.0, 166.2333333333332)	(43.0, 182.84999999999982)	(44.0, 297.14999999999867)	(45.0, 261.41666666666447)	(46.0, 135.5000000000001)	(47.0, 420.5666666666615)	(48.0, 1356.0333333333938)	(49.0, 3190.5166666662417)	(50.0, 11995.766666674186)	(51.0, 46716.88333321831)	(52.0, 73577.56666616537)	(53.0, 102513.74999907622)	(54.0, 56400.76666641111)	(55.0, 18213.38333336255)	(56.0, 5627.716666664276)	(57.0, 1507.8333333334833)	(58.0, 335.79999999999325)	(59.0, 130.91666666666723)	(60.0, 110.43333333333399)	(61.0, 96.75000000000055)	(62.0, 62.10000000000018)	(63.0, 44.516666666666715)	(64.0, 39.01666666666666)	(65.0, 51.80000000000015)	(66.0, 79.41666666666691)	(67.0, 90.43333333333361)	(68.0, 51.23333333333339)	(69.0, 52.53333333333337)	(70.0, 34.54999999999998)	(71.0, 17.649999999999988)	(72.0, 19.749999999999986)	(73.0, 14.06666666666666)	(74.0, 7.9333333333333345)	(75.0, 7.466666666666667)	(76.0, 6.316666666666667)	(77.0, 7.483333333333333)	(78.0, 2.7833333333333337)	(79.0, 5.633333333333334)	(80.0, 7.383333333333332)	(81.0, 5.2)	(82.0, 8.649999999999999)	(83.0, 3.4000000000000004)	(84.0, 1.0833333333333333)	(85.0, 0.8333333333333333)	(86.0, 0.5)	(87.0, 0.25)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR22279252_assemble-pass	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.3333333333333333)	(27.0, 0.3333333333333333)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.7)	(32.0, 0.7)	(33.0, 0.5)	(34.0, 0.45)	(35.0, 0.2)	(36.0, 0.6166666666666667)	(37.0, 0.6166666666666667)	(38.0, 1.1166666666666667)	(39.0, 1.3833333333333333)	(40.0, 2.0666666666666664)	(41.0, 1.1666666666666665)	(42.0, 1.2)	(43.0, 3.0166666666666666)	(44.0, 3.566666666666667)	(45.0, 4.1)	(46.0, 2.15)	(47.0, 3.166666666666667)	(48.0, 8.7)	(49.0, 13.483333333333327)	(50.0, 17.816666666666652)	(51.0, 40.83333333333338)	(52.0, 85.06666666666717)	(53.0, 243.36666666666258)	(54.0, 1520.4666666668506)	(55.0, 7142.916666663424)	(56.0, 25598.10000005517)	(57.0, 62790.29999965126)	(58.0, 81242.08333281777)	(59.0, 57387.69999972886)	(60.0, 24481.950000051176)	(61.0, 10160.46666666824)	(62.0, 2619.949999999854)	(63.0, 530.0333333333214)	(64.0, 215.01666666666512)	(65.0, 215.0999999999991)	(66.0, 504.1333333333293)	(67.0, 285.65000000000026)	(68.0, 27.683333333333305)	(69.0, 6.583333333333335)	(70.0, 5.716666666666669)	(71.0, 19.53333333333333)	(72.0, 24.333333333333318)	(73.0, 94.86666666666642)	(74.0, 87.9166666666665)	(75.0, 4.050000000000001)	(76.0, 0.3333333333333333)	(77.0, 0.5833333333333333)	(78.0, 0.25)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.4)	(83.0, 0.2)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.2)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR22279253_assemble-pass	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.3333333333333333)	(21.0, 0.3333333333333333)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.5333333333333333)	(28.0, 0.9166666666666665)	(29.0, 0.7)	(30.0, 1.45)	(31.0, 1.8499999999999999)	(32.0, 0.3333333333333333)	(33.0, 1.3166666666666667)	(34.0, 0.7)	(35.0, 1.2666666666666666)	(36.0, 2.2)	(37.0, 2.7500000000000004)	(38.0, 1.5)	(39.0, 3.0)	(40.0, 3.4833333333333334)	(41.0, 3.016666666666667)	(42.0, 5.083333333333334)	(43.0, 6.483333333333335)	(44.0, 4.9)	(45.0, 5.933333333333334)	(46.0, 2.533333333333333)	(47.0, 2.4)	(48.0, 4.266666666666667)	(49.0, 6.816666666666668)	(50.0, 9.01666666666667)	(51.0, 23.19999999999996)	(52.0, 37.29999999999999)	(53.0, 59.53333333333356)	(54.0, 75.7333333333336)	(55.0, 219.7499999999979)	(56.0, 1638.016666666871)	(57.0, 9719.633333333619)	(58.0, 36896.100000023675)	(59.0, 83220.93333268844)	(60.0, 107265.63333233993)	(61.0, 81355.98333271618)	(62.0, 38925.64999999465)	(63.0, 12963.116666678377)	(64.0, 2818.9166666663305)	(65.0, 566.5666666666601)	(66.0, 144.16666666666694)	(67.0, 45.08333333333337)	(68.0, 14.133333333333336)	(69.0, 4.6000000000000005)	(70.0, 2.0666666666666664)	(71.0, 2.7333333333333334)	(72.0, 5.233333333333334)	(73.0, 15.3)	(74.0, 40.950000000000024)	(75.0, 283.3499999999941)	(76.0, 482.5666666666489)	(77.0, 98.6166666666675)	(78.0, 14.64999999999998)	(79.0, 1.5333333333333332)	(80.0, 0.5833333333333333)	(81.0, 0.5)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR22279254_assemble-pass	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.25)	(25.0, 0.25)	(26.0, 0.25)	(27.0, 0.6666666666666666)	(28.0, 0.0)	(29.0, 0.2)	(30.0, 1.8166666666666667)	(31.0, 3.0833333333333335)	(32.0, 5.366666666666668)	(33.0, 1.4833333333333334)	(34.0, 5.500000000000001)	(35.0, 5.1833333333333345)	(36.0, 5.650000000000001)	(37.0, 9.466666666666665)	(38.0, 18.333333333333314)	(39.0, 49.90000000000011)	(40.0, 116.866666666667)	(41.0, 254.81666666666368)	(42.0, 197.9166666666661)	(43.0, 256.36666666666633)	(44.0, 246.78333333333293)	(45.0, 210.58333333333246)	(46.0, 342.99999999999665)	(47.0, 750.4166666666807)	(48.0, 2577.116666666559)	(49.0, 6199.299999997201)	(50.0, 17510.983333360087)	(51.0, 73729.38333282922)	(52.0, 132965.2999987742)	(53.0, 122910.03333211628)	(54.0, 61175.19999967672)	(55.0, 19888.266666701573)	(56.0, 4005.499999998882)	(57.0, 841.4666666666997)	(58.0, 239.93333333333118)	(59.0, 107.30000000000042)	(60.0, 60.91666666666689)	(61.0, 46.31666666666671)	(62.0, 31.949999999999964)	(63.0, 20.08333333333332)	(64.0, 25.966666666666647)	(65.0, 44.50000000000004)	(66.0, 65.76666666666681)	(67.0, 70.51666666666684)	(68.0, 26.999999999999968)	(69.0, 16.883333333333322)	(70.0, 14.516666666666653)	(71.0, 16.84999999999999)	(72.0, 25.199999999999967)	(73.0, 14.899999999999988)	(74.0, 5.250000000000001)	(75.0, 2.0999999999999996)	(76.0, 2.5999999999999996)	(77.0, 3.6999999999999997)	(78.0, 1.4)	(79.0, 1.65)	(80.0, 3.3000000000000003)	(81.0, 1.0833333333333333)	(82.0, 1.7833333333333332)	(83.0, 0.5833333333333333)	(84.0, 0.3333333333333333)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR22279255_assemble-pass	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.16666666666666666)	(26.0, 0.0)	(27.0, 0.3333333333333333)	(28.0, 0.3333333333333333)	(29.0, 0.25)	(30.0, 0.5833333333333333)	(31.0, 1.1166666666666667)	(32.0, 0.2)	(33.0, 1.9166666666666665)	(34.0, 2.083333333333333)	(35.0, 0.9333333333333332)	(36.0, 1.1833333333333333)	(37.0, 1.5333333333333334)	(38.0, 1.75)	(39.0, 2.7666666666666666)	(40.0, 3.0166666666666666)	(41.0, 4.066666666666667)	(42.0, 3.4500000000000006)	(43.0, 3.8000000000000003)	(44.0, 4.483333333333333)	(45.0, 5.45)	(46.0, 5.533333333333333)	(47.0, 6.716666666666667)	(48.0, 6.033333333333333)	(49.0, 5.2)	(50.0, 8.283333333333333)	(51.0, 21.299999999999976)	(52.0, 59.33333333333354)	(53.0, 189.3333333333317)	(54.0, 1517.7666666668524)	(55.0, 8818.483333331536)	(56.0, 31332.33333341274)	(57.0, 70582.36666624558)	(58.0, 90682.59999941662)	(59.0, 68065.84999958797)	(60.0, 31712.150000080037)	(61.0, 9972.80000000107)	(62.0, 2471.2333333332936)	(63.0, 608.8333333333333)	(64.0, 309.29999999999643)	(65.0, 256.54999999999677)	(66.0, 763.683333333344)	(67.0, 509.26666666666335)	(68.0, 42.08333333333337)	(69.0, 12.266666666666662)	(70.0, 8.866666666666667)	(71.0, 2.3666666666666667)	(72.0, 1.7166666666666666)	(73.0, 15.083333333333341)	(74.0, 152.85)	(75.0, 5.916666666666665)	(76.0, 0.5)	(77.0, 0.0)	(78.0, 0.3333333333333333)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR22279256_assemble-pass	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.2)	(31.0, 0.3333333333333333)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.9)	(38.0, 0.25)	(39.0, 0.2)	(40.0, 1.3333333333333333)	(41.0, 0.41666666666666663)	(42.0, 2.0166666666666666)	(43.0, 2.816666666666667)	(44.0, 2.216666666666667)	(45.0, 2.4333333333333336)	(46.0, 2.9833333333333334)	(47.0, 3.2)	(48.0, 4.066666666666667)	(49.0, 4.633333333333335)	(50.0, 6.350000000000002)	(51.0, 7.783333333333337)	(52.0, 15.28333333333332)	(53.0, 31.283333333333285)	(54.0, 63.11666666666688)	(55.0, 229.28333333333111)	(56.0, 1180.7000000001074)	(57.0, 6863.98333332951)	(58.0, 27984.816666731786)	(59.0, 68772.71666623185)	(60.0, 91218.56666590697)	(61.0, 69413.54999955535)	(62.0, 29798.08333340522)	(63.0, 9389.433333332461)	(64.0, 1669.1333333335451)	(65.0, 344.1333333333255)	(66.0, 94.31666666666705)	(67.0, 35.2833333333333)	(68.0, 12.383333333333333)	(69.0, 7.150000000000002)	(70.0, 4.700000000000001)	(71.0, 8.600000000000003)	(72.0, 30.133333333333272)	(73.0, 67.51666666666678)	(74.0, 123.40000000000012)	(75.0, 748.5500000000284)	(76.0, 591.2333333333306)	(77.0, 37.23333333333333)	(78.0, 6.950000000000003)	(79.0, 0.9333333333333333)	(80.0, 0.7333333333333334)	(81.0, 0.2)	(82.0, 0.0)	(83.0, 0.2)	(84.0, 0.0)	(85.0, 0.3333333333333333)	(86.0, 0.3333333333333333)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR22279257_assemble-pass	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.2)	(28.0, 0.25)	(29.0, 0.0)	(30.0, 1.0333333333333332)	(31.0, 0.75)	(32.0, 0.7)	(33.0, 0.0)	(34.0, 0.6666666666666666)	(35.0, 1.3333333333333333)	(36.0, 0.8333333333333333)	(37.0, 1.0)	(38.0, 0.95)	(39.0, 0.7)	(40.0, 1.3666666666666667)	(41.0, 0.75)	(42.0, 2.8666666666666667)	(43.0, 3.716666666666667)	(44.0, 3.9333333333333336)	(45.0, 4.25)	(46.0, 3.6166666666666667)	(47.0, 3.2333333333333334)	(48.0, 6.316666666666667)	(49.0, 4.0)	(50.0, 1.7833333333333332)	(51.0, 6.100000000000002)	(52.0, 8.916666666666668)	(53.0, 18.883333333333326)	(54.0, 45.1666666666667)	(55.0, 193.0166666666657)	(56.0, 1161.7500000001016)	(57.0, 7445.383333329022)	(58.0, 33164.23333340995)	(59.0, 86921.349999304)	(60.0, 123773.7999987705)	(61.0, 102895.03333240752)	(62.0, 55846.29999975324)	(63.0, 19332.600000033966)	(64.0, 4324.049999998415)	(65.0, 833.616666666709)	(66.0, 200.4333333333318)	(67.0, 62.716666666666875)	(68.0, 21.31666666666665)	(69.0, 6.316666666666666)	(70.0, 2.9000000000000004)	(71.0, 22.56666666666662)	(72.0, 43.48333333333338)	(73.0, 65.6166666666668)	(74.0, 94.75000000000011)	(75.0, 616.7333333333356)	(76.0, 962.2000000000767)	(77.0, 156.9666666666663)	(78.0, 19.04999999999997)	(79.0, 2.9000000000000004)	(80.0, 0.8500000000000001)	(81.0, 0.45)	(82.0, 0.25)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR22279258_assemble-pass	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.25)	(24.0, 0.5)	(25.0, 0.25)	(26.0, 0.8999999999999999)	(27.0, 0.65)	(28.0, 0.5333333333333333)	(29.0, 0.8666666666666667)	(30.0, 0.16666666666666666)	(31.0, 0.7499999999999999)	(32.0, 2.033333333333333)	(33.0, 1.4833333333333332)	(34.0, 3.333333333333334)	(35.0, 5.05)	(36.0, 5.4333333333333345)	(37.0, 3.2666666666666666)	(38.0, 4.183333333333334)	(39.0, 18.483333333333327)	(40.0, 79.60000000000035)	(41.0, 206.46666666666562)	(42.0, 213.19999999999928)	(43.0, 440.2666666666654)	(44.0, 615.4333333333334)	(45.0, 736.3833333333561)	(46.0, 813.2000000000289)	(47.0, 1039.116666666703)	(48.0, 5457.666666664463)	(49.0, 19681.83333336712)	(50.0, 35381.10000004371)	(51.0, 81394.0499993874)	(52.0, 106430.36666569333)	(53.0, 100441.0999991101)	(54.0, 63473.66666631142)	(55.0, 22209.25000004268)	(56.0, 4576.799999998455)	(57.0, 1112.833333333393)	(58.0, 327.51666666666256)	(59.0, 117.9000000000004)	(60.0, 115.20000000000049)	(61.0, 103.75000000000041)	(62.0, 57.90000000000014)	(63.0, 53.36666666666673)	(64.0, 51.850000000000094)	(65.0, 96.0166666666671)	(66.0, 129.00000000000065)	(67.0, 117.41666666666737)	(68.0, 66.3833333333335)	(69.0, 64.30000000000011)	(70.0, 39.96666666666668)	(71.0, 31.44999999999997)	(72.0, 44.68333333333338)	(73.0, 37.88333333333334)	(74.0, 22.19999999999999)	(75.0, 11.483333333333333)	(76.0, 4.9)	(77.0, 5.216666666666667)	(78.0, 5.233333333333334)	(79.0, 11.899999999999997)	(80.0, 18.899999999999995)	(81.0, 6.25)	(82.0, 4.116666666666667)	(83.0, 10.366666666666667)	(84.0, 4.0)	(85.0, 0.25)	(86.0, 0.25)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
