Sample	0	1	2	3	4	5
SRR22279249_assemble-pass	(26.0, 4.0)	(27.0, 42.0)	(28.0, 631.0)	(29.0, 1223361.0)	(30.0, 79866.0)	
SRR22279250_assemble-pass	(25.0, 1.0)	(26.0, 2.0)	(27.0, 40.0)	(28.0, 2573.0)	(29.0, 1137840.0)	(30.0, 69732.0)
SRR22279251_assemble-pass	(25.0, 2.0)	(26.0, 17.0)	(27.0, 58.0)	(28.0, 1396.0)	(29.0, 1122344.0)	(30.0, 170016.0)
SRR22279252_assemble-pass	(25.0, 1.0)	(26.0, 8.0)	(27.0, 52.0)	(28.0, 505.0)	(29.0, 1027406.0)	(30.0, 100294.0)
SRR22279253_assemble-pass	(26.0, 3.0)	(27.0, 48.0)	(28.0, 1962.0)	(29.0, 1416133.0)	(30.0, 85332.0)	
SRR22279254_assemble-pass	(25.0, 1.0)	(26.0, 11.0)	(27.0, 45.0)	(28.0, 1932.0)	(29.0, 1513799.0)	(30.0, 250274.0)
SRR22279255_assemble-pass	(25.0, 1.0)	(26.0, 6.0)	(27.0, 59.0)	(28.0, 738.0)	(29.0, 1208037.0)	(30.0, 104836.0)
SRR22279256_assemble-pass	(25.0, 1.0)	(26.0, 1.0)	(27.0, 22.0)	(28.0, 531.0)	(29.0, 872530.0)	(30.0, 352204.0)
SRR22279257_assemble-pass	(26.0, 6.0)	(27.0, 61.0)	(28.0, 3218.0)	(29.0, 1662826.0)	(30.0, 79194.0)	
SRR22279258_assemble-pass	(25.0, 1.0)	(26.0, 3.0)	(27.0, 58.0)	(28.0, 2280.0)	(29.0, 1530697.0)	(30.0, 236924.0)
SRR22279259_assemble-pass	(26.0, 10.0)	(27.0, 26.0)	(28.0, 570.0)	(29.0, 767324.0)	(30.0, 429399.0)	
SRR22279260_assemble-pass	(25.0, 2.0)	(26.0, 6.0)	(27.0, 41.0)	(28.0, 416.0)	(29.0, 854110.0)	(30.0, 337272.0)
