Sample	Unique Reads	Duplicate Reads
SRR22279249_assemble-pass	21385.0	1282519.0
SRR22279250_assemble-pass	87067.0	1123121.0
SRR22279251_assemble-pass	38630.0	1255203.0
SRR22279252_assemble-pass	19644.0	1108622.0
SRR22279253_assemble-pass	113415.0	1390063.0
SRR22279254_assemble-pass	58765.0	1707297.0
SRR22279255_assemble-pass	22324.0	1291353.0
SRR22279256_assemble-pass	106347.0	1118942.0
SRR22279257_assemble-pass	133920.0	1611385.0
SRR22279258_assemble-pass	52988.0	1716975.0
SRR22279259_assemble-pass	39358.0	1157971.0
SRR22279260_assemble-pass	26514.0	1165333.0
