Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR22279249_assemble-pass	(1.0, 1.0170227255994306)	(2.0, 0.3279382531229293)	(3.0, 0.2510154121775836)	(4.0, 0.22455640906078977)	(5.0, 0.19058151520357328)	(6.0, 0.1748594988588117)	(7.0, 0.15353891084006185)	(8.0, 0.12884384126438758)	(9.0, 0.11457898741011607)	('>10', 2.8635543721010137)	('>50', 2.176233833165632)	('>100', 6.839383881021916)	('>500', 3.600878592289003)	('>1k', 10.055264804770903)	('>5k', 5.673653888629838)	('>10k+', 66.208095074484)
SRR22279250_assemble-pass	(1.0, 4.221492858960756)	(2.0, 2.0613326193946726)	(3.0, 1.3557397693581492)	(4.0, 1.027939460645784)	(5.0, 0.8097915365215983)	(6.0, 0.7536019197017323)	(7.0, 0.6559311445824947)	(8.0, 0.5989152098682189)	(9.0, 0.574125673035925)	('>10', 11.070180831408011)	('>50', 5.284137671171752)	('>100', 14.866037342958286)	('>500', 6.957266143772703)	('>1k', 19.231474779125225)	('>5k', 12.24107328778669)	('>10k+', 18.290959751707998)
SRR22279251_assemble-pass	(1.0, 2.0615489015970376)	(2.0, 0.5133583700523947)	(3.0, 0.31974760266587726)	(4.0, 0.24887292254873694)	(5.0, 0.19708880512399976)	(6.0, 0.18503160763406096)	(7.0, 0.15365197826922022)	(8.0, 0.14654132333925632)	(9.0, 0.15303366044922337)	('>10', 5.359115125367802)	('>50', 6.077909591114155)	('>100', 11.277112270285269)	('>500', 6.636327872298821)	('>1k', 19.30480981703203)	('>5k', 7.383410378310029)	('>10k+', 39.982439773912084)
SRR22279252_assemble-pass	(1.0, 1.1204804540773188)	(2.0, 0.4084143278269486)	(3.0, 0.28743221899800225)	(4.0, 0.22016084859421448)	(5.0, 0.14136737258766993)	(6.0, 0.14411495161601962)	(7.0, 0.11601874026160497)	(8.0, 0.10139452930425981)	(9.0, 0.11008042429710724)	('>10', 2.503221757989694)	('>50', 1.7354949985198524)	('>100', 4.883954670263927)	('>500', 2.816534398803119)	('>1k', 9.672009969280294)	('>5k', 7.058619155411932)	('>10k+', 68.68070118216804)
SRR22279253_assemble-pass	(1.0, 4.158018072039293)	(2.0, 1.9660728791246245)	(3.0, 1.414019276135803)	(4.0, 1.117049435766476)	(5.0, 0.9768471944231601)	(6.0, 0.8956820109299247)	(7.0, 0.8125472640702531)	(8.0, 0.7599185966365327)	(9.0, 0.7525349338015663)	('>10', 17.03756917348726)	('>50', 7.341755559416502)	('>100', 14.293839975704781)	('>500', 5.5344211519747475)	('>1k', 14.613998257008321)	('>5k', 8.272629232502254)	('>10k+', 20.053096986978503)
SRR22279254_assemble-pass	(1.0, 2.2740990973136843)	(2.0, 0.5087024124860849)	(3.0, 0.3112008525182015)	(4.0, 0.25548366931625277)	(5.0, 0.2177160258246879)	(6.0, 0.18719614600166926)	(7.0, 0.18113746855999394)	(8.0, 0.20021947134358817)	(9.0, 0.17377645858412671)	('>10', 8.126215274435438)	('>50', 4.638851863637856)	('>100', 14.378600524783389)	('>500', 7.333264630573559)	('>1k', 15.49702105588592)	('>5k', 9.792861179279097)	('>10k+', 35.92365386945645)
SRR22279255_assemble-pass	(1.0, 1.088395397042043)	(2.0, 0.342245468254373)	(3.0, 0.26307836705674226)	(4.0, 0.2122287289798025)	(5.0, 0.17584231131396835)	(6.0, 0.13976038249889433)	(7.0, 0.11616249656498515)	(8.0, 0.10535314236300095)	(9.0, 0.08084178987681143)	('>10', 2.8238296019493374)	('>50', 2.5167525959577586)	('>100', 7.760735705961206)	('>500', 2.518731773487699)	('>1k', 9.609896496627405)	('>5k', 5.219243390879188)	('>10k+', 67.02690235118678)
SRR22279256_assemble-pass	(1.0, 4.31229463633385)	(2.0, 2.6104198576770337)	(3.0, 2.1747337281160446)	(4.0, 1.7943050534355318)	(5.0, 1.4947298839219227)	(6.0, 1.2879095831185299)	(7.0, 1.1303883341063403)	(8.0, 1.0157974045314353)	(9.0, 0.9577589149844914)	('>10', 15.853919293269273)	('>50', 5.6960278062615295)	('>100', 13.155748716635951)	('>500', 5.840669959442533)	('>1k', 15.78192844990521)	('>5k', 6.157776415132165)	('>10k+', 20.73559196312816)
SRR22279257_assemble-pass	(1.0, 3.9507543049447107)	(2.0, 2.234938540545998)	(3.0, 1.7129980115536525)	(4.0, 1.3776693727974172)	(5.0, 1.1855810515832879)	(6.0, 1.0159504516021955)	(7.0, 0.9463108121328155)	(8.0, 0.8669428984598753)	(9.0, 0.8024526572356676)	('>10', 15.384593159551338)	('>50', 6.565180792943044)	('>100', 15.379415669680743)	('>500', 6.153869369033944)	('>1k', 13.46065189946942)	('>5k', 8.521811876420095)	('>10k+', 20.4408791320458)
SRR22279258_assemble-pass	(1.0, 2.063941449623523)	(2.0, 0.5289376105602208)	(3.0, 0.3362782159853059)	(4.0, 0.2605704187036678)	(5.0, 0.22203853978868485)	(6.0, 0.18949548662881652)	(7.0, 0.16333674771732515)	(8.0, 0.13875996277888294)	(9.0, 0.13017221263947326)	('>10', 4.362577070820124)	('>50', 6.806526464112526)	('>100', 13.530000344639973)	('>500', 6.468779290866531)	('>1k', 16.69193084827197)	('>5k', 9.601839134490382)	('>10k+', 38.504816202372595)
