Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
SRR22279249_assemble-pass	(250, 38.0)	(260, 50.0)	(270, 714.0)	(280, 180.0)	(290, 309.0)	(300, 1011.0)	(310, 1526.0)	(320, 1011.0)	(330, 746.0)	(340, 1011.0)	(350, 771.0)	(360, 1135.0)	(370, 743.0)	(380, 894.0)	(390, 983.0)	(400, 1418.0)	(410, 1769.0)	(420, 1819.0)	(430, 2022.0)	(440, 2616.0)	(450, 10251.0)	(460, 62034.0)	(470, 118107.0)	(480, 350079.0)	(490, 510224.0)	(500, 191439.0)	(510, 33149.0)	(520, 4979.0)	(530, 2176.0)	(540, 536.0)	(550, 120.0)	(560, 28.0)	(570, 10.0)	(580, 5.0)	(590, 1.0)
SRR22279250_assemble-pass	(250, 54.0)	(260, 109.0)	(270, 723.0)	(280, 550.0)	(290, 497.0)	(300, 1704.0)	(310, 669.0)	(320, 789.0)	(330, 871.0)	(340, 998.0)	(350, 1556.0)	(360, 1082.0)	(370, 1974.0)	(380, 1584.0)	(390, 2196.0)	(400, 2758.0)	(410, 9103.0)	(420, 138043.0)	(430, 198508.0)	(440, 272997.0)	(450, 478593.0)	(460, 79369.0)	(470, 6747.0)	(480, 5632.0)	(490, 2562.0)	(500, 329.0)	(510, 142.0)	(520, 25.0)	(530, 9.0)	(540, 6.0)	(550, 5.0)	(560, 1.0)	(570, 2.0)	(580, 1.0)	
SRR22279251_assemble-pass	(250, 129.0)	(260, 72.0)	(270, 1945.0)	(280, 560.0)	(290, 411.0)	(300, 2073.0)	(310, 1022.0)	(320, 1306.0)	(330, 1671.0)	(340, 1849.0)	(350, 3302.0)	(360, 2609.0)	(370, 4992.0)	(380, 3568.0)	(390, 10436.0)	(400, 14715.0)	(410, 26481.0)	(420, 233159.0)	(430, 581833.0)	(440, 326062.0)	(450, 41010.0)	(460, 20687.0)	(470, 8074.0)	(480, 2614.0)	(490, 1771.0)	(500, 711.0)	(510, 636.0)	(520, 48.0)	(530, 47.0)	(540, 25.0)	(550, 15.0)				
SRR22279252_assemble-pass	(250, 55.0)	(260, 45.0)	(270, 1322.0)	(280, 275.0)	(290, 614.0)	(300, 1434.0)	(310, 1820.0)	(320, 1140.0)	(330, 749.0)	(340, 826.0)	(350, 845.0)	(360, 729.0)	(370, 815.0)	(380, 1023.0)	(390, 999.0)	(400, 1534.0)	(410, 1889.0)	(420, 1997.0)	(430, 2176.0)	(440, 2797.0)	(450, 6469.0)	(460, 41503.0)	(470, 75594.0)	(480, 256682.0)	(490, 547974.0)	(500, 153368.0)	(510, 15685.0)	(520, 5291.0)	(530, 2082.0)	(540, 406.0)	(550, 105.0)	(560, 23.0)			
SRR22279253_assemble-pass	(250, 135.0)	(260, 163.0)	(270, 665.0)	(280, 566.0)	(290, 303.0)	(300, 1776.0)	(310, 653.0)	(320, 708.0)	(330, 685.0)	(340, 896.0)	(350, 1011.0)	(360, 1210.0)	(370, 1360.0)	(380, 1421.0)	(390, 2297.0)	(400, 3023.0)	(410, 6935.0)	(420, 68125.0)	(430, 153162.0)	(440, 378260.0)	(450, 771631.0)	(460, 81927.0)	(470, 11537.0)	(480, 9691.0)	(490, 4518.0)	(500, 534.0)	(510, 158.0)	(520, 83.0)	(530, 18.0)	(540, 9.0)	(550, 3.0)	(560, 6.0)	(570, 7.0)	(580, 2.0)	
SRR22279254_assemble-pass	(250, 268.0)	(260, 239.0)	(270, 2292.0)	(280, 564.0)	(290, 547.0)	(300, 2781.0)	(310, 976.0)	(320, 1171.0)	(330, 1337.0)	(340, 1794.0)	(350, 2117.0)	(360, 3099.0)	(370, 3999.0)	(380, 3596.0)	(390, 9558.0)	(400, 13404.0)	(410, 32886.0)	(420, 337156.0)	(430, 662190.0)	(440, 561467.0)	(450, 67744.0)	(460, 32045.0)	(470, 15362.0)	(480, 4549.0)	(490, 3032.0)	(500, 949.0)	(510, 703.0)	(520, 120.0)	(530, 51.0)	(540, 41.0)	(550, 16.0)	(560, 4.0)	(570, 1.0)	(580, 2.0)	(590, 2.0)
SRR22279255_assemble-pass	(250, 60.0)	(260, 64.0)	(270, 1171.0)	(280, 271.0)	(290, 611.0)	(300, 1464.0)	(310, 1887.0)	(320, 1349.0)	(330, 911.0)	(340, 1039.0)	(350, 979.0)	(360, 782.0)	(370, 840.0)	(380, 1087.0)	(390, 1220.0)	(400, 1687.0)	(410, 2756.0)	(420, 2180.0)	(430, 2291.0)	(440, 3102.0)	(450, 18945.0)	(460, 90293.0)	(470, 154371.0)	(480, 378002.0)	(490, 414607.0)	(500, 184670.0)	(510, 38299.0)	(520, 5627.0)	(530, 2237.0)	(540, 665.0)	(550, 156.0)	(560, 45.0)	(570, 7.0)	(580, 2.0)	
SRR22279256_assemble-pass	(250, 36.0)	(260, 70.0)	(270, 824.0)	(280, 528.0)	(290, 461.0)	(300, 1052.0)	(310, 576.0)	(320, 815.0)	(330, 741.0)	(340, 898.0)	(350, 1321.0)	(360, 1349.0)	(370, 1941.0)	(380, 1618.0)	(390, 2521.0)	(400, 3496.0)	(410, 7002.0)	(420, 60660.0)	(430, 110970.0)	(440, 303388.0)	(450, 561888.0)	(460, 134100.0)	(470, 11552.0)	(480, 12309.0)	(490, 4219.0)	(500, 620.0)	(510, 205.0)	(520, 103.0)	(530, 9.0)	(540, 8.0)	(550, 1.0)	(560, 6.0)	(570, 0.0)	(580, 1.0)	(590, 1.0)
SRR22279257_assemble-pass	(250, 107.0)	(260, 165.0)	(270, 673.0)	(280, 599.0)	(290, 452.0)	(300, 2220.0)	(310, 834.0)	(320, 1113.0)	(330, 1040.0)	(340, 1400.0)	(350, 1769.0)	(360, 2178.0)	(370, 2520.0)	(380, 2444.0)	(390, 3802.0)	(400, 4548.0)	(410, 11336.0)	(420, 96505.0)	(430, 206442.0)	(440, 354653.0)	(450, 896228.0)	(460, 125286.0)	(470, 11390.0)	(480, 10958.0)	(490, 5661.0)	(500, 606.0)	(510, 231.0)	(520, 100.0)	(530, 22.0)	(540, 8.0)	(550, 6.0)	(560, 4.0)	(570, 2.0)	(580, 3.0)	
SRR22279258_assemble-pass	(250, 155.0)	(260, 143.0)	(270, 1648.0)	(280, 666.0)	(290, 680.0)	(300, 2492.0)	(310, 1389.0)	(320, 1131.0)	(330, 2552.0)	(340, 2601.0)	(350, 2709.0)	(360, 4391.0)	(370, 6116.0)	(380, 4592.0)	(390, 14650.0)	(400, 16600.0)	(410, 36519.0)	(420, 303498.0)	(430, 630811.0)	(440, 621601.0)	(450, 56708.0)	(460, 34040.0)	(470, 14915.0)	(480, 3808.0)	(490, 3319.0)	(500, 1023.0)	(510, 871.0)	(520, 199.0)	(530, 51.0)	(540, 56.0)	(550, 19.0)	(560, 3.0)	(570, 5.0)	(580, 0.0)	(590, 2.0)
SRR22279259_assemble-pass	(250, 86.0)	(260, 48.0)	(270, 1385.0)	(280, 417.0)	(290, 803.0)	(300, 1627.0)	(310, 1058.0)	(320, 1511.0)	(330, 2834.0)	(340, 2491.0)	(350, 2523.0)	(360, 3239.0)	(370, 5994.0)	(380, 3681.0)	(390, 11197.0)	(400, 12717.0)	(410, 20004.0)	(420, 183683.0)	(430, 509585.0)	(440, 351367.0)	(450, 38832.0)	(460, 23311.0)	(470, 13074.0)	(480, 2167.0)	(490, 2233.0)	(500, 453.0)	(510, 860.0)	(520, 66.0)	(530, 36.0)	(540, 31.0)	(550, 9.0)	(560, 5.0)	(570, 2.0)		
SRR22279260_assemble-pass	(250, 39.0)	(260, 42.0)	(270, 1282.0)	(280, 355.0)	(290, 972.0)	(300, 2380.0)	(310, 3456.0)	(320, 2456.0)	(330, 1667.0)	(340, 2495.0)	(350, 2013.0)	(360, 1731.0)	(370, 1865.0)	(380, 1606.0)	(390, 1655.0)	(400, 2055.0)	(410, 2951.0)	(420, 3091.0)	(430, 3159.0)	(440, 3480.0)	(450, 14644.0)	(460, 66153.0)	(470, 116307.0)	(480, 341327.0)	(490, 400731.0)	(500, 168640.0)	(510, 35961.0)	(520, 6325.0)	(530, 2069.0)	(540, 708.0)	(550, 184.0)	(560, 44.0)	(570, 2.0)	(580, 1.0)	(590, 1.0)
