Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR22279249_assemble-pass	SRR22279249_assemble-pass.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1303904.0	637.2 Mbp	0.0	251-590	58.0	1.6400747294279334	488.6255383831938	494	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR22279250_assemble-pass	SRR22279250_assemble-pass.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1210188.0	537.5 Mbp	0.0	250-588	60.0	7.194502011257756	444.77527128016476	444	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR22279251_assemble-pass	SRR22279251_assemble-pass.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1293833.0	561.3 Mbp	0.0	250-558	52.0	2.9857021733098477	434.015594361869	434	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR22279252_assemble-pass	SRR22279252_assemble-pass.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1128266.0	551.2 Mbp	0.0	250-567	57.0	1.7410787881581118	488.98695476066814	494	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR22279253_assemble-pass	SRR22279253_assemble-pass.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1503478.0	673.4 Mbp	0.0	250-584	60.0	7.543482482280808	448.34130396321063	454	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR22279254_assemble-pass	SRR22279254_assemble-pass.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1766062.0	769.3 Mbp	0.0	250-593	52.0	3.3274596248602824	435.6108811581926	434	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR22279255_assemble-pass	SRR22279255_assemble-pass.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1313677.0	639.2 Mbp	0.0	250-589	57.0	1.6993522760922204	486.56065874640416	484	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
SRR22279256_assemble-pass	SRR22279256_assemble-pass.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1225289.0	549.4 Mbp	0.0	250-594	60.0	8.679268008573215	448.8665110843238	454	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR22279257_assemble-pass	SRR22279257_assemble-pass.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1745305.0	781.3 Mbp	0.0	250-588	60.0	7.67312348061221	447.9938477801874	454	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR22279258_assemble-pass	SRR22279258_assemble-pass.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1769963.0	770.5 Mbp	0.0	250-594	51.0	2.993678398926983	435.5996365460747	434	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR22279259_assemble-pass	SRR22279259_assemble-pass.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1197329.0	520.2 Mbp	0.0	250-570	52.0	3.2871499813334517	434.8335357282752	434	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR22279260_assemble-pass	SRR22279260_assemble-pass.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1191847.0	579 Mbp	0.0	250-592	57.0	2.224614401009526	485.809041345072	494	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
