sample	status	elapsed_sec	assembled_pairs	failed_reads	total_seen_records	merge_rate_from_outputs	pass_fastq	fail1_fastq	fail2_fastq	stdout	stderr	verbose_log
SRR22279249	done	5037.4	1303904	0	1303904	1.000000	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279249_assemble-pass.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279249-1_assemble-fail.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279249-2_assemble-fail.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/logs/SRR22279249.stdout.txt	/data/user/epishkin/results/PRJNA900592/merged/logs/SRR22279249.stderr.txt	
SRR22279250	done	4435.7	1210188	0	1210188	1.000000	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279250_assemble-pass.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279250-1_assemble-fail.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279250-2_assemble-fail.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/logs/SRR22279250.stdout.txt	/data/user/epishkin/results/PRJNA900592/merged/logs/SRR22279250.stderr.txt	
SRR22279251	done	4636.5	1293833	0	1293833	1.000000	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279251_assemble-pass.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279251-1_assemble-fail.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279251-2_assemble-fail.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/logs/SRR22279251.stdout.txt	/data/user/epishkin/results/PRJNA900592/merged/logs/SRR22279251.stderr.txt	
SRR22279252	done	4316.5	1128266	0	1128266	1.000000	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279252_assemble-pass.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279252-1_assemble-fail.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279252-2_assemble-fail.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/logs/SRR22279252.stdout.txt	/data/user/epishkin/results/PRJNA900592/merged/logs/SRR22279252.stderr.txt	
SRR22279253	done	5521.9	1503478	0	1503478	1.000000	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279253_assemble-pass.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279253-1_assemble-fail.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279253-2_assemble-fail.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/logs/SRR22279253.stdout.txt	/data/user/epishkin/results/PRJNA900592/merged/logs/SRR22279253.stderr.txt	
SRR22279254	done	6364.2	1766062	0	1766062	1.000000	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279254_assemble-pass.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279254-1_assemble-fail.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279254-2_assemble-fail.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/logs/SRR22279254.stdout.txt	/data/user/epishkin/results/PRJNA900592/merged/logs/SRR22279254.stderr.txt	
SRR22279255	done	5146.5	1313677	0	1313677	1.000000	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279255_assemble-pass.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279255-1_assemble-fail.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279255-2_assemble-fail.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/logs/SRR22279255.stdout.txt	/data/user/epishkin/results/PRJNA900592/merged/logs/SRR22279255.stderr.txt	
SRR22279256	done	4443.0	1225289	0	1225289	1.000000	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279256_assemble-pass.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279256-1_assemble-fail.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279256-2_assemble-fail.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/logs/SRR22279256.stdout.txt	/data/user/epishkin/results/PRJNA900592/merged/logs/SRR22279256.stderr.txt	
SRR22279257	done	6478.0	1745305	0	1745305	1.000000	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279257_assemble-pass.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279257-1_assemble-fail.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279257-2_assemble-fail.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/logs/SRR22279257.stdout.txt	/data/user/epishkin/results/PRJNA900592/merged/logs/SRR22279257.stderr.txt	
SRR22279258	done	6373.2	1769963	0	1769963	1.000000	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279258_assemble-pass.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279258-1_assemble-fail.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/fastq/SRR22279258-2_assemble-fail.fastq.gz	/data/user/epishkin/results/PRJNA900592/merged/logs/SRR22279258.stdout.txt	/data/user/epishkin/results/PRJNA900592/merged/logs/SRR22279258.stderr.txt	
