Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR22279249_assemble-pass	98.35992527057206	58.0	488.6255383831938	494	30.0	1.303904
SRR22279250_assemble-pass	92.80549798874225	60.0	444.77527128016476	444	30.0	1.210188
SRR22279251_assemble-pass	97.01429782669015	52.0	434.015594361869	434	40.0	1.293833
SRR22279252_assemble-pass	98.2589212118419	57.0	488.98695476066814	494	30.0	1.128266
SRR22279253_assemble-pass	92.45651751771919	60.0	448.34130396321063	454	30.0	1.5034779999999999
SRR22279254_assemble-pass	96.67254037513972	52.0	435.6108811581926	434	30.0	1.766062
SRR22279255_assemble-pass	98.30064772390779	57.0	486.56065874640416	484	30.0	1.313677
SRR22279256_assemble-pass	91.32073199142678	60.0	448.8665110843238	454	30.0	1.2252889999999999
SRR22279257_assemble-pass	92.3268765193878	60.0	447.9938477801874	454	30.0	1.7453049999999999
SRR22279258_assemble-pass	97.00632160107301	51.0	435.5996365460747	434	30.0	1.769963
SRR22279259_assemble-pass	96.71285001866654	52.0	434.8335357282752	434	40.0	1.1973289999999999
SRR22279260_assemble-pass	97.77538559899047	57.0	485.809041345072	494	30.0	1.1918469999999999
