sample	sequence_id	v_call	j_call	v_aa_identity	j_aa_identity	bad_v	bad_j	bad_v_identity	bad_j_identity	bad_v_evalue	bad_j_evalue
ERR346596	ERR346596.210	J558.5	JH4	94.845	81.250	False	True	False	True	False	False
ERR346596	ERR346596.244	V11,VHS107.a3.106	JH1	8.081	100.000	True	False	True	False	False	False
ERR346596	ERR346596.325	J558.24,J558.80.186		66.667		True	False	True	False	False	False
ERR346596	ERR346596.853	Q52.1pg.2,VHQ52.a1psi.2		62.500		True	False	True	False	False	False
ERR346596	ERR346596.941	VHQ52.a27.79,VOx-1	JH4	78.947	100.000	True	False	True	False	False	False
ERR346596	ERR346596.1169	VH7183.a4.6,VHD6.96	JH4	95.833	80.000	False	True	False	True	False	False
ERR346596	ERR346596.1223	J558.h	JH4	84.375	33.333	True	True	True	True	False	False
ERR346596	ERR346596.1361	Q52.1pg.2,VHQ52.a1psi.2		62.500		True	False	True	False	False	False
ERR346596	ERR346596.1173	VH7183.a7.10	JH4	38.776	100.000	True	False	True	False	False	False
ERR346596	ERR346596.1373	J558.29	JH4	78.125	100.000	True	False	True	False	False	False
ERR346596	ERR346596.1295	J558.5	JH2	90.722	84.615	False	True	False	True	False	False
ERR346596	ERR346596.1327	J558.19.109	JH4	31.959	92.857	True	False	True	False	False	False
ERR346596	ERR346596.1731	VH7183.a4.6,VHD6.96	JH4	54.639	92.857	True	False	True	False	False	False
ERR346596	ERR346596.1707	VH7183.a4.6,VHD6.96	JH4	18.557	100.000	True	False	True	False	False	False
ERR346596	ERR346596.1735	Vh10.2a	JH4	93.878	82.353	False	True	False	True	False	False
ERR346596	ERR346596.1836	VHSM7.a3.93	JH3	62.500	100.000	True	False	True	False	False	False
ERR346596	ERR346596.1875	VHQ52.a27.79	JH3	81.250	100.000	True	False	True	False	False	False
ERR346596	ERR346596.1885	VH7183.a3psi.5		62.500		True	False	True	False	False	False
ERR346596	ERR346596.1918	J558.1.85	JH2	76.923	66.667	True	True	True	True	False	False
ERR346596	ERR346596.1996	J558.8	JH3	84.536	100.000	True	False	True	False	False	False
ERR346596	ERR346596.2148	7183.3pg.5,VH7183.a3psi.5		62.500		True	False	True	False	False	False
ERR346596	ERR346596.2246	3:3.9,7183.7.10,VH7183.a7.10	JH2	98.958	80.000	False	True	False	True	False	False
ERR346596	ERR346596.2291	J558.17	JH2	52.083	100.000	True	False	True	False	False	False
ERR346596	ERR346596.2336	J558.61.157,V3	JH2	90.722	84.615	False	True	False	True	False	False
ERR346596	ERR346596.2410	VHS107.a3.106	JH1	78.218	100.000	True	False	True	False	False	False
ERR346596	ERR346596.2391	J606.4.82	JH4	72.000	93.333	True	False	True	False	False	False
ERR346596	ERR346596.2504	VH7183.a30.50	JH2	95.918	80.000	False	True	False	True	False	False
ERR346596	ERR346596.2695	VHA1	JH2	46.392	86.667	True	False	True	False	False	False
ERR346596	ERR346596.2667	J558.5	JH4	94.898	81.250	False	True	False	True	False	False
ERR346596	ERR346596.2775	VH36-60.a2.90	JH4	32.990	100.000	True	False	True	False	False	False
ERR346596	ERR346596.2876	J558.h	JH4	84.694	92.857	True	False	True	False	False	False
ERR346596	ERR346596.2933	VHQ52.a27.79	JH1	82.474	100.000	True	False	True	False	False	False
ERR346596	ERR346596.3104	VH7183.a4.6,VHD6.96	JH4	96.907	73.333	False	True	False	True	False	False
ERR346596	ERR346596.3052	VHSM7.a3.93	JH3	10.417	100.000	True	False	True	False	False	False
ERR346596	ERR346596.3158	J558.21pg.111,J558.25pg.115	JH3	83.505	92.308	True	False	True	False	False	False
ERR346596	ERR346596.3094	VHQ52.a27.79	JH1	45.833	100.000	True	False	True	False	False	False
ERR346596	ERR346596.3258	J558.50	JH3	82.474	100.000	True	False	True	False	False	False
ERR346596	ERR346596.3244	J558.h	JH4	81.250	93.750	True	False	True	False	False	False
ERR346596	ERR346596.3382	VHSM7.a3.93	JH4	45.361	92.857	True	False	True	False	False	False
ERR346596	ERR346596.3284	J558.15	JH3	7.216	100.000	True	False	True	False	False	False
ERR346596	ERR346596.3436	MAI1,MBK2,PWK2		66.667		True	False	True	False	False	False
ERR346596	ERR346596.3974	J558.13	JH3	7.292	100.000	True	False	True	False	False	False
ERR346596	ERR346596.4014	J558.37,J558.38,J558.39		80.000		True	False	True	False	False	False
ERR346596	ERR346596.4080	J558.50	JH3	82.653	100.000	True	False	True	False	False	False
ERR346596	ERR346596.4444	J558.21pg.111,J558.25pg.115	JH3	82.474	92.308	True	False	True	False	False	False
ERR346596	ERR346596.4407	J558.83.189	JH2	81.633	100.000	True	False	True	False	False	False
ERR346596	ERR346596.4465	J558.79.184,J558.h	JH4	81.250	87.500	True	False	True	False	False	False
ERR346596	ERR346596.4539	J558.5	JH4	94.898	81.250	False	True	False	True	False	False
ERR346596	ERR346596.4530	J558.44	JH2	80.208	100.000	True	False	True	False	False	False
ERR346596	ERR346596.4582	VHSM7.a3.93	JH2	7.143	100.000	True	False	True	False	False	False
ERR346596	ERR346596.5001	VHSM7.a3.93	JH3	26.804	100.000	True	False	True	False	False	False
ERR346596	ERR346596.4913	VHSM7.a3.93	JH3	37.895	100.000	True	False	True	False	False	False
ERR346596	ERR346596.5035	J558.h	JH4	81.443	92.857	True	False	True	False	False	False
ERR346596	ERR346596.5081	VH7183.a4.6,VHD6.96	JH4	69.892	100.000	True	False	True	False	False	False
ERR346596	ERR346596.5236	J558.50	JH3	84.694	100.000	True	False	True	False	False	False
ERR346596	ERR346596.5222	J558.29	JH4	59.375	100.000	True	False	True	False	False	False
ERR346596	ERR346596.5339	VHS107.a3.106	JH1	48.000	100.000	True	False	True	False	False	False
ERR346596	ERR346596.5426	VHSM7.a3.93	JH3	55.208	100.000	True	False	True	False	False	False
ERR346596	ERR346596.5487	VHSM7.a3.93	JH2	8.333	100.000	True	False	True	False	False	False
ERR346596	ERR346596.5574	VHS107.a3.106	JH4	5.941	100.000	True	False	True	False	False	False
ERR346596	ERR346596.5616	VHQ52.a27.79	JH1	8.333	100.000	True	False	True	False	False	False
ERR346596	ERR346596.5664	J558.5	JH4	94.845	81.250	False	True	False	True	False	False
ERR346596	ERR346596.5789	VHQ52.a27.79	JH1	80.208	100.000	True	False	True	False	False	False
ERR346596	ERR346596.5779	J558.50	JH3	83.673	100.000	True	False	True	False	False	False
ERR346596	ERR346596.5783	VH36-60.a1.85	JH2	13.402	100.000	True	False	True	False	False	False
ERR346596	ERR346596.5900	J558.27pg.117	JH4	11.579	100.000	True	False	True	False	False	False
ERR346596	ERR346596.5946	J558.29	JH4	97.938	33.333	False	True	False	True	False	False
ERR346596	ERR346596.6010	J606.4.82	JH2	26.882	100.000	True	False	True	False	False	False
ERR346596	ERR346596.6087	J558.26.116	JH1	67.708	100.000	True	False	True	False	False	False
ERR346596	ERR346596.6420	J558.19	JH2	28.866	100.000	True	False	True	False	False	False
ERR346596	ERR346596.6276	J558.29	JH4	74.227	100.000	True	False	True	False	False	False
ERR346596	ERR346596.6499	J558.79.184,J558.h	JH4	82.474	93.750	True	False	True	False	False	False
ERR346596	ERR346596.6434	J558.64.162,J558.74.176	JH1	27.835	93.333	True	False	True	False	False	False
ERR346596	ERR346596.6521	V11,VHS107.a3.106	JH1	43.564	100.000	True	False	True	False	False	False
ERR346596	ERR346596.6569	Q52.3.8,VHQ52.a3.8		50.000		True	False	True	False	False	False
ERR346596	ERR346596.6576	VHQ52.a27.79	JH1	7.216	100.000	True	False	True	False	False	False
ERR346596	ERR346596.6583	VH7183.a4.6,VHD6.96	JH4	77.320	100.000	True	False	True	False	False	False
ERR346596	ERR346596.6749	J558.64.162,J558.74.176	JH3	95.876	80.000	False	True	False	True	False	False
ERR346596	ERR346596.6805	J558.54.148	JH3	75.000	91.667	True	False	True	False	False	False
ERR346596	ERR346596.6934	J558.h	JH4	82.979	93.750	True	False	True	False	False	False
ERR346596	ERR346596.7040	J558.83.189	JH2	42.708	100.000	True	False	True	False	False	False
ERR346596	ERR346596.7127	J558.45	JH3	23.958	100.000	True	False	True	False	False	False
ERR346596	ERR346596.6896	J558.50	JH3	83.505	100.000	True	False	True	False	False	False
ERR346596	ERR346596.6952	J558.h	JH4	84.375	93.750	True	False	True	False	False	False
ERR346596	ERR346596.7418	J558.14pg.104		71.429		True	False	True	False	False	False
ERR346596	ERR346596.7426	VHQ52.a27.79,VOx-1	JH4	50.000	100.000	True	False	True	False	False	False
ERR346596	ERR346596.7471	J558.29	JH4	68.041	100.000	True	False	True	False	False	False
ERR346596	ERR346596.7557	J558.h	JH4	80.208	93.750	True	False	True	False	False	False
ERR346596	ERR346596.7505	J558.21pg.111,J558.25pg.115	JH3	84.536	100.000	True	False	True	False	False	False
ERR346596	ERR346596.7510	J558.46	JH4	37.113	87.500	True	False	True	False	False	False
ERR346596	ERR346596.7621	VHQ52.a27.79	JH4	79.167	100.000	True	False	True	False	False	False
ERR346596	ERR346596.7672	J558.19.109,J558.37.127		16.495		True	False	True	False	False	False
ERR346596	ERR346596.7719	J558.50	JH3	81.443	100.000	True	False	True	False	False	False
ERR346596	ERR346596.7824	J558.29	JH4	96.939	35.714	False	True	False	True	False	False
ERR346596	ERR346596.7832	VHSM7.a3.93	JH3	20.833	100.000	True	False	True	False	False	False
ERR346596	ERR346596.7799	J558.5	JH4	91.837	81.250	False	True	False	True	False	False
ERR346596	ERR346596.7911	J558.13,J558.54.148	JH4	6.186	100.000	True	False	True	False	False	False
ERR346596	ERR346596.8050	S107.1.42,V1,VHS107.a1.81	JH4	70.000	100.000	True	False	True	False	False	False
ERR346596	ERR346596.8268	VHSM7.a3.93	JH2	84.375	100.000	True	False	True	False	False	False
ERR346596	ERR346596.8327	VH36-60.a2.90	JH4	31.633	100.000	True	False	True	False	False	False
ERR346596	ERR346596.8542	J558.14pg.104	JH4	71.429	100.000	True	False	True	False	False	False
ERR346596	ERR346596.8569	VHS107.a3.106	JH2	98.020	84.615	False	True	False	True	False	False
ERR346596	ERR346596.8581	J558.12	JH2	4.167	92.308	True	False	True	False	False	False
ERR346596	ERR346596.8787	VHQ52.a27.79	JH1	83.505	100.000	True	False	True	False	False	False
ERR346596	ERR346596.8826	J558.70pg.171,J558.n	JH4	84.211	88.235	True	False	True	False	False	False
ERR346596	ERR346596.8729	VH7183.a7.10	JH3	6.122	92.308	True	False	True	False	False	False
ERR346596	ERR346596.8592	VHS107.a3.106	JH4	7.921	94.118	True	False	True	False	False	False
ERR346596	ERR346596.8888	J558.39	JH3	56.701	100.000	True	False	True	False	False	False
ERR346596	ERR346596.8856	VHSM7.a3.93	JH2	56.701	100.000	True	False	True	False	False	False
ERR346596	ERR346596.8876	V102	JH4	84.375	93.750	True	False	True	False	False	False
ERR346596	ERR346596.8894	VH36-60.a1.85	JH3	79.381	100.000	True	False	True	False	False	False
ERR346596	ERR346596.8924	J558.54.148	JH3	95.918	83.333	False	True	False	True	False	False
ERR346596	ERR346596.8966	VH7183.a33.55	JH4	31.959	100.000	True	False	True	False	False	False
ERR346596	ERR346596.9053	J558.47	JH2	31.250	100.000	True	False	True	False	False	False
ERR346596	ERR346596.9025	VH50.1,VH7183.a13.20	JH2	94.898	35.714	False	True	False	True	False	False
ERR346596	ERR346596.8933	J558.h	JH4	82.653	92.857	True	False	True	False	False	False
ERR346596	ERR346596.9189	J558.50	JH3	83.696	100.000	True	False	True	False	False	False
ERR346596	ERR346596.9336	VH61-1P,VH7183.a47.76	JH4	19.388	100.000	True	False	True	False	False	False
ERR346596	ERR346596.9123	Q52.3.8,VHQ52.a3.8		50.000		True	False	True	False	False	False
ERR346596	ERR346596.9344	J558.21pg.111,J558.25pg.115	JH3	82.474	100.000	True	False	True	False	False	False
ERR346596	ERR346596.9231	J558.1	JH4	84.536	100.000	True	False	True	False	False	False
ERR346596	ERR346596.9464	VHQ52.a27.79	JH1	44.792	100.000	True	False	True	False	False	False
ERR346596	ERR346596.9595	J558.45	JH4	30.208	94.118	True	False	True	False	False	False
ERR346596	ERR346596.9623	J558.5	JH4	92.784	81.250	False	True	False	True	False	False
ERR346596	ERR346596.9547	VH7183.a4.6,VHD6.96	JH3	58.333	93.333	True	False	True	False	False	False
ERR346596	ERR346596.9722	J558.19	JH2	95.918	83.333	False	True	False	True	False	False
ERR346596	ERR346596.9935	VHSM7.a3.93	JH2	7.292	100.000	True	False	True	False	False	False
ERR346596	ERR346596.9941	J558.29	JH4	69.072	100.000	True	False	True	False	False	False
ERR346596	ERR346596.10087	VHS107.a3.106	JH1	43.564	100.000	True	False	True	False	False	False
ERR346596	ERR346596.10074	J558.20	JH1	94.898	46.667	False	True	False	True	False	False
ERR346596	ERR346596.10047	J558.19.109,J558.37.127	JH3	14.583	86.667	True	False	True	False	False	False
ERR346596	ERR346596.10202	VHSM7.a3.93	JH3	29.167	100.000	True	False	True	False	False	False
ERR346596	ERR346596.10315	J558.39	JH3	84.536	92.857	True	False	True	False	False	False
ERR346596	ERR346596.10332	J558.64.162,J558.74.176	JH3	51.546	93.333	True	False	True	False	False	False
ERR346596	ERR346596.10353	J558.h	JH4	80.412	100.000	True	False	True	False	False	False
ERR346596	ERR346596.10460	J558.5	JH4	94.898	81.250	False	True	False	True	False	False
ERR346596	ERR346596.10492	SM7.1.44,SM7.2.49,SM7.3.54		75.000		True	False	True	False	False	False
ERR346596	ERR346596.10517	J558.27pg.117	JH3	11.458	91.667	True	False	True	False	False	False
ERR346596	ERR346596.10551	J558.70pg.171,J558.n	JH4	62.887	100.000	True	False	True	False	False	False
ERR346596	ERR346596.10598	VH7183.a37.59	JH2	8.247	100.000	True	False	True	False	False	False
ERR346596	ERR346596.10726	J558.h	JH4	82.474	92.857	True	False	True	False	False	False
ERR346596	ERR346596.10686	J558.55.149	JH2	19.792	100.000	True	False	True	False	False	False
ERR346596	ERR346596.10662	J558.47	JH3	13.402	100.000	True	False	True	False	False	False
ERR346596	ERR346596.10687	VH36-60.a1.85	JH4	44.792	100.000	True	False	True	False	False	False
ERR346596	ERR346596.10741	J558.50	JH3	37.113	100.000	True	False	True	False	False	False
ERR346596	ERR346596.10804	H13-3	JH2	30.612	100.000	True	False	True	False	False	False
ERR346596	ERR346596.10826	VHA1	JH2	96.939	80.000	False	True	False	True	False	False
ERR346596	ERR346596.10899	J558.5	JH4	94.898	82.353	False	True	False	True	False	False
ERR346596	ERR346596.10938	J558.19	JH2	51.042	100.000	True	False	True	False	False	False
ERR346596	ERR346596.10960	J558.54.148	JH4	44.330	100.000	True	False	True	False	False	False
ERR346596	ERR346596.11096	J558.50	JH3	6.122	100.000	True	False	True	False	False	False
ERR346596	ERR346596.11241	J558.14pg.104	JH4	71.429	100.000	True	False	True	False	False	False
ERR346596	ERR346596.11328	VHS107.a3.106	JH1	73.267	100.000	True	False	True	False	False	False
ERR346596	ERR346596.11364	VH36-60.a1.85	JH2	40.860	100.000	True	False	True	False	False	False
ERR346596	ERR346596.11470	J558.29	JH3	98.980	69.231	False	True	False	True	False	False
ERR346596	ERR346596.11509	VHSM7.a3.93	JH4	91.753	64.286	False	True	False	True	False	False
ERR346596	ERR346596.11579	J558.5	JH4	75.258	88.235	True	False	True	False	False	False
ERR346596	ERR346596.11611	VHQ52.a9.26	JH3	80.412	100.000	True	False	True	False	False	False
ERR346596	ERR346596.11597	J558.50	JH3	84.536	100.000	True	False	True	False	False	False
ERR346596	ERR346596.11547	J558.50	JH3	82.653	100.000	True	False	True	False	False	False
ERR346596	ERR346596.11822	VH7183.a4.6,VHD6.96	JH4	10.204	100.000	True	False	True	False	False	False
ERR346596	ERR346596.11817	Q52.1pg.2,VHQ52.a1psi.2		62.500		True	False	True	False	False	False
